#
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Manifold Absolute Pressure	Mass Airflow	Mass Airflow Sensor Voltage	Throttle Sensor Voltage	AEM UEGO Wideband  (AFR Gasoline)
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu 	degrees	degrees	psi	g/s	V	V	9600 bau
432798.000	0.78	-1.56	15.27	8.0	0.34	1542.0	0.000	0.000	14.69	16.0	27.81	27.0	6.09	9.0	1.66	0.8	15.53
432860.000	0.78	-1.56	15.16	8.0	0.37	1556.0	0.000	0.000	13.69	16.0	28.16	28.0	6.24	9.0	1.7	0.82	15.47
432921.000	0.78	-1.56	15.04	8.0	0.41	1533.0	0.000	0.000	13.82	16.0	28.52	27.5	6.38	9.81	1.74	0.84	15.44
432983.000	0.78	-1.56	14.93	8.0	0.42	1533.0	0.000	0.000	14.05	16.0	28.52	28.5	6.53	10.39	1.74	0.84	15.36
433045.000	0.78	-1.56	14.93	8.0	0.44	1560.0	0.000	0.000	14.67	16.0	29.22	28.5	6.96	11.01	1.76	0.84	15.22
433107.000	0.78	-1.56	14.81	8.0	0.44	1574.0	0.000	0.000	14.67	16.0	29.22	28.5	7.11	11.42	1.78	0.86	15.08
433168.000	-0.78	-1.56	14.47	8.0	0.44	1576.0	0.000	0.000	14.67	16.0	29.22	28.5	7.4	11.68	1.78	0.86	14.90
433230.000	-1.56	-1.56	14.24	8.0	0.44	1579.0	0.000	0.000	14.68	16.0	29.57	28.5	7.55	11.73	1.8	0.86	14.76
433291.000	-1.56	-1.56	14.24	8.0	0.45	1602.0	0.000	0.000	14.7	16.0	29.57	29.0	7.69	11.79	1.8	0.86	14.64
433352.000	-0.78	-1.56	14.47	8.0	0.45	1607.0	0.000	0.000	14.74	16.0	29.57	29.0	7.69	12.06	1.8	0.86	14.64
433415.000	0.0	-1.56	14.59	8.0	0.46	1605.0	0.000	0.000	14.74	16.0	29.92	29.0	7.69	12.17	1.82	0.86	14.64
433476.000	0.78	-1.56	14.81	8.0	0.44	1620.0	0.000	0.000	14.74	16.0	29.92	29.5	7.84	12.17	1.82	0.86	14.78
433538.000	0.78	-1.56	15.04	8.0	0.45	1634.0	0.000	0.000	14.74	16.0	30.27	29.5	7.84	12.28	1.82	0.86	14.94
