#
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Manifold Absolute Pressure	Mass Airflow	Mass Airflow Sensor Voltage	Throttle Sensor Voltage	AEM UEGO Wideband  (AFR Gasoline)
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu 	degrees	degrees	psi	g/s	V	V	9600 bau
287575.000	0.000	0.000	13.09	10.0	1.02	2978.0	0.000	0.000	12.3	16.0	33.09	33.0	14.65	50.38	2.72	3.96	12.70
287637.000	0.000	0.000	12.63	10.0	1.04	3054.0	0.000	0.000	12.06	16.0	33.79	31.5	14.8	50.38	2.78	3.96	12.57
287698.000	0.000	0.000	11.14	10.0	1.09	3054.0	0.000	0.000	12.18	16.0	31.33	29.5	14.95	53.47	2.78	3.96	12.50
287760.000	0.000	0.000	11.48	10.0	1.08	3002.0	0.000	0.000	12.31	16.0	30.98	30.5	15.24	54.6	2.72	3.96	12.28
287821.000	0.000	0.000	11.6	10.0	1.1	3089.0	0.000	0.000	12.14	16.0	31.33	29.5	15.38	55.46	2.8	3.96	12.06
287883.000	0.000	0.000	11.48	10.0	1.14	3176.0	0.000	0.000	12.3	16.0	29.22	29.5	15.67	58.83	2.86	3.96	12.24
287945.000	0.000	0.000	11.6	10.0	1.15	3151.0	0.000	0.000	12.31	16.0	28.52	28.0	15.96	60.55	2.88	3.96	12.26
288007.000	0.000	0.000	11.48	10.0	1.17	3245.0	0.000	0.000	12.31	16.0	28.87	28.5	16.25	62.55	2.9	3.96	12.28
288068.000	0.000	0.000	11.37	10.0	1.21	3292.0	0.000	0.000	12.31	16.0	27.46	27.0	16.54	65.25	2.94	3.96	12.24
288130.000	0.000	0.000	11.48	10.0	1.23	3321.0	0.000	0.000	12.31	16.0	27.11	26.5	16.83	66.71	2.98	3.96	12.26
288192.000	0.000	0.000	11.37	10.0	1.24	3384.0	0.000	0.000	12.22	16.0	27.46	26.5	17.27	68.74	2.96	3.96	12.30
288254.000	0.000	0.000	11.37	10.0	1.27	3434.0	0.000	0.000	12.22	16.0	25.7	25.0	17.56	73.0	3.04	3.96	12.30
288315.000	0.000	0.000	11.37	10.0	1.29	3446.0	0.000	0.000	12.44	16.0	24.65	23.5	17.56	75.13	3.04	3.96	12.30
288377.000	0.000	0.000	11.37	10.0	1.32	3542.0	0.000	0.000	12.32	16.0	24.65	23.5	17.85	77.69	3.12	3.96	12.36
288438.000	0.000	0.000	11.48	10.0	1.39	3618.0	0.000	0.000	12.22	16.0	22.89	22.0	18.14	83.52	3.16	3.96	12.36
288500.000	0.000	0.000	11.48	10.0	1.41	3650.0	0.000	0.000	12.39	16.0	22.19	21.0	18.57	86.01	3.14	3.96	12.36
288562.000	0.000	0.000	11.48	10.0	1.44	3705.0	0.000	0.000	12.0	16.0	21.48	20.0	19.01	90.69	3.2	3.96	12.34
288623.000	0.000	0.000	11.37	10.0	1.51	3767.0	0.000	0.000	11.88	16.0	20.78	19.5	19.59	90.69	3.28	3.96	12.32
288685.000	0.000	0.000	11.48	10.0	1.59	3794.0	0.000	0.000	10.77	16.0	19.38	18.0	20.02	94.73	3.26	3.96	12.26
288747.000	0.000	0.000	11.25	10.0	1.6	3794.0	0.000	0.000	11.51	16.0	19.02	17.5	20.75	99.19	3.26	3.96	12.16
288808.000	0.000	0.000	11.14	10.0	1.68	3880.0	0.000	0.000	11.33	16.0	17.27	15.5	21.47	104.35	3.34	3.96	12.06
288870.000	0.000	0.000	11.14	10.0	1.74	3935.0	0.000	0.000	11.28	16.0	15.86	14.0	22.2	110.64	3.42	3.96	11.98
288931.000	0.000	0.000	11.02	10.0	1.78	3994.0	0.000	0.000	11.11	16.0	14.45	14.0	22.93	115.64	3.44	3.96	11.90
288993.000	0.000	0.000	11.02	10.0	1.84	4058.0	0.000	0.000	11.04	16.0	14.1	13.0	23.8	123.91	3.52	3.96	11.84
289054.000	0.000	0.000	11.02	10.0	1.94	4139.0	0.000	0.000	10.91	16.0	12.34	11.5	24.96	130.15	3.56	3.96	11.78
289115.000	0.000	0.000	11.14	10.0	1.99	4155.0	0.000	0.000	10.92	16.0	11.64	10.5	25.97	137.71	3.62	3.96	11.72
289178.000	0.000	0.000	11.14	10.0	2.06	4290.0	0.000	0.000	11.7	16.0	11.64	10.5	27.13	146.84	3.78	3.96	11.62
289240.000	0.000	0.000	11.14	10.0	2.18	4340.0	0.000	0.000	10.57	16.0	10.59	9.5	28.29	157.37	3.78	3.96	11.64
289301.000	0.000	0.000	11.14	10.0	2.26	4396.0	0.000	0.000	10.62	16.0	10.94	10.0	29.45	165.02	3.86	3.96	11.66
289362.000	0.000	0.000	11.14	10.0	2.34	4504.0	0.000	0.000	10.48	16.0	11.29	10.5	29.45	177.44	3.94	3.96	11.72
289424.000	0.000	0.000	11.14	10.0	2.38	4632.0	0.000	0.000	11.71	16.0	11.64	10.5	30.62	185.05	4.0	3.96	11.78
289486.000	0.000	0.000	11.14	10.0	2.42	4810.0	0.000	0.000	10.65	16.0	11.99	11.0	31.78	193.93	4.04	3.96	11.90
289548.000	0.000	0.000	11.14	10.0	2.51	4789.0	0.000	0.000	9.89	16.0	11.99	11.0	32.65	193.93	4.08	3.96	11.92
289609.000	0.000	0.000	11.14	10.0	2.46	5074.0	0.000	0.000	10.44	16.0	12.34	11.5	33.52	196.26	4.16	3.96	11.94
289670.000	0.000	0.000	11.14	10.0	2.61	4836.0	0.000	0.000	10.54	16.0	11.99	11.0	33.66	208.7	4.16	3.96	11.94
289733.000	0.000	0.000	11.14	10.0	2.5	4836.0	0.000	0.000	10.62	16.0	11.99	11.5	34.39	206.35	4.16	3.96	11.98
289794.000	0.000	0.000	11.14	10.0	2.49	5102.0	0.000	0.000	10.29	16.0	12.7	11.5	34.39	205.57	4.14	3.96	12.02
289855.000	0.000	0.000	11.14	10.0	2.61	5241.0	0.000	0.000	10.41	16.0	12.7	11.5	34.1	219.37	4.22	3.96	12.02
289917.000	0.000	0.000	11.14	10.0	2.53	5194.0	0.000	0.000	10.2	16.0	12.7	11.5	34.39	217.31	4.2	3.96	12.02
289979.000	0.000	0.000	11.14	10.0	2.5	5384.0	0.000	0.000	10.23	16.0	13.05	12.0	34.1	222.29	4.26	3.96	11.98
290041.000	0.000	0.000	11.14	10.0	2.53	5458.0	0.000	0.000	10.16	16.0	13.4	12.5	34.1	228.11	4.3	3.96	11.96
290103.000	0.000	0.000	11.14	10.0	2.48	5510.0	0.000	0.000	10.16	16.0	13.4	13.0	34.1	230.24	4.3	3.96	11.94
290165.000	0.000	0.000	11.14	10.0	2.47	5664.0	0.000	0.000	10.27	16.0	13.75	13.0	34.1	230.24	4.34	3.96	11.86
290227.000	0.000	0.000	11.14	10.0	2.47	5664.0	0.000	0.000	10.16	16.0	13.75	13.0	34.1	236.85	4.34	3.96	11.80
290288.000	0.000	0.000	11.14	10.0	2.44	5742.0	0.000	0.000	10.17	16.0	13.75	13.0	33.95	241.29	4.34	3.96	11.80
290351.000	0.000	0.000	11.14	10.0	2.45	5850.0	0.000	0.000	10.27	16.0	14.1	13.0	33.95	239.51	4.34	3.96	11.76
290412.000	0.000	0.000	11.14	10.0	2.39	6029.0	0.000	0.000	10.28	16.0	14.1	13.0	33.52	239.51	4.36	3.96	11.72
290474.000	0.000	0.000	11.14	10.0	2.36	6029.0	0.000	0.000	10.33	16.0	14.1	13.0	32.94	239.07	4.36	3.96	11.76
290535.000	0.000	0.000	11.14	10.0	2.31	6183.0	0.000	0.000	10.44	16.0	14.45	13.5	32.21	239.51	4.34	3.96	11.76
290598.000	0.000	0.000	11.14	10.0	2.27	6193.0	0.000	0.000	10.31	16.0	14.45	14.0	32.21	239.51	4.3	3.96	11.76
290660.000	0.000	0.000	11.14	10.0	2.19	6193.0	0.000	0.000	10.52	16.0	14.8	14.0	31.34	232.43	4.3	3.96	11.72
290721.000	0.000	0.000	11.14	10.0	2.21	6302.0	0.000	0.000	10.3	16.0	14.8	14.0	30.33	232.42	4.32	3.96	11.68
290783.000	0.000	0.000	11.14	10.0	2.16	6302.0	0.000	0.000	10.3	16.0	15.16	14.0	30.33	232.42	4.32	3.96	11.68
290845.000	0.000	0.000	11.14	10.0	2.2	6454.0	0.000	0.000	10.34	16.0	15.16	14.0	30.04	227.27	4.28	3.96	11.64
290906.000	0.000	0.000	11.14	10.0	2.2	6556.0	0.000	0.000	10.29	16.0	15.16	14.0	30.04	240.39	4.34	3.96	11.60
290969.000	0.000	0.000	11.14	10.0	2.18	6556.0	0.000	0.000	10.29	16.0	15.16	14.0	30.62	240.39	4.34	3.96	11.60
291030.000	0.000	0.000	11.14	10.0	2.2	6631.0	0.000	0.000	10.42	16.0	15.16	14.0	31.05	242.18	4.36	3.96	11.60
291092.000	0.000	0.000	11.14	10.0	2.16	6631.0	0.000	0.000	10.21	16.0	15.16	14.0	31.05	242.18	4.36	3.96	11.56
291153.000	0.000	0.000	11.14	10.0	2.14	6781.0	0.000	0.000	10.22	16.0	15.16	14.0	31.49	243.5	4.36	3.96	11.54
291215.000	0.000	0.000	11.14	10.0	2.1	6781.0	0.000	0.000	10.09	16.0	15.51	14.0	31.49	243.5	4.36	3.96	11.52
291278.000	0.000	0.000	11.14	10.0	2.08	6919.0	0.000	0.000	10.25	16.0	15.86	14.0	31.34	237.73	4.34	3.96	11.52
291339.000	0.000	0.000	11.14	10.0	2.03	7016.0	0.000	0.000	10.23	16.0	17.27	15.5	31.34	237.73	4.32	3.96	11.50
291401.000	0.000	0.000	11.14	10.0	1.99	7016.0	0.000	0.000	10.36	16.0	16.56	15.5	30.91	237.74	4.32	3.96	11.47
MARK 000
