##
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Manifold Absolute Pressure	Mass Airflow	Mass Airflow Sensor Voltage	Throttle Sensor Voltage	AEM UEGO Wideband
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu	degrees	degrees	psi	g/s	V	V	9600 bau
0.000	0.0	0.0	11.14	10.0	1.04	2051.0	0.0	0.0	12.53	16.0	27.81	28.5	15.09	34.0	2.4	3.94	11.2
123098.000	0.0	0.0	10.91	10.0	1.03	2051.0	0.0	0.0	12.11	16.0	29.92	28.0	15.09	34.83	2.4	3.94	11.27
123160.000	0.0	0.0	11.02	10.0	1.03	2072.0	0.0	0.0	12.33	16.0	28.16	28.0	15.24	35.78	2.46	3.94	11.36
123221.000	0.0	0.0	11.25	10.0	1.01	2092.0	0.0	0.0	12.48	16.0	29.57	28.0	15.24	35.66	2.46	3.94	11.38
123283.000	0.0	0.0	11.37	10.0	1.03	2158.0	0.0	0.0	12.09	16.0	30.62	30.0	15.24	36.18	2.46	3.94	11.68
123345.000	0.0	0.0	11.48	10.0	1.04	2176.0	0.0	0.0	12.34	16.0	29.92	29.0	15.38	37.25	2.5	3.96	11.8
123407.000	0.0	0.0	11.6	10.0	1.03	2201.0	0.0	0.0	12.34	16.0	29.57	29.0	15.38	37.79	2.5	3.96	11.92
123468.000	0.0	0.0	11.6	10.0	1.02	2254.0	0.0	0.0	12.34	16.0	30.27	30.0	15.53	38.45	2.5	3.96	12.04
123530.000	0.0	0.0	11.6	10.0	1.03	2284.0	0.0	0.0	12.34	16.0	29.92	29.0	15.53	39.53	2.52	3.96	12.14
123591.000	0.0	0.0	11.6	10.0	1.02	2304.0	0.0	0.0	12.47	16.0	30.27	29.5	15.53	39.67	2.52	3.96	12.18
123653.000	0.0	0.0	11.6	10.0	1.03	2378.0	0.0	0.0	12.48	16.0	30.98	30.5	15.53	40.64	2.56	3.94	12.22
123715.000	0.0	0.0	11.71	10.0	1.06	2374.0	0.0	0.0	12.35	16.0	30.27	29.0	15.67	41.89	2.56	3.94	12.26
123776.000	0.0	0.0	11.71	10.0	1.05	2415.0	0.0	0.0	12.35	16.0	29.92	29.5	15.67	42.18	2.56	3.94	12.26
123838.000	0.0	0.0	11.71	10.0	1.05	2486.0	0.0	0.0	12.35	16.0	30.27	29.5	15.82	43.49	2.58	3.94	12.28
