#
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Manifold Absolute Pressure	Mass Airflow	Mass Airflow Sensor Voltage	Throttle Sensor Voltage	AEM UEGO Wideband  (AFR Gasoline)
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu 	degrees	degrees	psi	g/s	V	V	9600 bau
470025.000	1.56	0.0	14.59	8.0	0.58	2227.0	0.000	0.000	14.69	16.0	43.28	43.0	9.29	21.03	2.12	1.0	14.63
470086.000	1.56	0.0	14.59	8.0	0.58	2227.0	0.000	0.000	14.69	16.0	43.28	43.0	9.29	20.92	2.12	1.0	14.62
470149.000	0.0	0.0	14.47	8.0	0.56	2240.0	0.000	0.000	14.69	16.0	43.63	43.0	9.43	20.92	2.12	1.0	14.60
470210.000	0.0	0.0	14.24	8.0	0.58	2277.0	0.000	0.000	14.69	16.0	43.63	43.5	9.29	21.62	2.14	1.0	14.56
470271.000	0.78	0.0	14.13	8.0	0.58	2249.0	0.000	0.000	14.94	16.0	43.63	43.0	9.43	22.2	2.14	1.0	14.58
470333.000	0.78	0.0	14.59	8.0	0.59	2292.0	0.000	0.000	14.69	16.0	43.98	43.5	9.43	22.31	2.14	1.0	14.58
470395.000	0.0	0.0	14.47	8.0	0.58	2300.0	0.000	0.000	14.69	16.0	44.34	43.5	9.43	22.66	2.14	1.0	14.58
470457.000	-0.78	0.0	14.24	8.0	0.61	2300.0	0.000	0.000	14.69	16.0	43.98	43.5	9.43	23.14	2.16	1.0	14.60
470518.000	-0.78	0.0	14.24	8.0	0.6	2302.0	0.000	0.000	14.99	16.0	43.98	43.5	9.58	23.14	2.16	1.0	14.62
470580.000	-0.78	0.0	14.36	8.0	0.61	2342.0	0.000	0.000	14.69	16.0	44.69	44.5	9.43	23.44	2.18	1.0	14.60
470641.000	-0.78	0.0	14.36	8.0	0.6	2342.0	0.000	0.000	14.69	16.0	44.34	44.0	9.58	23.56	2.18	1.0	14.62
470702.000	0.0	0.0	14.47	8.0	0.61	2325.0	0.000	0.000	14.69	16.0	44.69	44.5	9.58	23.76	2.18	1.0	14.64
470764.000	-0.78	0.0	14.47	8.0	0.61	2351.0	0.000	0.000	14.69	16.0	45.04	44.5	9.58	23.91	2.18	1.0	14.68
470826.000	-1.56	0.0	14.59	8.0	0.62	2362.0	0.000	0.000	14.69	16.0	45.04	45.0	9.58	24.31	2.2	1.0	14.72
470888.000	-0.78	0.0	14.59	8.0	0.62	2369.0	0.000	0.000	14.69	16.0	45.04	45.0	9.58	24.54	2.2	1.0	14.74
470950.000	0.0	0.78	14.47	8.0	0.62	2394.0	0.000	0.000	14.69	16.0	45.04	45.0	9.58	24.46	2.2	1.0	14.74
471011.000	-0.78	0.78	14.59	8.0	0.62	2398.0	0.000	0.000	14.69	16.0	45.04	45.0	9.58	24.93	2.22	1.0	14.74
471072.000	-1.56	0.78	14.7	8.0	0.61	2420.0	0.000	0.000	14.69	16.0	45.04	45.0	9.58	24.93	2.22	1.0	14.74
471134.000	-0.78	0.78	14.47	8.0	0.62	2434.0	0.000	0.000	14.69	16.0	45.04	45.0	9.72	25.34	2.22	1.0	14.74
471196.000	0.0	0.78	14.7	8.0	0.61	2438.0	0.000	0.000	14.69	16.0	45.04	45.0	9.58	25.34	2.22	1.0	14.76
471257.000	0.0	0.78	14.7	8.0	0.61	2461.0	0.000	0.000	14.69	16.0	45.04	45.0	9.58	25.1	2.24	1.0	14.78
471319.000	-0.78	0.78	14.59	8.0	0.61	2470.0	0.000	0.000	14.69	16.0	45.04	45.0	9.58	25.34	2.22	1.0	14.80
471380.000	0.0	0.78	14.59	8.0	0.61	2472.0	0.000	0.000	14.69	16.0	45.04	45.0	9.58	25.02	2.22	1.0	14.82
471443.000	0.0	0.78	14.7	8.0	0.6	2485.0	0.000	0.000	14.7	16.0	45.04	45.0	9.43	25.17	2.22	1.0	14.84
471505.000	0.0	0.78	14.59	8.0	0.6	2508.0	0.000	0.000	14.7	16.0	45.04	45.0	9.43	25.25	2.22	1.0	14.86
471567.000	0.0	0.78	14.81	8.0	0.61	2532.0	0.000	0.000	14.7	16.0	45.04	45.0	9.43	25.34	2.24	1.0	14.88
471628.000	0.0	0.78	14.81	8.0	0.6	2523.0	0.000	0.000	14.7	16.0	45.04	45.0	9.43	25.41	2.24	1.0	14.90
471689.000	0.0	0.78	14.81	8.0	0.59	2523.0	0.000	0.000	14.7	16.0	44.69	44.5	9.29	25.49	2.24	1.0	14.88
471751.000	0.0	0.78	14.81	8.0	0.59	2542.0	0.000	0.000	14.7	16.0	45.04	44.5	9.29	25.49	2.24	1.0	14.86
471812.000	0.0	0.78	14.7	8.0	0.59	2565.0	0.000	0.000	14.7	16.0	44.69	44.5	9.29	25.49	2.24	1.0	14.84
471874.000	0.0	0.78	14.59	8.0	0.59	2576.0	0.000	0.000	14.7	16.0	44.69	44.5	9.29	25.72	2.24	1.0	14.80
471935.000	0.0	0.78	14.59	8.0	0.59	2578.0	0.000	0.000	14.7	16.0	44.69	44.5	9.29	25.49	2.24	1.0	14.74
471997.000	0.0	0.78	14.7	8.0	0.59	2593.0	0.000	0.000	14.7	16.0	44.69	44.5	9.29	25.8	2.24	1.0	14.70
472058.000	0.0	0.78	14.59	8.0	0.58	2598.0	0.000	0.000	14.7	16.0	44.69	44.5	9.29	25.57	2.24	1.0	14.68
472120.000	0.0	0.78	14.7	8.0	0.58	2630.0	0.000	0.000	14.7	16.0	44.69	44.5	9.29	25.72	2.24	1.0	14.66
472182.000	0.0	0.78	14.59	8.0	0.58	2647.0	0.000	0.000	14.7	16.0	44.69	44.5	9.14	25.49	2.22	1.0	14.66
472243.000	0.0	0.78	14.7	8.0	0.58	2660.0	0.000	0.000	14.7	16.0	44.69	44.5	9.14	25.49	2.22	1.0	14.70
472305.000	0.0	0.78	14.59	8.0	0.57	2681.0	0.000	0.000	14.7	16.0	44.69	44.5	9.14	25.41	2.24	1.0	14.74
472366.000	0.0	0.78	14.7	8.0	0.57	2680.0	0.000	0.000	14.38	16.0	44.69	44.5	9.14	25.34	2.22	1.0	14.74
472428.000	0.0	0.78	14.7	8.0	0.57	2698.0	0.000	0.000	14.7	16.0	44.34	44.5	9.0	25.49	2.24	1.0	14.72
472489.000	0.0	0.78	14.7	8.0	0.57	2725.0	0.000	0.000	14.7	16.0	44.34	44.0	9.0	25.72	2.24	1.0	14.70
472551.000	0.0	0.78	14.7	8.0	0.57	2704.0	0.000	0.000	14.7	16.0	44.34	44.0	9.0	25.57	2.24	1.0	14.68
472613.000	-0.78	0.78	14.47	8.0	0.56	2722.0	0.000	0.000	14.7	16.0	44.34	44.0	9.0	25.57	2.24	1.0	14.66
472674.000	0.0	0.0	14.59	8.0	0.55	2722.0	0.000	0.000	14.7	16.0	44.34	44.0	8.85	25.41	2.24	1.0	14.66
472736.000	0.0	0.0	14.59	8.0	0.55	2751.0	0.000	0.000	14.7	16.0	44.34	44.0	8.71	25.26	2.24	0.98	14.68
472798.000	0.0	0.0	14.7	8.0	0.55	2755.0	0.000	0.000	14.7	16.0	44.34	44.0	8.71	25.57	2.24	0.98	14.70
472860.000	0.0	0.0	14.81	8.0	0.55	2790.0	0.000	0.000	14.71	16.0	44.34	44.0	8.71	25.42	2.24	0.98	14.70
472921.000	0.0	0.0	14.81	8.0	0.54	2811.0	0.000	0.000	14.7	16.0	44.34	44.0	8.56	25.34	2.22	0.98	14.70
472982.000	0.0	0.0	14.7	8.0	0.54	2814.0	0.000	0.000	14.71	16.0	44.34	44.0	8.56	25.1	2.22	0.98	14.70
473044.000	0.0	0.0	14.7	8.0	0.54	2828.0	0.000	0.000	14.71	16.0	44.34	44.0	8.42	25.26	2.22	0.98	14.70
473106.000	0.0	0.0	14.7	8.0	0.53	2841.0	0.000	0.000	14.71	16.0	44.34	44.0	8.42	25.01	2.22	0.98	14.70
473168.000	0.0	0.0	14.81	8.0	0.52	2846.0	0.000	0.000	14.71	16.0	44.34	44.0	8.42	25.26	2.22	0.98	14.70
473229.000	0.0	-2.34	14.7	8.0	0.52	2861.0	0.000	0.000	14.71	16.0	44.34	44.0	8.42	25.26	2.22	0.96	14.74
473291.000	0.78	-2.34	14.7	8.0	0.52	2861.0	0.000	0.000	14.71	16.0	44.34	44.0	8.27	24.93	2.22	0.96	14.78
473353.000	0.78	-2.34	14.7	8.0	0.51	2873.0	0.000	0.000	14.71	16.0	44.34	44.0	8.27	25.1	2.22	0.98	14.82
473415.000	0.78	-2.34	14.81	8.0	0.51	2889.0	0.000	0.000	14.71	16.0	44.34	44.0	8.27	24.77	2.22	0.96	14.86
473476.000	0.78	-2.34	14.81	8.0	0.51	2916.0	0.000	0.000	14.71	16.0	44.34	44.0	8.13	24.46	2.2	0.96	14.88
473538.000	0.78	-2.34	14.81	8.0	0.51	2930.0	0.000	0.000	14.71	16.0	44.34	44.0	8.13	24.69	2.22	0.96	14.86
473599.000	1.56	-2.34	14.81	8.0	0.5	2930.0	0.000	0.000	14.71	16.0	44.34	44.0	8.13	24.62	2.2	0.96	14.84
473660.000	0.78	-2.34	14.7	8.0	0.5	2916.0	0.000	0.000	14.71	16.0	44.34	44.0	7.98	24.78	2.2	0.96	14.80
