##
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Manifold Absolute Pressure	Mass Airflow	Mass Airflow Sensor Voltage	Throttle Sensor Voltage	AEM UEGO Wideband
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu	degrees	degrees	psi	g/s	V	V	9600 bau
0.000	-7.03	-2.34	14.7	8.0	0.56	1369.0	0.0	0.0	14.64	16.0	29.57	28.5	7.98	12.68	1.84	0.88	14.5
61.000	-9.38	-2.34	14.01	8.0	0.55	1368.0	0.0	0.0	14.65	16.0	29.57	28.5	8.42	12.73	1.84	0.88	14.32
123.000	-10.16	-2.34	13.32	8.0	0.56	1397.0	0.0	0.0	14.65	16.0	29.92	28.5	8.71	12.79	1.86	0.88	14.26
184.000	-7.81	-2.34	13.21	8.0	0.56	1392.0	0.0	0.0	14.65	16.0	29.92	28.5	9.0	13.01	1.86	0.88	14.08
245.000	-7.03	-2.34	13.44	8.0	0.55	1346.0	0.0	0.0	14.65	16.0	29.92	29.0	9.14	13.12	1.86	0.88	14.1
307.000	-5.47	-2.34	14.01	8.0	0.54	1410.0	0.0	0.0	14.66	16.0	29.57	29.0	9.29	13.01	1.86	0.88	14.12
369.000	-3.91	-1.56	14.47	8.0	0.55	1424.0	0.0	0.0	14.66	16.0	29.57	28.5	9.29	13.06	1.86	0.88	14.42
431.000	-3.12	-1.56	14.93	8.0	0.55	1439.0	0.0	0.0	14.66	16.0	29.57	28.5	9.29	13.06	1.86	0.88	14.82
492.000	-1.56	-1.56	15.39	8.0	0.54	1446.0	0.0	0.0	14.66	16.0	29.57	28.5	9.29	13.06	1.86	0.88	15.22
554.000	-0.78	-1.56	15.73	8.0	0.56	1468.0	0.0	0.0	14.66	16.0	29.57	28.5	9.29	13.06	1.86	0.88	15.52
615.000	0.0	-1.56	15.73	8.0	0.54	1478.0	0.0	0.0	14.66	16.0	29.57	28.5	9.29	13.06	1.86	0.88	15.82
677.000	0.78	-1.56	15.73	8.0	0.53	1467.0	0.0	0.0	14.66	16.0	29.57	28.5	9.29	13.17	1.86	0.88	15.92
738.000	0.78	-1.56	15.73	8.0	0.52	1499.0	0.0	0.0	14.67	16.0	29.22	28.5	9.29	13.17	1.86	0.88	15.84
800.000	0.78	-1.56	15.73	8.0	0.5	1520.0	0.0	0.0	14.67	16.0	29.57	28.5	9.29	13.17	1.86	0.88	15.76
862.000	0.0	-1.56	15.62	8.0	0.52	1508.0	0.0	0.0	14.67	16.0	29.22	28.5	9.29	13.34	1.86	0.88	15.7
924.000	0.78	0.78	15.27	8.0	0.52	1541.0	0.0	0.0	14.67	16.0	29.57	28.5	9.14	13.4	1.86	0.88	15.58
985.000	0.78	0.78	15.27	8.0	0.51	1550.0	0.0	0.0	14.68	16.0	29.22	28.5	9.14	13.28	1.86	0.88	15.48
1047.000	0.78	0.78	15.27	8.0	0.51	1548.0	0.0	0.0	14.68	16.0	29.57	28.5	9.14	13.28	1.86	0.88	15.42
1109.000	1.56	0.78	15.27	8.0	0.51	1564.0	0.0	0.0	14.68	16.0	29.57	28.5	9.14	13.4	1.86	0.88	15.36
1170.000	1.56	0.78	15.16	8.0	0.51	1594.0	0.0	0.0	14.68	16.0	29.57	28.5	9.14	13.34	1.86	0.88	15.28
1232.000	1.56	0.78	15.16	8.0	0.51	1598.0	0.0	0.0	14.69	16.0	29.57	28.5	9.0	13.45	1.86	0.88	15.22
1294.000	1.56	0.78	15.04	8.0	0.5	1599.0	0.0	0.0	14.69	16.0	29.57	28.5	9.0	13.45	1.86	0.88	15.16
1355.000	1.56	0.78	15.04	8.0	0.5	1599.0	0.0	0.0	14.69	16.0	29.92	28.5	9.0	13.45	1.86	0.88	15.1
1417.000	1.56	0.78	14.93	8.0	0.5	1615.0	0.0	0.0	14.69	16.0	30.27	29.0	8.85	13.57	1.86	0.88	15.04
1479.000	1.56	0.78	14.81	8.0	0.5	1631.0	0.0	0.0	14.69	16.0	30.62	29.5	8.85	13.76	1.88	0.88	14.98
1540.000	2.34	0.78	14.81	8.0	0.49	1647.0	0.0	0.0	14.69	16.0	30.98	29.5	8.71	13.58	1.88	0.88	14.94
1602.000	2.34	0.78	14.81	8.0	0.49	1652.0	0.0	0.0	14.69	16.0	31.33	30.0	8.71	13.58	1.88	0.88	14.9
1663.000	2.34	0.0	14.81	8.0	0.48	1660.0	0.0	0.0	14.69	16.0	31.33	30.0	8.56	13.57	1.86	0.88	14.84
1725.000	1.56	0.0	14.7	8.0	0.48	1668.0	0.0	0.0	14.69	16.0	31.33	30.5	8.56	13.57	1.86	0.88	14.78
1787.000	1.56	0.0	14.7	8.0	0.48	1694.0	0.0	0.0	14.69	16.0	32.03	30.5	8.56	13.45	1.88	0.88	14.74
1848.000	2.34	0.0	14.81	8.0	0.48	1706.0	0.0	0.0	14.69	16.0	32.03	31.0	8.42	13.7	1.86	0.88	14.74
1910.000	2.34	0.0	14.81	8.0	0.48	1710.0	0.0	0.0	14.69	16.0	32.38	31.0	8.42	13.64	1.86	0.88	14.74
1972.000	2.34	0.0	14.93	8.0	0.48	1723.0	0.0	0.0	14.69	16.0	32.38	31.0	8.27	13.64	1.88	0.88	14.8
2033.000	2.34	0.0	14.81	8.0	0.47	1723.0	0.0	0.0	14.69	16.0	32.38	31.5	8.27	13.51	1.88	0.88	14.82
2095.000	3.12	0.0	14.81	8.0	0.46	1731.0	0.0	0.0	14.7	16.0	32.73	32.0	8.27	13.52	1.86	0.88	14.84
2156.000	3.12	-2.34	14.81	8.0	0.47	1746.0	0.0	0.0	14.7	16.0	33.09	32.0	8.27	13.76	1.88	0.88	14.84
2218.000	2.34	-2.34	14.81	8.0	0.5	1754.0	0.0	0.0	14.7	16.0	33.44	32.0	8.13	13.76	1.88	0.88	14.84
2280.000	2.34	-2.34	14.81	8.0	0.47	1767.0	0.0	0.0	14.7	16.0	33.44	32.0	8.13	13.88	1.88	0.88	14.78
2341.000	3.12	-2.34	14.7	8.0	0.47	1767.0	0.0	0.0	14.7	16.0	33.44	32.5	8.13	13.89	1.88	0.88	14.78
5205.000	1.56	-2.34	14.7	8.0	0.41	2144.0	0.0	0.0	14.7	16.0	39.41	38.5	7.4	14.61	1.92	0.88	14.78
5266.000	2.34	-2.34	14.7	8.0	0.41	2137.0	0.0	0.0	14.7	16.0	39.77	38.5	7.4	14.67	1.92	0.88	14.78
5327.000	2.34	-2.34	14.7	8.0	0.41	2138.0	0.0	0.0	14.7	16.0	39.77	39.0	7.4	14.86	1.92	0.88	14.82
5389.000	2.34	-2.34	14.81	8.0	0.38	2166.0	0.0	0.0	14.7	16.0	39.77	39.0	7.4	14.86	1.92	0.9	14.88
5451.000	2.34	-2.34	14.81	8.0	0.42	2162.0	0.0	0.0	14.7	16.0	39.77	39.0	7.4	14.73	1.92	0.9	14.9
5513.000	2.34	-2.34	14.81	8.0	0.41	2159.0	0.0	0.0	14.7	16.0	40.12	39.0	7.4	14.9	1.92	0.88	14.92
5575.000	2.34	-2.34	14.7	8.0	0.41	2178.0	0.0	0.0	14.7	16.0	40.12	39.0	7.4	15.09	1.92	0.9	14.92
5636.000	2.34	-2.34	14.7	8.0	0.42	2171.0	0.0	0.0	14.7	16.0	40.47	39.0	7.4	15.28	1.94	0.9	14.88
5697.000	2.34	-2.34	14.7	8.0	0.41	2178.0	0.0	0.0	14.7	16.0	40.12	39.0	7.4	15.04	1.94	0.9	14.84
5759.000	2.34	-2.34	14.7	8.0	0.42	2194.0	0.0	0.0	14.7	16.0	40.12	39.5	7.4	15.21	1.94	0.9	14.82
5821.000	2.34	-2.34	14.7	8.0	0.41	2186.0	0.0	0.0	14.7	16.0	40.47	39.5	7.4	15.27	1.94	0.9	14.8
