#
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Manifold Absolute Pressure	Mass Airflow	Mass Airflow Sensor Voltage	Throttle Sensor Voltage	AEM UEGO Wideband  (AFR Gasoline)
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu 	degrees	degrees	psi	g/s	V	V	9600 bau
291402.000	0.000	0.000	11.83	10.0	1.32	3864.0	0.000	0.000	12.21	16.0	25.7	26.0	16.4	83.04	3.1	3.96	11.60
291464.000	0.000	0.000	11.02	10.0	1.36	3892.0	0.000	0.000	12.15	16.0	24.3	24.0	16.98	86.56	3.1	3.96	11.62
291525.000	0.000	0.000	10.8	10.0	1.42	3972.0	0.000	0.000	12.15	16.0	22.89	22.5	17.56	91.67	3.14	3.96	11.66
291587.000	0.000	0.000	11.02	10.0	1.47	4017.0	0.000	0.000	12.2	16.0	22.19	21.5	18.28	96.59	3.22	3.96	11.42
291648.000	0.000	0.000	11.14	10.0	1.52	4030.0	0.000	0.000	12.08	16.0	21.13	20.0	19.01	101.16	3.24	3.96	11.58
291709.000	0.000	0.000	11.14	10.0	1.53	4116.0	0.000	0.000	11.71	16.0	19.73	20.0	19.01	105.34	3.3	3.96	11.74
291772.000	0.000	0.000	11.14	10.0	1.63	4128.0	0.000	0.000	11.7	16.0	18.67	17.5	19.73	112.05	3.36	3.96	11.74
291833.000	0.000	0.000	11.14	10.0	1.71	4147.0	0.000	0.000	11.43	16.0	16.91	17.5	20.6	118.78	3.42	3.96	11.66
291895.000	0.000	0.000	11.14	10.0	1.78	4219.0	0.000	0.000	11.22	16.0	14.8	16.5	21.47	126.71	3.56	3.96	11.58
291956.000	0.000	0.000	11.14	10.0	1.88	4283.0	0.000	0.000	10.98	16.0	13.05	14.5	22.64	136.05	3.58	3.96	11.44
292018.000	0.000	0.000	11.14	10.0	2.0	4300.0	0.000	0.000	10.78	16.0	11.99	12.0	23.65	144.59	3.64	3.96	11.32
292080.000	0.000	0.000	11.02	10.0	2.1	4378.0	0.000	0.000	10.78	16.0	11.64	11.0	24.81	156.15	3.76	3.96	11.20
292142.000	0.000	0.000	11.14	10.0	2.21	4456.0	0.000	0.000	10.73	16.0	11.29	10.5	26.26	169.34	3.86	3.96	11.18
292204.000	0.000	0.000	11.02	10.0	2.34	4526.0	0.000	0.000	10.49	16.0	11.29	10.5	27.71	179.28	3.94	3.96	11.22
292265.000	0.000	0.000	11.14	10.0	2.39	4584.0	0.000	0.000	10.52	16.0	11.64	10.5	29.16	179.28	3.94	3.96	11.34
292327.000	0.000	0.000	11.14	10.0	2.46	4684.0	0.000	0.000	10.48	16.0	11.64	10.5	30.62	189.72	3.98	3.96	11.44
292389.000	0.000	0.000	11.14	10.0	2.41	4735.0	0.000	0.000	10.6	16.0	11.99	11.0	31.63	195.42	4.02	3.96	11.54
292450.000	0.000	0.000	11.14	10.0	2.43	4829.0	0.000	0.000	10.69	16.0	11.99	11.0	32.65	198.83	4.06	3.96	11.62
292512.000	0.000	0.000	11.14	10.0	2.46	4908.0	0.000	0.000	10.48	16.0	11.99	11.0	33.23	204.8	4.1	3.96	11.64
292573.000	0.000	0.000	11.14	10.0	2.42	4947.0	0.000	0.000	10.65	16.0	12.34	11.0	33.37	206.41	4.1	3.96	11.66
292635.000	0.000	0.000	11.14	10.0	2.44	5116.0	0.000	0.000	10.55	16.0	12.7	11.5	33.23	210.05	4.12	3.96	11.68
292697.000	0.000	0.000	11.14	10.0	2.44	5186.0	0.000	0.000	10.6	16.0	12.7	11.5	33.23	213.29	4.14	3.96	11.70
292759.000	0.000	0.000	11.14	10.0	2.49	5192.0	0.000	0.000	10.39	16.0	13.05	11.5	32.94	216.12	4.16	3.96	11.74
292820.000	0.000	0.000	11.14	10.0	2.47	5256.0	0.000	0.000	10.45	16.0	13.05	11.5	32.94	221.22	4.18	3.96	11.76
292882.000	0.000	0.000	11.14	10.0	2.51	5372.0	0.000	0.000	10.26	16.0	13.4	12.0	33.08	223.12	4.2	3.96	11.78
292944.000	0.000	0.000	11.14	10.0	2.51	5438.0	0.000	0.000	10.25	16.0	13.4	12.5	33.23	223.12	4.2	3.96	11.82
293006.000	0.000	0.000	11.14	10.0	2.48	5547.0	0.000	0.000	10.16	16.0	13.75	13.0	33.23	226.19	4.22	3.96	11.82
293068.000	0.000	0.000	11.14	10.0	2.47	5639.0	0.000	0.000	10.12	16.0	13.75	13.0	33.23	230.39	4.26	3.96	11.78
293129.000	0.000	0.000	11.14	10.0	2.46	5636.0	0.000	0.000	10.27	16.0	13.75	13.0	33.23	235.74	4.28	3.96	11.82
293190.000	0.000	0.000	11.14	10.0	2.42	5764.0	0.000	0.000	10.27	16.0	14.1	13.0	33.08	236.12	4.28	3.96	11.86
293253.000	0.000	0.000	11.14	10.0	2.4	5891.0	0.000	0.000	10.23	16.0	14.1	13.0	32.94	236.12	4.28	3.96	11.80
293314.000	0.000	0.000	11.14	10.0	2.36	5962.0	0.000	0.000	10.2	16.0	14.1	13.0	32.5	234.21	4.28	3.96	11.80
293377.000	0.000	0.000	11.14	10.0	2.31	5962.0	0.000	0.000	10.37	16.0	14.45	13.0	32.5	234.21	4.26	3.96	11.80
293439.000	0.000	0.000	11.14	10.0	2.23	6088.0	0.000	0.000	10.56	16.0	14.45	13.5	31.63	234.21	4.26	3.96	11.70
293501.000	0.000	0.000	11.14	10.0	2.21	6214.0	0.000	0.000	10.39	16.0	14.45	13.5	30.62	228.49	4.22	3.96	11.60
293564.000	0.000	0.000	11.14	10.0	2.19	6214.0	0.000	0.000	10.34	16.0	14.8	13.5	30.62	229.63	4.24	3.96	11.60
293625.000	0.000	0.000	11.14	10.0	2.19	6250.0	0.000	0.000	10.43	16.0	15.16	14.0	30.04	229.63	4.24	3.96	11.56
293686.000	0.000	0.000	11.14	10.0	2.18	6416.0	0.000	0.000	10.36	16.0	15.16	14.0	30.18	233.83	4.26	3.96	11.52
293748.000	0.000	0.000	11.14	10.0	2.19	6416.0	0.000	0.000	10.38	16.0	15.16	14.0	30.18	233.83	4.26	3.96	11.56
293810.000	0.000	0.000	11.14	10.0	2.18	6516.0	0.000	0.000	10.59	16.0	15.16	14.0	30.47	237.8	4.3	3.96	11.64
293872.000	0.000	0.000	11.14	10.0	2.17	6503.0	0.000	0.000	10.44	16.0	15.16	14.0	30.47	240.53	4.3	3.96	11.70
293933.000	0.000	0.000	11.14	10.0	2.15	6631.0	0.000	0.000	10.43	16.0	15.16	14.0	30.91	240.53	4.3	3.96	11.76
293995.000	0.000	0.000	11.14	10.0	2.15	6720.0	0.000	0.000	10.38	16.0	15.16	14.0	30.91	239.62	4.3	3.96	11.82
294057.000	0.000	0.000	11.14	10.0	2.15	6720.0	0.000	0.000	10.29	16.0	15.16	14.0	30.91	239.62	4.3	3.96	11.80
294119.000	0.000	0.000	11.14	10.0	2.08	6868.0	0.000	0.000	10.41	16.0	15.86	14.5	30.76	239.62	4.3	3.96	11.77
294180.000	0.000	0.000	11.14	10.0	2.12	6868.0	0.000	0.000	10.17	16.0	15.51	14.5	30.76	239.62	4.3	3.96	11.73
MARK 000
