##
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Manifold Absolute Pressure	Mass Airflow	Mass Airflow Sensor Voltage	Throttle Sensor Voltage	AEM UEGO Wideband
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu	degrees	degrees	psi	g/s	V	V	9600 bau
0.000	0.0	0.0	11.83	10.0	1.32	3864.0	0.0	0.0	12.21	16.0	25.7	26.0	16.4	83.04	3.1	3.96	11.6
62.000	0.0	0.0	11.02	10.0	1.36	3892.0	0.0	0.0	12.15	16.0	24.3	24.0	16.98	86.56	3.1	3.96	11.62
123.000	0.0	0.0	10.8	10.0	1.42	3972.0	0.0	0.0	12.15	16.0	22.89	22.5	17.56	91.67	3.14	3.96	11.66
185.000	0.0	0.0	11.02	10.0	1.47	4017.0	0.0	0.0	12.2	16.0	22.19	21.5	18.28	96.59	3.22	3.96	11.42
246.000	0.0	0.0	11.14	10.0	1.52	4030.0	0.0	0.0	12.08	16.0	21.13	20.0	19.01	101.16	3.24	3.96	11.58
307.000	0.0	0.0	11.14	10.0	1.53	4116.0	0.0	0.0	11.71	16.0	19.73	20.0	19.01	105.34	3.3	3.96	11.74
370.000	0.0	0.0	11.14	10.0	1.63	4128.0	0.0	0.0	11.7	16.0	18.67	17.5	19.73	112.05	3.36	3.96	11.74
431.000	0.0	0.0	11.14	10.0	1.71	4147.0	0.0	0.0	11.43	16.0	16.91	17.5	20.6	118.78	3.42	3.96	11.66
493.000	0.0	0.0	11.14	10.0	1.78	4219.0	0.0	0.0	11.22	16.0	14.8	16.5	21.47	126.71	3.56	3.96	11.58
554.000	0.0	0.0	11.14	10.0	1.88	4283.0	0.0	0.0	10.98	16.0	13.05	14.5	22.64	136.05	3.58	3.96	11.44
616.000	0.0	0.0	11.14	10.0	2.0	4300.0	0.0	0.0	10.78	16.0	11.99	12.0	23.65	144.59	3.64	3.96	11.32
678.000	0.0	0.0	11.02	10.0	2.1	4378.0	0.0	0.0	10.78	16.0	11.64	11.0	24.81	156.15	3.76	3.96	11.2
740.000	0.0	0.0	11.14	10.0	2.21	4456.0	0.0	0.0	10.73	16.0	11.29	10.5	26.26	169.34	3.86	3.96	11.18
802.000	0.0	0.0	11.02	10.0	2.34	4526.0	0.0	0.0	10.49	16.0	11.29	10.5	27.71	179.28	3.94	3.96	11.22
863.000	0.0	0.0	11.14	10.0	2.39	4584.0	0.0	0.0	10.52	16.0	11.64	10.5	29.16	179.28	3.94	3.96	11.34
925.000	0.0	0.0	11.14	10.0	2.46	4684.0	0.0	0.0	10.48	16.0	11.64	10.5	30.62	189.72	3.98	3.96	11.44
987.000	0.0	0.0	11.14	10.0	2.41	4735.0	0.0	0.0	10.6	16.0	11.99	11.0	31.63	195.42	4.02	3.96	11.54
1048.000	0.0	0.0	11.14	10.0	2.43	4829.0	0.0	0.0	10.69	16.0	11.99	11.0	32.65	198.83	4.06	3.96	11.62
1110.000	0.0	0.0	11.14	10.0	2.46	4908.0	0.0	0.0	10.48	16.0	11.99	11.0	33.23	204.8	4.1	3.96	11.64
1171.000	0.0	0.0	11.14	10.0	2.42	4947.0	0.0	0.0	10.65	16.0	12.34	11.0	33.37	206.41	4.1	3.96	11.66
1233.000	0.0	0.0	11.14	10.0	2.44	5116.0	0.0	0.0	10.55	16.0	12.7	11.5	33.23	210.05	4.12	3.96	11.68
1295.000	0.0	0.0	11.14	10.0	2.44	5186.0	0.0	0.0	10.6	16.0	12.7	11.5	33.23	213.29	4.14	3.96	11.7
1357.000	0.0	0.0	11.14	10.0	2.49	5192.0	0.0	0.0	10.39	16.0	13.05	11.5	32.94	216.12	4.16	3.96	11.74
