Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
19107,0.0,2.34,14.81,8.0,0.48,1842.0,0,0,14.69,16.0,35.2,35.0,82.0,7.98,-6.79,14.71,1.92,7.45,0.88,19.30
19178,0.0,2.34,14.7,8.0,0.48,1848.0,0,0,14.69,16.0,35.2,35.5,82.0,7.98,-6.75,14.9,1.92,7.45,0.9,19.30
19250,-0.78,2.34,14.7,8.0,0.49,1852.0,0,0,14.69,16.0,35.55,35.5,82.0,7.98,-6.67,15.08,1.92,7.45,0.9,19.30
19320,-0.78,2.34,14.7,8.0,0.5,1856.0,0,0,14.17,16.0,35.55,35.5,82.0,8.13,-6.63,15.39,1.94,7.45,0.9,19.30
19391,0.0,2.34,14.7,8.0,0.49,1876.0,0,0,14.69,16.0,36.25,36.0,82.0,8.13,-6.59,15.59,1.94,7.84,0.9,19.30
19461,-0.78,2.34,14.59,8.0,0.5,1858.0,0,0,14.69,16.0,35.9,35.5,82.0,8.13,-6.54,15.39,1.94,7.84,0.9,19.30
19532,-0.78,2.34,14.59,8.0,0.51,1883.0,0,0,14.69,16.0,36.25,36.0,82.0,8.27,-6.5,15.45,1.94,7.84,0.9,19.30
19602,-0.78,2.34,14.47,8.0,0.52,1880.0,0,0,14.69,16.0,36.25,36.5,82.0,8.27,-6.42,16.06,1.96,8.24,0.9,19.30
19673,-0.78,2.34,14.59,8.0,0.51,1880.0,0,0,14.69,16.0,36.25,36.5,82.0,8.27,-6.36,16.2,1.96,8.24,0.92,19.30
19744,-0.78,2.34,14.59,8.0,0.51,1898.0,0,0,14.22,16.0,36.95,36.5,82.0,8.42,-6.32,15.92,1.96,8.24,0.92,19.30
19815,-1.56,2.34,14.59,8.0,0.52,1880.0,0,0,14.69,16.0,36.6,36.5,82.0,8.42,-6.23,16.2,1.96,8.24,0.92,19.30
19885,-1.56,2.34,14.47,8.0,0.53,1894.0,0,0,14.69,16.0,36.95,36.5,82.0,8.56,-6.19,16.27,1.98,8.63,0.92,19.30
19957,-1.56,2.34,14.47,8.0,0.53,1900.0,0,0,14.69,16.0,36.95,36.5,82.0,8.56,-6.09,16.69,2.0,8.63,0.92,19.30
20028,-0.78,2.34,14.59,8.0,0.53,1900.0,0,0,14.69,16.0,37.66,37.0,82.0,8.71,-6.05,16.75,2.0,8.63,0.94,19.30
20098,-0.78,2.34,14.7,8.0,0.53,1910.0,0,0,14.69,16.0,37.66,37.5,82.0,8.71,-5.99,17.03,2.0,8.63,0.94,19.30
