Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
30931,0,0,11.6,10.0,1.09,2566.0,0,0,12.09,16.0,28.52,28.5,86.0,15.09,0.41,46.12,2.58,100.0,3.94,11.83
31002,0,0,11.14,10.0,1.1,2587.0,0,0,12.32,16.0,28.52,29.0,86.0,15.24,0.54,46.48,2.66,100.0,3.96,11.85
31073,0,0,11.25,10.0,1.12,2647.0,0,0,12.32,16.0,27.46,28.5,86.0,15.38,0.7,48.46,2.66,100.0,3.96,11.86
31143,0,0,11.37,10.0,1.14,2658.0,0,0,12.22,16.0,27.46,27.5,86.0,15.53,0.83,50.29,2.66,100.0,3.96,11.78
31214,0,0,11.25,10.0,1.15,2706.0,0,0,12.22,16.0,26.76,27.0,86.0,15.67,1.02,51.41,2.64,100.0,3.96,11.82
31286,0,0,11.25,10.0,1.18,2758.0,0,0,12.22,16.0,25.35,27.0,86.0,15.82,1.18,53.7,2.68,100.0,3.96,11.86
31356,0,0,11.25,10.0,1.21,2781.0,0,0,12.32,16.0,25.0,25.5,86.0,15.96,1.39,55.66,2.7,100.0,3.96,11.82
31427,0,0,11.25,10.0,1.25,2815.0,0,0,12.32,16.0,23.95,24.5,86.0,16.4,1.57,60.1,2.76,100.0,3.96,11.78
31498,0,0,11.25,10.0,1.28,2864.0,0,0,12.24,16.0,22.89,23.5,86.0,16.54,1.76,62.13,2.8,100.0,3.96,11.72
31569,0,0,11.14,10.0,1.32,2898.0,0,0,12.18,16.0,22.19,22.5,86.0,16.69,1.97,64.89,2.84,100.0,3.96,11.68
31640,0,0,11.14,10.0,1.33,2952.0,0,0,12.32,16.0,22.19,22.0,86.0,16.98,2.2,66.39,2.88,100.0,3.96,11.64
31710,0,0,11.14,10.0,1.37,3001.0,0,0,12.32,16.0,21.48,22.0,86.0,17.27,2.44,69.3,2.92,100.0,3.96,11.60
31781,0,0,11.14,10.0,1.39,3030.0,0,0,12.32,16.0,20.78,21.0,86.0,17.41,2.71,70.97,2.86,100.0,3.96,11.58
31852,0,0,11.14,10.0,1.39,3076.0,0,0,12.19,16.0,20.78,21.0,86.0,17.56,2.92,72.22,2.96,100.0,3.96,11.58
31922,0,0,11.14,10.0,1.43,3164.0,0,0,12.19,16.0,20.43,20.0,86.0,17.85,3.17,74.87,3.0,100.0,3.96,11.58
31994,0,0,11.14,10.0,1.48,3209.0,0,0,12.24,16.0,19.73,20.0,86.0,18.14,3.48,77.41,3.02,100.0,3.96,11.56
32065,0,0,11.14,10.0,1.48,3241.0,0,0,12.21,16.0,19.73,19.5,86.0,18.28,3.75,79.75,3.06,100.0,3.96,11.58
32135,0,0,11.14,10.0,1.53,3321.0,0,0,12.41,16.0,18.67,19.0,86.0,18.72,4.12,83.35,3.1,100.0,3.96,11.58
32207,0,0,11.14,10.0,1.55,3362.0,0,0,12.44,16.0,18.32,18.0,86.0,19.01,4.49,86.23,3.04,100.0,3.96,11.58
32277,0,0,11.14,10.0,1.59,3386.0,0,0,12.14,16.0,17.62,17.5,86.0,19.73,4.85,93.34,3.12,100.0,3.96,11.58
32348,0,0,11.14,10.0,1.66,3445.0,0,0,12.15,16.0,16.21,16.5,86.0,20.02,5.3,97.14,3.12,100.0,3.96,11.60
32419,0,0,11.14,10.0,1.72,3512.0,0,0,11.99,16.0,14.8,16.0,86.0,20.6,5.74,101.84,3.22,100.0,3.96,11.58
32490,0,0,11.14,10.0,1.8,3561.0,0,0,11.77,16.0,13.4,14.5,86.0,21.04,6.28,108.12,3.24,100.0,3.96,11.54
32561,0,0,11.14,10.0,1.84,3612.0,0,0,11.82,16.0,12.7,13.5,86.0,21.76,6.94,112.37,3.32,100.0,3.96,11.46
32631,0,0,11.14,10.0,1.93,3671.0,0,0,11.57,16.0,10.94,12.5,86.0,22.49,7.72,119.18,3.36,100.0,3.96,11.38
32702,0,0,11.14,10.0,1.99,3712.0,0,0,11.5,16.0,10.59,10.5,86.0,23.22,8.68,124.71,3.44,100.0,3.96,11.30
32774,0,0,11.14,10.0,2.07,3844.0,0,0,11.14,16.0,10.23,10.0,84.0,24.09,9.55,129.99,3.48,100.0,3.96,11.20
32844,0,0,11.02,10.0,2.17,3874.0,0,0,10.99,16.0,9.18,9.5,84.0,25.1,10.56,138.51,3.6,100.0,3.96,11.12
32915,0,0,11.02,10.0,2.22,3906.0,0,0,11.25,16.0,9.53,9.5,84.0,26.12,11.72,143.58,3.58,100.0,3.96,11.08
32986,0,0,11.02,10.0,2.32,4045.0,0,0,10.84,16.0,9.88,9.0,84.0,27.13,12.82,152.4,3.7,100.0,3.96,11.02
33057,0,0,11.02,10.0,2.43,4050.0,0,0,10.82,16.0,9.88,9.5,84.0,28.15,14.02,164.32,3.78,100.0,3.96,11.02
33128,0,0,11.14,10.0,2.47,4134.0,0,0,10.91,16.0,10.23,9.5,84.0,29.31,15.18,171.06,3.82,100.0,3.96,11.06
33199,0,0,11.14,10.0,2.6,4240.0,0,0,10.7,16.0,10.59,9.5,84.0,31.34,16.18,191.11,3.88,100.0,3.96,11.14
33270,0,0,11.02,10.0,2.74,4325.0,0,0,10.58,16.0,10.59,10.0,84.0,32.36,17.27,197.85,4.02,100.0,3.96,11.26
33341,0,0,11.14,10.0,2.76,4363.0,0,0,10.65,16.0,11.29,10.0,84.0,33.08,18.23,205.49,4.04,100.0,3.96,11.40
33411,0,0,11.14,10.0,2.83,4467.0,0,0,10.35,16.0,11.29,10.5,84.0,33.81,18.95,214.15,4.1,100.0,3.96,11.40
33483,0,0,11.14,10.0,2.81,4523.0,0,0,10.63,16.0,11.64,10.5,84.0,34.39,19.63,219.15,4.1,100.0,3.96,11.38
33554,0,0,11.14,10.0,2.78,4618.0,0,0,10.39,16.0,11.99,11.0,84.0,34.68,15.04,220.82,4.16,100.0,3.96,11.32
33624,0,0,11.14,10.0,2.79,4756.0,0,0,10.24,16.0,11.99,11.5,84.0,34.82,20.15,226.97,4.16,100.0,3.96,11.28
33695,0,0,11.14,10.0,2.77,4889.0,0,0,10.29,16.0,11.99,11.5,84.0,34.97,20.19,230.13,4.18,100.0,3.96,11.22
