Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
46572,0,0,15.04,10.0,0.99,2157.0,0,0,13.15,16.0,30.98,31.5,93.0,14.51,-0.08,36.87,2.42,82.35,3.18,14.60
46643,0,0,14.13,10.0,1.02,2206.0,0,0,12.46,16.0,30.27,30.5,93.0,14.65,0.0,37.16,2.46,88.63,3.48,14.60
46713,0,0,11.83,10.0,1.0,2232.0,0,0,12.31,16.0,30.98,30.5,93.0,14.65,0.06,37.86,2.48,92.16,3.56,14.60
46785,0,0,11.94,10.0,1.0,2318.0,0,0,12.18,16.0,30.98,31.0,93.0,14.8,0.14,39.12,2.5,97.25,3.74,14.60
46855,0,0,11.83,10.0,1.02,2300.0,0,0,12.48,16.0,30.98,30.5,93.0,14.8,0.25,38.99,2.52,98.82,3.8,14.60
46926,0,0,11.25,10.0,1.02,2354.0,0,0,12.1,16.0,31.33,31.0,93.0,14.95,0.31,39.84,2.54,99.61,3.84,14.60
46997,0,0,11.14,10.0,1.06,2407.0,0,0,12.17,16.0,30.27,30.5,93.0,15.09,0.39,41.56,2.52,100.0,3.84,14.60
47067,0,0,11.48,10.0,1.06,2401.0,0,0,12.5,16.0,29.92,29.5,93.0,15.24,0.5,42.19,2.54,100.0,3.86,14.60
47138,0,0,11.6,10.0,1.06,2471.0,0,0,12.16,16.0,30.27,30.5,93.0,15.24,0.6,42.97,2.58,100.0,3.88,14.60
47208,0,0,11.6,10.0,1.11,2510.0,0,0,12.33,16.0,28.87,27.5,93.0,15.24,0.68,45.42,2.56,100.0,3.92,14.60
47279,0,0,11.48,10.0,1.11,2513.0,0,0,12.33,16.0,28.16,28.5,93.0,15.53,0.81,46.31,2.62,100.0,3.94,14.60
47351,0,0,11.48,10.0,1.12,2577.0,0,0,12.33,16.0,28.16,28.0,93.0,15.53,0.93,48.63,2.6,100.0,3.94,14.60
47421,0,0,11.48,10.0,1.12,2642.0,0,0,12.33,16.0,27.81,27.0,93.0,15.67,1.06,49.72,2.64,100.0,3.94,14.60
47491,0,0,11.48,10.0,1.14,2648.0,0,0,12.33,16.0,27.46,27.5,93.0,15.82,1.2,50.67,2.66,100.0,3.94,14.60
47563,0,0,11.48,10.0,1.16,2742.0,0,0,12.21,16.0,26.76,26.0,93.0,15.96,1.33,53.5,2.7,100.0,3.94,14.60
47633,0,0,11.48,10.0,1.16,2767.0,0,0,12.33,16.0,25.35,26.0,93.0,16.11,1.49,54.5,2.72,100.0,3.94,14.60
47705,0,0,11.25,10.0,1.22,2835.0,0,0,12.16,16.0,25.0,25.0,93.0,16.11,1.62,57.2,2.74,100.0,3.94,14.60
47775,0,0,11.37,10.0,1.26,2867.0,0,0,12.33,16.0,24.3,24.0,93.0,16.4,1.76,59.06,2.8,100.0,3.94,14.60
47846,0,0,11.25,10.0,1.29,2880.0,0,0,12.33,16.0,23.24,23.5,93.0,16.54,1.91,60.06,2.78,100.0,3.96,14.60
47917,0,0,11.14,10.0,1.29,2954.0,0,0,12.33,16.0,23.24,22.5,93.0,16.69,2.09,63.62,2.84,100.0,3.94,14.60
47987,0,0,11.25,10.0,1.33,2966.0,0,0,12.33,16.0,22.19,22.5,93.0,16.98,2.34,65.11,2.86,100.0,3.94,14.60
48057,0,0,11.14,10.0,1.34,3024.0,0,0,12.33,16.0,22.54,22.5,93.0,17.12,2.51,66.82,2.88,100.0,3.94,14.60
48129,0,0,11.14,10.0,1.38,3072.0,0,0,12.25,16.0,21.48,21.0,93.0,17.27,2.71,69.72,2.86,100.0,3.94,14.60
48199,0,0,11.14,10.0,1.38,3089.0,0,0,12.48,16.0,21.48,21.0,93.0,17.56,2.92,73.65,2.94,100.0,3.94,14.60
48271,0,0,11.14,10.0,1.43,3167.0,0,0,12.33,16.0,20.78,20.5,93.0,17.7,3.17,75.72,2.98,100.0,3.94,14.60
48341,0,0,11.14,10.0,1.45,3198.0,0,0,12.33,16.0,20.43,20.0,93.0,17.85,3.44,78.27,3.0,100.0,3.94,14.60
48413,0,0,11.14,10.0,1.47,3282.0,0,0,12.33,16.0,20.08,20.0,93.0,18.14,3.67,79.75,3.04,100.0,3.96,14.60
48483,0,0,11.14,10.0,1.5,3326.0,0,0,12.22,16.0,19.73,19.5,93.0,18.43,3.94,83.35,3.06,100.0,3.94,14.60
48554,0,0,11.14,10.0,1.5,3414.0,0,0,12.1,16.0,19.73,19.0,91.0,18.72,4.23,86.7,3.0,100.0,3.94,14.60
48625,0,0,11.14,10.0,1.57,3420.0,0,0,12.22,16.0,18.67,18.5,91.0,18.86,4.58,89.9,3.1,100.0,3.96,14.60
48696,0,0,11.14,10.0,1.62,3490.0,0,0,12.3,16.0,17.97,17.5,91.0,19.44,4.97,91.96,3.14,100.0,3.94,14.60
48767,0,0,11.14,10.0,1.69,3532.0,0,0,11.88,16.0,16.56,16.5,91.0,19.88,5.36,97.64,3.18,100.0,3.94,14.60
48838,0,0,11.14,10.0,1.7,3580.0,0,0,11.97,16.0,15.86,16.0,91.0,20.31,5.82,100.08,3.18,100.0,3.96,14.60
48909,0,0,11.14,10.0,1.77,3639.0,0,0,11.88,16.0,14.45,15.5,91.0,20.75,6.34,104.71,3.32,100.0,3.94,14.60
48979,0,0,11.14,10.0,1.84,3702.0,0,0,11.76,16.0,13.4,13.0,91.0,21.33,7.04,110.74,3.32,100.0,3.94,14.60
