#,,,,,,,,,,,,,,,,,
Time,A/F Correction #1,A/F Learning #1,A/F Sensor #1,CL/OL Fueling*,Engine Load*,RPM,Feedback Knock Correction*,Fine Learning Knock Correction*,Fueling Final Base*,IAM*,Ignition Base Timing*,Ignition Total Timing,Manifold Absolute Pressure,Mass Airflow,Mass Airflow Sensor Voltage,Throttle Sensor Voltage,AEM UEGO Wideband  (AFR Gasoline)
msec,%,%,AFR,status,g/rev,rpm,degrees,degrees,estimate,raw ecu,degrees,degrees,psi,g/s,V,V,9600 bau
0,3.12,0,15.39,8,0.53,1128,0,0,14.69,16,28.87,28.5,9.43,10.17,1.72,0.8,15.33
73,3.12,0,15.27,8,0.53,1184,0,0,14.69,16,28.87,28.5,9.29,10.03,1.72,0.8,15.32
146,3.12,0,15.27,8,0.53,1188,0,0,14.69,16,28.87,28.5,9.29,10.13,1.72,0.8,15.3
220,3.91,0,15.27,8,0.52,1184,0,0,14.69,16,28.52,28.5,9.14,10.28,1.72,0.8,15.26
292,3.91,0,15.16,8,0.52,1208,0,0,14.69,16,28.52,28.5,9.14,10.33,1.74,0.8,15.24
365,4.69,0,15.27,8,0.51,1233,0,0,14.69,16,28.16,28,9,10.38,1.74,0.8,15.2
439,4.69,0,15.27,8,0.51,1228,0,0,14.69,16,27.81,28,8.85,10.49,1.74,0.8,15.14
511,4.69,0,15.16,8,0.5,1262,0,0,14.69,16,27.81,27.5,8.56,10.48,1.74,0.8,15.1
584,4.69,0,15.04,8,0.5,1273,0,0,15.13,16,27.81,27,8.56,10.43,1.74,0.8,15.02
658,4.69,0,14.93,8,0.48,1306,0,0,14.7,16,27.11,27,8.42,10.43,1.72,0.8,14.94
730,4.69,0,14.81,8,0.47,1311,0,0,14.7,16,26.76,26.5,8.27,10.23,1.72,0.8,14.9
804,4.69,0,14.81,8,0.47,1332,0,0,14.7,16,26.76,26.5,8.13,10.43,1.74,0.8,14.88
877,4.69,0,14.7,8,0.47,1335,0,0,14.7,16,26.76,26.5,8.13,10.38,1.74,0.8,14.84
950,5.47,0,14.81,8,0.46,1356,0,0,14.7,16,26.76,26.5,7.98,10.48,1.74,0.8,14.86
1022,5.47,0,14.81,8,0.46,1363,0,0,14.7,16,27.11,26.5,7.98,10.49,1.74,0.8,14.88
1095,5.47,0,14.93,8,0.45,1379,0,0,14.7,16,26.76,27,7.84,10.54,1.74,0.8,14.88
1169,5.47,0,14.93,8,0.44,1397,0,0,14.7,16,26.76,27,7.69,10.45,1.74,0.8,14.84
1243,4.69,0,14.59,8,0.44,1414,0,0,14.73,16,27.11,27,7.69,10.38,1.74,0.8,14.82
1315,4.69,0,14.59,8,0.43,1448,0,0,14.73,16,27.11,27,7.69,10.33,1.74,0.8,14.78
1388,4.69,0,14.59,8,0.42,1452,0,0,14.73,16,27.11,27,7.55,10.33,1.74,0.8,14.72
1460,4.69,0,14.59,8,0.43,1471,0,0,14.73,16,27.46,27,7.55,10.48,1.74,0.8,14.66
1534,4.69,0,14.59,8,0.42,1488,0,0,14.73,16,27.81,27,7.4,10.43,1.74,0.8,14.66
1607,4.69,0,14.59,8,0.42,1498,0,0,14.73,16,28.16,27.5,7.4,10.45,1.74,0.8,14.66
1680,4.69,0,14.7,8,0.42,1516,0,0,14.73,16,27.81,28,7.25,10.48,1.74,0.82,14.64
