#
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Manifold Absolute Pressure	Mass Airflow	Mass Airflow Sensor Voltage	Throttle Sensor Voltage	AEM UEGO Wideband  (AFR Gasoline)
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu 	degrees	degrees	psi	g/s	V	V	9600 bau
0.000	3.12	0.78	14.7	8.0	0.49	3549.0	0.000	0.000	14.77	16.0	44.34	43.5	8.71	29.15	2.34	1.04	14.70
63.000	3.12	0.78	14.7	8.0	0.48	3597.0	0.000	0.000	14.77	16.0	44.34	43.5	8.56	29.26	2.32	1.04	14.70
124.000	3.91	0.78	14.7	8.0	0.48	3621.0	0.000	0.000	14.77	16.0	44.34	43.5	8.42	29.26	2.32	1.02	14.64
186.000	3.91	0.78	14.81	8.0	0.47	3626.0	0.000	0.000	14.77	16.0	44.34	43.5	8.27	28.94	2.34	1.02	14.58
247.000	3.12	0.78	14.7	8.0	0.48	3650.0	0.000	0.000	14.77	16.0	44.34	43.5	8.27	28.73	2.32	1.02	14.56
309.000	2.34	0.78	14.36	8.0	0.48	3635.0	0.000	0.000	15.05	16.0	44.34	43.5	8.27	29.15	2.32	1.02	14.54
371.000	3.12	0.78	14.47	8.0	0.46	3621.0	0.000	0.000	14.76	16.0	44.34	43.5	8.13	28.2	2.3	1.02	14.52
433.000	2.34	0.78	14.47	8.0	0.46	3632.0	0.000	0.000	14.76	16.0	44.34	43.5	8.13	28.52	2.3	1.02	14.58
494.000	2.34	0.78	14.47	8.0	0.45	3655.0	0.000	0.000	14.76	16.0	44.34	43.5	7.98	27.68	2.3	1.02	14.64
556.000	2.34	0.78	14.59	8.0	0.45	3689.0	0.000	0.000	14.76	16.0	44.34	43.5	7.98	27.99	2.3	1.02	14.66
618.000	2.34	0.78	14.7	8.0	0.46	3696.0	0.000	0.000	14.76	16.0	44.34	43.5	7.84	28.09	2.3	1.02	14.68
679.000	2.34	0.78	14.7	8.0	0.46	3694.0	0.000	0.000	14.76	16.0	44.34	43.5	7.84	28.2	2.3	1.02	14.70
741.000	2.34	0.78	14.7	8.0	0.46	3685.0	0.000	0.000	14.79	16.0	44.34	43.5	7.84	28.2	2.3	1.02	14.70
803.000	2.34	0.78	14.59	8.0	0.46	3714.0	0.000	0.000	14.79	16.0	44.34	43.5	7.98	28.2	2.32	1.04	14.70
MARK 000
