##
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Manifold Absolute Pressure	Mass Airflow	Mass Airflow Sensor Voltage	Throttle Sensor Voltage	AEM UEGO Wideband
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu	degrees	degrees	psi	g/s	V	V	9600 bau
0.000	3.12	0.0	15.39	8.0	0.53	1128.0	0.0	0.0	14.69	16.0	28.87	28.5	9.43	10.17	1.72	0.8	15.33
73.000	3.12	0.0	15.27	8.0	0.53	1184.0	0.0	0.0	14.69	16.0	28.87	28.5	9.29	10.03	1.72	0.8	15.32
146.000	3.12	0.0	15.27	8.0	0.53	1188.0	0.0	0.0	14.69	16.0	28.87	28.5	9.29	10.13	1.72	0.8	15.3
220.000	3.91	0.0	15.27	8.0	0.52	1184.0	0.0	0.0	14.69	16.0	28.52	28.5	9.14	10.28	1.72	0.8	15.26
292.000	3.91	0.0	15.16	8.0	0.52	1208.0	0.0	0.0	14.69	16.0	28.52	28.5	9.14	10.33	1.74	0.8	15.24
365.000	4.69	0.0	15.27	8.0	0.51	1233.0	0.0	0.0	14.69	16.0	28.16	28.0	9.0	10.38	1.74	0.8	15.2
439.000	4.69	0.0	15.27	8.0	0.51	1228.0	0.0	0.0	14.69	16.0	27.81	28.0	8.85	10.49	1.74	0.8	15.14
511.000	4.69	0.0	15.16	8.0	0.5	1262.0	0.0	0.0	14.69	16.0	27.81	27.5	8.56	10.48	1.74	0.8	15.1
584.000	4.69	0.0	15.04	8.0	0.5	1273.0	0.0	0.0	15.13	16.0	27.81	27.0	8.56	10.43	1.74	0.8	15.02
658.000	4.69	0.0	14.93	8.0	0.48	1306.0	0.0	0.0	14.7	16.0	27.11	27.0	8.42	10.43	1.72	0.8	14.94
730.000	4.69	0.0	14.81	8.0	0.47	1311.0	0.0	0.0	14.7	16.0	26.76	26.5	8.27	10.23	1.72	0.8	14.9
804.000	4.69	0.0	14.81	8.0	0.47	1332.0	0.0	0.0	14.7	16.0	26.76	26.5	8.13	10.43	1.74	0.8	14.88
877.000	4.69	0.0	14.7	8.0	0.47	1335.0	0.0	0.0	14.7	16.0	26.76	26.5	8.13	10.38	1.74	0.8	14.84
950.000	5.47	0.0	14.81	8.0	0.46	1356.0	0.0	0.0	14.7	16.0	26.76	26.5	7.98	10.48	1.74	0.8	14.86
1022.000	5.47	0.0	14.81	8.0	0.46	1363.0	0.0	0.0	14.7	16.0	27.11	26.5	7.98	10.49	1.74	0.8	14.88
1095.000	5.47	0.0	14.93	8.0	0.45	1379.0	0.0	0.0	14.7	16.0	26.76	27.0	7.84	10.54	1.74	0.8	14.88
1169.000	5.47	0.0	14.93	8.0	0.44	1397.0	0.0	0.0	14.7	16.0	26.76	27.0	7.69	10.45	1.74	0.8	14.84
1243.000	4.69	0.0	14.59	8.0	0.44	1414.0	0.0	0.0	14.73	16.0	27.11	27.0	7.69	10.38	1.74	0.8	14.82
1315.000	4.69	0.0	14.59	8.0	0.43	1448.0	0.0	0.0	14.73	16.0	27.11	27.0	7.69	10.33	1.74	0.8	14.78
1388.000	4.69	0.0	14.59	8.0	0.42	1452.0	0.0	0.0	14.73	16.0	27.11	27.0	7.55	10.33	1.74	0.8	14.72
1460.000	4.69	0.0	14.59	8.0	0.43	1471.0	0.0	0.0	14.73	16.0	27.46	27.0	7.55	10.48	1.74	0.8	14.66
1534.000	4.69	0.0	14.59	8.0	0.42	1488.0	0.0	0.0	14.73	16.0	27.81	27.0	7.4	10.43	1.74	0.8	14.66
1607.000	4.69	0.0	14.59	8.0	0.42	1498.0	0.0	0.0	14.73	16.0	28.16	27.5	7.4	10.45	1.74	0.8	14.66
1680.000	4.69	0.0	14.7	8.0	0.42	1516.0	0.0	0.0	14.73	16.0	27.81	28.0	7.25	10.48	1.74	0.82	14.64
1753.000	3.91	0.0	14.59	8.0	0.41	1506.0	0.0	0.0	14.73	16.0	27.81	28.0	7.25	10.45	1.74	0.8	14.64
1826.000	3.91	0.0	14.47	8.0	0.4	1524.0	0.0	0.0	14.73	16.0	28.16	28.5	7.11	10.48	1.74	0.8	14.64
1899.000	3.91	0.0	14.36	8.0	0.4	1539.0	0.0	0.0	14.73	16.0	28.16	28.0	7.11	10.38	1.74	0.8	14.6
1972.000	3.91	0.0	14.36	8.0	0.4	1548.0	0.0	0.0	14.73	16.0	28.52	28.5	7.11	10.28	1.74	0.82	14.58
2045.000	3.12	0.0	14.47	8.0	0.4	1571.0	0.0	0.0	14.73	16.0	28.87	28.5	6.96	10.47	1.74	0.8	14.56
2118.000	3.91	0.0	14.47	8.0	0.4	1565.0	0.0	0.0	14.73	16.0	28.87	28.5	6.96	10.38	1.74	0.8	14.54
2192.000	3.91	0.0	14.47	8.0	0.4	1564.0	0.0	0.0	14.73	16.0	28.87	28.5	6.96	10.45	1.74	0.82	14.52
