#
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Manifold Absolute Pressure	Mass Airflow	Mass Airflow Sensor Voltage	Throttle Sensor Voltage	AEM UEGO Wideband  (AFR Gasoline)
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu 	degrees	degrees	psi	g/s	V	V	9600 bau
0.000	-1.560	2.34	14.81	8.0	0.5	3112.0	0.000	0.000	14.69	16.0	44.34	44.0	8.13	25.4	2.24	1.02	14.80
62.000	-0.780	2.34	14.81	8.0	0.52	3135.0	0.000	0.000	14.68	16.0	44.34	44.0	8.27	26.51	2.28	1.06	14.83
123.000	-0.780	2.34	14.81	8.0	0.57	3140.0	0.000	0.000	13.7	16.0	43.98	44.0	8.27	26.51	2.34	1.12	14.78
185.000	-0.780	2.34	14.81	8.0	0.67	3183.0	0.000	0.000	13.74	16.0	43.63	43.5	8.71	28.63	2.46	1.24	14.74
247.000	-4.690	2.34	14.81	8.0	0.81	3183.0	0.000	0.000	13.98	16.0	41.17	41.5	9.72	34.58	2.58	1.42	14.42
308.000	-13.280	2.34	14.81	8.0	0.93	3190.0	0.000	0.000	14.17	16.0	38.71	38.5	11.17	40.59	2.68	1.66	14.58
370.000	0.000	2.34	12.06	10.0	0.97	3217.0	0.000	0.000	14.25	16.0	36.6	36.5	12.62	46.99	2.74	2.08	14.72
432.000	0.000	2.34	13.44	10.0	0.97	3204.0	0.000	0.000	14.36	16.0	36.6	36.5	14.07	51.12	2.78	2.48	14.42
494.000	0.000	2.34	15.04	10.0	1.03	3288.0	0.000	0.000	13.23	16.0	35.9	34.5	14.65	53.34	2.84	2.94	14.12
555.000	0.000	2.34	14.81	10.0	1.05	3304.0	0.000	0.000	12.92	16.0	33.44	34.0	14.95	56.13	2.9	3.18	14.12
617.000	0.000	2.34	12.52	10.0	1.07	3323.0	0.000	0.000	12.27	16.0	33.44	32.5	15.24	57.8	2.84	3.58	13.50
678.000	0.000	2.34	12.63	10.0	1.1	3390.0	0.000	0.000	12.11	16.0	31.68	31.5	15.67	60.27	2.94	3.9	12.88
740.000	0.000	1.56	12.29	10.0	1.13	3412.0	0.000	0.000	12.32	16.0	31.68	31.5	15.96	62.84	2.94	3.94	12.66
802.000	0.000	1.56	11.71	10.0	1.16	3424.0	0.000	0.000	12.32	16.0	30.27	30.5	16.4	64.39	2.88	3.94	12.44
864.000	0.000	1.56	11.02	10.0	1.16	3496.0	0.000	0.000	12.21	16.0	29.57	29.5	16.69	67.7	3.02	3.96	12.34
926.000	0.000	1.56	11.48	10.0	1.25	3549.0	0.000	0.000	12.32	16.0	28.16	28.5	16.98	70.83	3.02	3.96	12.40
987.000	0.000	0.0	11.71	10.0	1.25	3578.0	0.000	0.000	12.32	16.0	28.16	27.0	17.41	73.03	3.0	3.96	12.46
1049.000	0.000	0.0	11.71	10.0	1.28	3640.0	0.000	0.000	12.2	16.0	26.41	26.0	17.85	76.37	3.08	3.96	12.68
1111.000	0.000	0.0	11.94	10.0	1.29	3678.0	0.000	0.000	12.41	16.0	25.7	25.0	18.43	80.32	3.12	3.96	12.86
1172.000	0.000	0.0	11.94	10.0	1.37	3737.0	0.000	0.000	12.32	16.0	24.3	24.0	18.43	80.32	3.18	3.96	12.90
1234.000	0.000	0.0	12.06	10.0	1.44	3769.0	0.000	0.000	12.15	16.0	22.89	22.5	18.86	83.77	3.2	3.96	12.92
1295.000	0.000	0.0	12.06	10.0	1.44	3820.0	0.000	0.000	12.0	16.0	21.84	22.0	19.44	87.65	3.24	3.96	12.94
1358.000	0.000	0.0	11.94	10.0	1.49	3820.0	0.000	0.000	10.74	16.0	21.48	21.0	19.88	91.09	3.34	3.96	12.88
1419.000	0.000	0.0	11.94	10.0	1.57	3868.0	0.000	0.000	11.61	16.0	19.73	19.5	20.75	94.92	3.34	3.96	12.82
1481.000	0.000	0.0	11.71	10.0	1.65	3912.0	0.000	0.000	11.55	16.0	19.02	19.0	21.47	101.26	3.46	3.96	12.76
1543.000	0.000	0.0	11.6	10.0	1.68	3985.0	0.000	0.000	11.38	16.0	17.62	17.5	22.2	107.63	3.5	3.96	12.70
1604.000	0.000	0.0	11.48	10.0	1.77	4047.0	0.000	0.000	11.24	16.0	16.21	15.5	22.93	111.41	3.54	3.96	12.64
1666.000	0.000	0.0	11.37	10.0	1.81	4074.0	0.000	0.000	10.93	16.0	14.45	14.0	23.94	118.17	3.58	3.96	12.54
1728.000	0.000	0.0	11.14	10.0	1.89	4164.0	0.000	0.000	10.91	16.0	13.4	13.0	24.81	124.95	3.72	3.96	12.42
1790.000	0.000	0.0	11.14	10.0	1.99	4244.0	0.000	0.000	10.76	16.0	12.34	13.0	25.97	133.66	3.72	3.96	12.30
1851.000	0.000	0.0	11.02	10.0	2.07	4280.0	0.000	0.000	9.84	16.0	11.64	11.5	27.13	142.17	3.74	3.96	12.18
1913.000	0.000	0.0	10.91	10.0	2.14	4368.0	0.000	0.000	10.66	16.0	11.29	11.5	28.29	153.29	3.86	3.96	12.12
1975.000	0.000	0.0	10.91	10.0	2.23	4459.0	0.000	0.000	10.61	16.0	11.29	10.5	29.45	161.99	3.9	3.96	12.12
2037.000	0.000	0.0	10.91	10.0	2.28	4540.0	0.000	0.000	10.66	16.0	11.29	11.0	30.62	172.77	3.98	3.96	12.20
2099.000	0.000	0.0	11.14	10.0	2.32	4624.0	0.000	0.000	10.63	16.0	11.64	11.0	31.78	179.38	4.04	3.96	12.28
2160.000	0.000	0.0	11.14	10.0	2.31	4690.0	0.000	0.000	9.87	16.0	11.64	11.5	32.65	183.95	4.06	3.96	12.36
2221.000	0.000	0.0	11.14	10.0	2.34	4768.0	0.000	0.000	10.65	16.0	11.99	11.5	33.23	186.54	4.08	3.96	12.38
2284.000	0.000	0.0	11.14	10.0	2.34	4842.0	0.000	0.000	10.69	16.0	11.99	11.5	33.23	186.54	4.12	3.96	12.40
2346.000	0.000	0.0	11.14	10.0	2.29	4842.0	0.000	0.000	10.56	16.0	11.99	11.5	33.66	190.61	4.14	3.96	12.42
2407.000	0.000	0.0	11.14	10.0	2.31	4950.0	0.000	0.000	10.35	16.0	11.99	12.0	33.52	193.2	4.16	3.96	12.42
2468.000	0.000	0.0	11.14	10.0	2.31	5020.0	0.000	0.000	10.31	16.0	12.34	12.0	33.37	196.89	4.16	3.96	12.42
2530.000	0.000	0.0	11.14	10.0	2.37	5151.0	0.000	0.000	10.2	16.0	12.7	12.5	33.23	198.36	4.2	3.96	12.46
2592.000	0.000	0.0	11.14	10.0	2.37	5244.0	0.000	0.000	10.26	16.0	12.7	12.5	33.08	204.58	4.2	3.96	12.50
2653.000	0.000	0.0	11.14	10.0	2.4	5323.0	0.000	0.000	10.2	16.0	13.05	13.0	33.23	209.34	4.24	3.96	12.44
2716.000	0.000	0.0	11.14	10.0	2.43	5403.0	0.000	0.000	10.32	16.0	13.4	13.0	33.37	212.89	4.26	3.96	12.44
2778.000	0.000	0.0	11.14	10.0	2.36	5535.0	0.000	0.000	10.37	16.0	13.75	13.0	33.37	212.89	4.28	3.96	12.44
