Time (msec),A/F Sensor #1 (Direct)* (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Tank Pressure (psi),IAM* (raw ecu value),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,14.92,192,0.53,1352,0.00,0.00,-0.052,16,12.24,-1.08,5.10
172,14.72,192,0.55,1374,0.00,0.00,-0.052,16,12.55,-1.08,5.49
344,14.90,192,0.56,1383,0.00,0.00,-0.056,16,12.87,-1.08,5.49
516,14.58,192,0.57,1339,0.00,0.00,-0.056,16,12.98,-1.08,5.88
688,14.62,192,0.62,1279,0.00,0.00,-0.056,16,13.27,-1.08,5.88
859,14.70,192,0.66,1172,0.00,0.00,-0.056,16,13.70,-1.08,6.27
1031,14.16,192,0.64,1378,0.00,0.00,-0.056,16,14.30,-1.08,6.67
1203,14.14,192,0.63,1406,0.00,0.00,-0.056,16,14.69,-1.08,7.06
1375,14.78,192,0.66,1590,0.00,0.00,-0.056,16,18.32,-1.08,9.02
1562,15.12,192,0.69,1649,0.00,0.00,-0.052,16,19.46,-1.16,10.20
1734,14.78,192,0.72,1810,0.00,0.00,-0.052,16,22.12,-1.22,10.98
1906,14.63,192,0.70,1996,0.00,0.00,-0.052,16,23.64,-1.33,11.37
2078,14.43,192,0.69,2091,0.00,0.00,-0.052,16,23.93,-1.41,11.37
2250,14.42,192,0.67,2264,0.00,0.00,-0.052,16,24.93,-1.49,10.98
2422,14.56,192,0.65,2414,0.00,0.00,-0.056,16,25.93,-2.09,10.98
2594,14.40,192,0.63,2496,0.00,0.00,-0.056,16,26.24,-3.00,10.98
2766,14.49,192,0.62,2620,0.00,0.00,-0.056,16,26.98,-3.31,10.98
2937,14.60,192,0.60,2738,0.00,0.00,-0.056,16,27.42,-3.89,10.98
3125,14.30,192,0.47,2820,0.00,0.00,-0.056,16,26.10,-4.20,3.92
3297,11.75,192,0.23,2802,0.00,0.00,-0.056,16,8.70,-4.20,0.00
3469,11.58,194,0.24,2757,0.00,0.00,-0.056,16,11.19,-3.98,0.00
3640,12.12,194,0.25,2644,0.00,0.00,-0.056,16,10.94,-2.88,0.00
3812,13.17,194,0.26,2295,0.00,0.00,-0.056,16,10.04,-1.51,0.00
3984,15.62,194,0.26,1938,0.00,0.00,-0.056,16,8.61,-1.30,0.00
4156,21.47,194,0.27,1726,0.00,0.00,-0.056,16,7.82,-1.10,0.00
4328,24.75,194,0.30,1401,0.00,0.00,-0.056,16,7.46,-1.08,0.00
4500,23.51,194,0.28,1300,0.00,0.00,-0.056,16,5.36,-1.08,0.00
4687,23.85,194,0.23,1338,0.00,0.00,-0.056,16,4.57,-1.08,0.00
4859,22.74,194,0.22,1303,0.00,0.00,-0.056,16,4.67,-1.08,0.00
5031,15.38,194,0.22,1279,0.00,0.00,-0.056,16,4.73,-1.08,0.00
5203,14.51,194,0.22,1250,0.00,0.00,-0.056,16,4.64,-1.08,0.00
5375,14.27,194,0.27,1232,0.00,0.00,-0.056,16,6.06,-1.08,2.75
5547,15.14,194,0.44,1156,0.00,0.00,-0.056,16,9.98,-1.08,5.10
5718,15.01,194,0.49,1586,0.00,0.00,-0.056,16,13.05,-1.08,6.67
5890,13.40,194,0.52,1749,0.00,0.00,-0.056,16,15.40,-1.18,7.06
6062,14.33,194,0.56,1729,0.00,0.00,-0.056,16,16.55,-1.14,7.84
6234,13.80,194,0.66,1551,0.00,0.00,-0.059,16,18.12,-1.08,10.59
6421,13.02,194,0.81,1626,0.00,0.00,-0.059,16,23.95,-0.72,13.73
6593,14.09,194,0.86,1692,0.00,0.00,-0.059,16,24.40,-0.31,14.90
6765,14.73,194,0.88,1767,0.00,0.00,-0.059,16,26.61,0.12,15.69
6937,14.81,194,0.89,1836,0.00,0.00,-0.059,16,27.54,0.46,16.47
7109,15.14,194,0.89,1918,0.00,0.00,-0.059,16,28.02,0.68,16.47
7281,14.59,194,0.88,1991,0.00,0.00,-0.059,16,29.06,0.91,16.47
7453,14.70,194,0.87,2015,0.00,0.00,-0.059,16,29.27,0.89,16.08
7625,14.78,194,0.87,2081,0.00,0.00,-0.059,16,30.61,0.83,16.08
7796,14.87,192,0.87,2172,0.00,0.00,-0.059,16,31.29,0.81,15.69
7968,14.95,192,0.85,2237,0.00,0.00,-0.059,16,31.73,0.23,14.51
8156,15.16,192,0.79,2321,0.00,0.00,-0.059,16,30.39,-0.48,13.73
8328,14.84,192,0.77,2392,0.00,0.00,-0.059,16,29.94,-0.87,13.33
8499,15.62,192,0.78,2414,0.00,0.00,-0.059,16,31.06,-1.55,13.33
8671,14.98,192,0.76,2492,0.00,0.00,-0.056,16,31.62,-1.93,12.94
8843,14.87,192,0.74,2550,0.00,0.00,-0.056,16,31.40,-2.77,12.55
9015,14.78,192,0.69,2596,0.00,-0.70,-0.056,16,29.83,-3.21,11.37
9187,15.06,192,0.63,2628,0.00,0.00,-0.056,16,27.63,-3.35,10.59
9359,14.90,192,0.59,2672,0.00,0.00,-0.056,16,25.52,-3.56,9.80
9531,14.54,192,0.55,2689,0.00,0.00,-0.056,16,24.89,-3.85,9.41
9703,14.44,192,0.53,2752,0.00,0.00,-0.056,16,23.87,-3.94,9.41
9874,14.37,192,0.51,2753,0.00,0.00,-0.056,16,23.55,-4.04,9.02
10062,14.52,192,0.48,2764,0.00,0.00,-0.056,16,22.30,-4.12,8.63
10234,14.27,192,0.47,2798,0.00,0.00,-0.056,16,21.84,-4.18,8.63
10406,14.52,192,0.46,2807,0.00,0.00,-0.052,16,21.28,-4.20,8.63
10578,14.39,192,0.47,2841,0.00,0.00,-0.052,16,22.48,-4.20,8.63
10749,14.14,192,0.46,2859,0.00,0.00,-0.052,16,21.30,-4.22,8.63
10921,14.56,192,0.45,2854,0.00,0.00,-0.052,16,21.33,-4.22,8.63
11109,14.71,192,0.46,2886,0.00,0.00,-0.052,16,21.74,-4.22,8.63
11280,14.39,192,0.46,2901,0.00,0.00,-0.052,16,22.09,-4.23,8.63
11452,13.79,192,0.46,2898,0.00,0.00,-0.052,16,21.91,-4.22,8.63
11624,14.58,192,0.45,2922,0.00,0.00,-0.052,16,22.43,-4.23,8.63
11796,14.50,192,0.46,2919,0.00,0.00,-0.052,16,22.52,-4.23,8.63
11968,14.48,192,0.46,2952,0.00,0.00,-0.052,16,22.09,-4.23,9.02
12140,14.56,192,0.47,2950,0.00,0.00,-0.052,16,23.31,-4.25,9.02
12312,14.50,192,0.48,2970,0.00,0.00,-0.052,16,24.07,-4.25,9.41
12484,14.49,192,0.47,2995,0.00,0.00,-0.052,16,23.48,-4.25,9.41
12671,14.66,192,0.48,3007,0.00,0.00,-0.052,16,24.17,-4.25,9.41
12843,14.47,192,0.47,3014,0.00,0.00,-0.049,16,23.68,-4.27,9.02
13015,14.35,192,0.46,3012,0.00,0.00,-0.049,16,23.58,-4.27,9.02
13187,14.62,192,0.47,3051,0.00,0.00,-0.049,16,24.17,-4.29,9.02
