Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
0,13.74,0.32,1981,0.00,0.00,16,39.77,39.50,21.19,-1.39,0.96,189,0.00
188,13.74,0.32,2014,0.00,0.00,16,40.12,40.00,21.54,-1.08,0.96,189,0.00
375,13.87,0.32,2069,0.00,0.00,16,40.82,40.50,21.71,-1.39,0.98,189,0.00
578,14.12,0.33,2117,0.00,0.00,16,41.17,41.00,22.06,-1.08,1.00,189,0.00
766,13.89,0.35,2163,0.00,0.00,16,41.52,41.50,24.62,-0.77,1.04,189,0.00
953,13.99,0.39,2218,0.00,0.00,16,38.36,39.00,28.63,1.08,1.10,189,0.00
1141,13.50,0.40,2282,0.00,0.00,16,38.01,38.00,30.60,1.39,1.12,189,0.00
1328,13.70,0.42,2348,0.00,0.00,16,37.66,37.00,32.86,1.70,1.12,189,0.00
1531,13.76,0.42,2429,0.00,0.00,16,36.95,36.50,34.08,1.70,1.12,189,0.00
1719,13.53,0.42,2502,0.00,0.00,16,37.30,37.00,34.94,1.70,1.12,189,0.00
1906,13.66,0.42,2569,0.00,0.00,16,37.66,37.50,35.69,0.77,1.10,189,0.00
2094,13.66,0.39,2617,0.00,0.00,16,40.12,39.50,34.08,-0.46,1.06,189,0.00
2297,13.59,0.37,2702,0.00,0.00,16,40.82,40.00,33.34,-1.08,1.04,189,0.00
2484,13.86,0.36,2762,0.00,0.00,16,41.88,41.50,32.62,-1.39,1.04,189,0.00
2672,13.66,0.35,2822,0.00,0.00,16,42.23,42.00,33.23,-2.01,1.02,189,0.39
2875,13.33,0.34,2862,0.00,0.00,16,42.58,42.50,31.27,-2.63,1.00,189,2.35
3062,13.50,0.30,2926,0.00,0.00,16,43.28,43.00,31.17,-3.25,0.98,189,1.57
3250,13.33,0.29,2944,0.00,0.00,16,43.98,43.50,27.89,-3.87,0.96,189,0.78
3437,13.28,0.27,2984,0.00,0.00,16,44.34,43.50,27.47,-4.18,0.96,189,0.00
3640,13.24,0.26,3030,0.00,0.00,16,44.34,44.00,26.52,-4.18,0.94,189,0.00
3828,13.16,0.25,3065,0.00,0.00,16,44.34,44.00,25.20,-4.18,0.94,189,0.00
4015,13.26,0.24,3091,0.00,0.00,16,44.34,44.00,25.20,-4.18,0.94,189,0.00
