Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F)
0,14.31,0.14,1618,0.00,0.00,16,21.13,24.50,7.29,-1.39,0.64,198
188,14.51,0.12,1556,0.00,0.00,16,6.72,11.50,6.44,-1.39,0.64,198
360,16.71,0.12,1614,0.00,0.00,16,6.37,3.00,6.29,-1.39,0.64,198
547,20.43,0.12,1562,0.00,0.00,16,6.72,8.00,5.74,-1.39,0.64,198
719,25.70,0.12,1517,0.00,0.00,16,6.72,12.00,6.15,-1.39,0.64,198
907,24.38,0.12,1490,0.00,0.00,16,7.07,14.00,6.11,-1.39,0.64,198
1094,23.74,0.11,1460,0.00,0.00,16,7.07,14.50,5.43,-1.39,0.64,198
1281,24.12,0.11,1447,0.00,0.00,16,7.07,14.00,5.43,-1.39,0.64,198
1453,23.68,0.12,1414,0.00,0.00,16,7.07,15.00,5.30,-1.39,0.64,198
1644,24.06,0.12,1378,0.00,0.00,16,7.07,-9.50,5.43,-1.39,0.64,198
1816,23.69,0.12,1356,0.00,0.00,16,7.07,-3.50,5.40,-1.39,0.64,198
2004,23.94,0.12,1360,0.00,0.00,16,7.07,2.50,5.40,-1.39,0.64,198
2191,22.42,0.12,1344,0.00,0.00,16,7.42,8.00,5.33,-1.39,0.64,198
2363,17.65,0.12,1332,0.00,0.00,16,7.07,13.00,5.27,-1.39,0.64,198
2550,15.91,0.12,1319,0.00,0.00,16,7.42,13.50,5.33,-1.39,0.64,198
2738,15.49,0.12,1325,0.00,0.00,16,7.42,13.00,5.30,-1.39,0.64,198
2925,15.25,0.12,1309,0.00,0.00,16,7.42,11.50,5.27,-1.39,0.64,198
3097,15.11,0.12,1298,0.00,0.00,16,7.42,10.50,5.33,-1.39,0.64,198
3285,15.13,0.12,1278,0.00,0.00,16,7.42,12.50,5.23,-1.39,0.64,198
3472,14.98,0.12,1285,0.00,0.00,16,7.42,11.00,5.27,-1.39,0.64,198
3644,14.93,0.12,1284,0.00,0.00,16,7.42,11.50,5.21,-1.39,0.64,198
3832,14.98,0.12,1268,0.00,0.00,16,7.42,10.50,5.21,-1.39,0.64,198
4019,14.98,0.13,1248,0.00,0.00,16,7.42,11.50,5.27,-1.39,0.64,198
4191,14.90,0.13,1254,0.00,0.00,16,7.42,9.50,5.21,-1.39,0.64,198
4378,14.89,0.13,1240,0.00,0.00,16,7.42,11.50,5.27,-1.39,0.64,198
4566,14.75,0.12,1236,0.00,0.00,16,7.42,10.50,5.21,-1.39,0.64,198
4738,14.67,0.13,1220,0.00,0.00,16,7.42,11.50,5.23,-1.39,0.64,198
4925,14.55,0.13,1242,0.00,0.00,16,7.42,9.50,5.21,-1.39,0.64,198
5113,14.53,0.13,1224,0.00,0.00,16,7.42,9.00,5.27,-1.39,0.64,198
5285,14.60,0.13,1222,0.00,0.00,16,7.42,10.00,5.36,-1.39,0.64,198
5472,14.65,0.13,1223,0.00,0.00,16,7.42,8.00,5.33,-1.39,0.64,198
5660,14.44,0.13,1214,0.00,0.00,16,7.42,9.50,5.30,-1.39,0.64,198
5831,14.46,0.13,1214,0.00,0.00,16,7.42,8.50,5.33,-1.39,0.64,198
6019,14.48,0.13,1210,0.00,0.00,16,7.42,8.00,5.30,-1.39,0.64,198
6206,14.67,0.14,1200,0.00,0.00,16,7.42,8.50,5.40,-1.39,0.64,198
6378,14.77,0.14,1202,0.00,0.00,16,7.42,8.50,5.46,-1.08,0.64,198
6566,14.82,0.14,1210,0.00,0.00,16,7.42,7.50,5.52,-1.39,0.64,198
6753,14.56,0.13,1222,0.00,0.00,16,7.42,6.00,5.46,-1.39,0.64,198
6941,14.42,0.13,1217,0.00,0.00,16,7.42,7.50,5.46,-1.39,0.64,198
7113,14.46,0.13,1210,0.00,0.00,16,7.42,8.00,5.43,-1.39,0.64,198
7300,14.53,0.13,1202,0.00,0.00,16,7.42,8.00,5.46,-1.39,0.64,198
7487,14.46,0.13,1200,0.00,0.00,16,7.42,8.00,5.43,-1.39,0.64,198
7660,14.30,0.14,1205,0.00,0.00,16,7.42,7.00,5.49,-1.08,0.64,198
7847,14.44,0.14,1209,0.00,0.00,16,7.42,6.00,5.52,-1.39,0.64,198
8034,14.45,0.14,1221,0.00,0.00,16,7.42,6.00,5.55,-1.39,0.64,198
8206,14.58,0.14,1222,0.00,0.00,16,7.42,6.00,5.59,-1.39,0.64,198
8394,14.53,0.14,1222,0.00,0.00,16,7.42,6.00,5.62,-1.39,0.64,198
8581,14.64,0.14,1228,0.00,0.00,16,7.42,6.00,5.55,-1.39,0.64,198
8753,14.50,0.14,1223,0.00,0.00,16,7.42,7.50,5.59,-1.39,0.64,198
8941,14.63,0.14,1212,0.00,0.00,16,7.42,7.50,5.65,-1.39,0.64,198
9128,14.70,0.14,1218,0.00,0.00,16,7.42,7.00,5.65,-1.39,0.64,198
9300,14.70,0.14,1224,0.00,0.00,16,7.42,7.00,5.65,-1.39,0.64,198
9487,14.60,0.14,1218,0.00,0.00,16,7.42,7.00,5.65,-1.39,0.64,198
9675,14.64,0.14,1220,0.00,0.00,16,7.42,7.00,5.65,-1.39,0.64,198
9847,14.67,0.14,1221,0.00,0.00,16,7.42,7.00,5.59,-1.39,0.64,199
10034,14.60,0.14,1219,0.00,0.00,16,7.42,7.50,5.62,-1.39,0.64,199
10222,14.49,0.14,1217,0.00,0.00,16,7.42,7.00,5.65,-1.39,0.64,199
10409,14.67,0.14,1213,0.00,0.00,16,7.42,5.50,5.65,-1.39,0.64,199
10581,14.73,0.14,1231,0.00,0.00,16,7.42,6.00,5.65,-1.39,0.64,199
10769,14.72,0.14,1221,0.00,0.00,16,7.42,7.00,5.72,-1.39,0.64,199
10956,14.58,0.14,1240,0.00,0.00,16,7.42,5.00,5.65,-1.39,0.64,199
11128,14.65,0.14,1231,0.00,0.00,16,7.42,8.00,5.72,-1.39,0.64,199
11331,14.51,0.14,1234,0.00,0.00,16,10.59,7.00,5.65,-1.39,0.64,199
11503,14.56,0.14,1246,0.00,0.00,16,10.59,8.00,5.72,-1.39,0.64,199
11690,14.53,0.14,1254,0.00,0.00,16,10.59,7.50,5.68,-1.39,0.64,199
11862,14.67,0.14,1243,0.00,0.00,16,10.59,9.50,5.65,-1.39,0.64,199
12050,14.65,0.13,1247,0.00,0.00,16,10.59,9.50,5.52,-1.39,0.64,199
12237,14.79,0.13,1246,0.00,0.00,16,10.59,8.50,5.59,-1.39,0.64,199
12409,14.97,0.13,1267,0.00,0.00,16,10.59,7.50,5.59,-1.39,0.64,199
12597,15.00,0.13,1261,0.00,0.00,16,10.59,8.50,5.46,-1.39,0.64,199
12784,15.00,0.13,1262,0.00,0.00,16,10.59,10.50,5.52,-1.39,0.64,199
12956,14.97,0.13,1249,0.00,0.00,16,10.59,10.50,5.52,-1.39,0.64,199
13143,15.06,0.13,1247,0.00,0.00,16,10.59,10.50,5.49,-1.39,0.64,199
13331,15.03,0.13,1254,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,199
13503,14.82,0.13,1254,0.00,0.00,16,10.59,9.50,5.46,-1.39,0.64,199
13690,14.82,0.13,1247,0.00,0.00,16,10.59,9.00,5.36,-1.39,0.64,199
13878,14.87,0.13,1244,0.00,0.00,16,10.59,9.50,5.36,-1.39,0.64,199
14050,14.82,0.13,1249,0.00,0.00,16,10.59,10.50,5.33,-1.39,0.64,199
14237,14.79,0.13,1254,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,199
14424,14.85,0.13,1242,0.00,0.00,16,10.59,9.50,5.30,-1.39,0.64,199
14596,14.67,0.13,1236,0.00,0.00,16,10.59,10.00,5.27,-1.39,0.64,199
14784,14.58,0.13,1238,0.00,0.00,16,10.59,10.50,5.21,-1.39,0.64,199
14971,14.56,0.13,1230,0.00,0.00,16,10.59,11.50,5.23,-1.39,0.64,199
15159,14.63,0.13,1229,0.00,0.00,16,10.59,11.00,5.27,-1.39,0.64,199
15346,14.68,0.13,1234,0.00,0.00,16,10.59,11.50,5.23,-1.39,0.64,199
15518,14.54,0.13,1236,0.00,0.00,16,10.59,9.50,5.33,-1.39,0.64,199
15706,14.58,0.13,1224,0.00,0.00,16,10.59,11.00,5.40,-1.39,0.64,199
15893,14.56,0.13,1240,0.00,0.00,16,10.59,9.50,5.40,-1.39,0.64,199
16065,14.53,0.13,1236,0.00,0.00,16,10.59,9.50,5.27,-1.39,0.64,199
16253,14.46,0.13,1225,0.00,0.00,16,10.59,10.50,5.30,-1.39,0.64,199
16440,14.53,0.13,1222,0.00,0.00,16,10.59,12.50,5.33,-1.39,0.64,199
16612,14.62,0.13,1224,0.00,0.00,16,10.59,11.00,5.23,-1.39,0.64,199
16799,14.63,0.13,1206,0.00,0.00,16,10.59,12.50,5.27,-1.39,0.64,199
16987,14.65,0.13,1212,0.00,0.00,16,10.94,11.50,5.27,-1.39,0.64,199
17174,14.70,0.13,1210,0.00,0.00,16,10.59,10.50,5.30,-1.39,0.64,199
17346,14.55,0.13,1210,0.00,0.00,16,10.59,9.50,5.36,-1.39,0.64,199
