Time (msec),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),A/F Sensor #1 (AFR),Manifold Absolute Pressure (psi)
0,149,0.13,1052,0.00,0.00,16,14.10,14.50,4.46,-1.08,0.64,14.36,4.79
172,149,0.13,1062,0.00,0.00,16,14.10,13.50,4.48,-1.08,0.64,14.47,4.79
360,149,0.13,1055,0.00,0.00,16,14.10,14.00,4.51,-1.08,0.64,14.47,4.79
547,149,0.13,1072,0.00,0.00,16,14.10,13.00,4.46,-1.08,0.64,14.59,4.79
719,149,0.13,1058,0.00,0.00,16,14.10,14.00,4.48,-1.08,0.64,14.36,4.79
922,149,0.13,1056,0.00,0.00,16,14.10,14.00,4.51,-1.08,0.64,14.36,4.79
1094,149,0.14,1066,0.00,0.00,16,14.10,12.50,4.46,-1.08,0.64,14.47,4.79
1266,149,0.13,1054,0.00,0.00,16,14.10,14.00,4.46,-1.08,0.64,14.36,4.79
1454,149,0.13,1061,0.00,0.00,16,14.10,13.50,4.46,-1.08,0.64,14.59,4.79
1641,149,0.13,1057,0.00,0.00,16,14.10,13.00,4.46,-1.08,0.64,14.59,4.79
1813,149,0.13,1043,0.00,0.00,16,14.10,14.50,4.46,-1.08,0.64,14.47,4.79
2000,149,0.13,1050,0.00,0.00,16,14.10,13.50,4.43,-1.08,0.64,14.59,4.79
2188,149,0.13,1046,0.00,0.00,16,14.10,15.00,4.43,-1.08,0.64,14.59,4.79
2360,149,0.13,1058,0.00,0.00,16,14.10,13.00,4.51,-1.08,0.64,14.70,4.79
2547,149,0.13,1043,0.00,0.00,16,14.10,15.00,4.46,-1.08,0.64,14.70,4.79
2735,149,0.13,1065,0.00,0.00,16,14.10,13.00,4.46,-1.08,0.64,14.70,4.79
2907,149,0.13,1043,0.00,0.00,16,14.10,13.00,4.46,-1.08,0.64,14.70,4.79
3094,149,0.13,1046,0.00,0.00,16,14.10,14.50,4.46,-1.08,0.64,14.59,4.79
3282,149,0.14,1056,0.00,0.00,16,14.10,13.00,4.46,-1.08,0.64,14.70,4.79
3469,149,0.13,1066,0.00,0.00,16,14.10,12.50,4.46,-1.08,0.64,14.70,4.79
3641,149,0.13,1067,0.00,0.00,16,14.10,13.00,4.46,-1.08,0.64,14.70,4.79
3828,149,0.13,1064,0.00,0.00,16,14.10,13.50,4.46,-1.08,0.64,14.59,4.79
4016,149,0.13,1073,0.00,0.00,16,14.10,12.50,4.46,-1.08,0.64,14.47,4.79
4188,149,0.12,1058,0.00,0.00,16,14.10,14.00,4.48,-1.08,0.64,14.59,4.79
4375,149,0.13,1067,0.00,0.00,16,14.10,13.50,4.40,-1.08,0.64,14.59,4.79
4563,149,0.13,1056,0.00,0.00,16,14.10,13.50,4.40,-1.08,0.64,14.47,4.79
4734,149,0.13,1055,0.00,0.00,16,14.10,15.00,4.46,-1.08,0.64,14.47,4.79
4922,149,0.13,1065,0.00,0.00,16,14.10,13.00,4.48,-1.08,0.64,14.59,4.79
5110,149,0.12,1066,0.00,0.00,16,14.10,13.00,4.46,-1.08,0.64,14.59,4.79
5281,149,0.11,1071,0.00,0.00,16,14.10,12.00,4.46,-1.08,0.64,14.70,4.79
5469,149,0.13,1062,0.00,0.00,16,14.10,14.00,4.51,-1.08,0.64,14.59,4.79
