Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),CL/OL Fueling* (status),Primary Open Loop Map Enrichment* (estimated AFR),Tip-in Enrichment (Last Calculated)* (raw enrichment value),Tip-in Throttle* (%)
0,14.59,0.12,931,0.00,0.00,16,14.10,14.00,4.79,3.70,-1.08,0.64,8,14.70,0,0.0
219,14.70,0.12,928,0.00,0.00,16,14.10,15.00,4.79,3.70,-1.08,0.64,8,14.70,0,0.0
453,14.47,0.12,934,0.00,0.00,16,14.10,14.00,4.79,3.72,-1.08,0.64,8,14.70,0,0.0
672,14.59,0.12,918,0.00,0.00,16,14.10,15.50,4.79,3.70,-1.08,0.64,8,14.70,0,0.0
906,14.70,0.12,934,0.00,0.00,16,14.10,14.00,4.79,3.70,-1.08,0.64,8,14.70,0,0.0
1125,14.70,0.12,934,0.00,0.00,16,14.10,14.00,4.79,3.70,-1.08,0.64,8,14.70,0,0.0
1359,14.59,0.12,944,0.00,0.00,16,14.10,13.00,4.79,3.70,-1.08,0.64,8,14.70,0,0.0
1578,14.59,0.12,937,0.00,0.00,16,14.10,14.00,4.79,3.70,-1.08,0.64,8,14.70,0,0.0
1797,14.70,0.12,938,0.00,0.00,16,14.10,13.00,4.79,3.70,-1.08,0.64,8,14.70,0,0.0
2031,14.70,0.12,936,0.00,0.00,16,14.10,13.00,4.79,3.70,-1.08,0.64,8,14.70,0,0.0
2250,14.59,0.12,943,0.00,0.00,16,14.10,12.50,4.79,3.70,-1.08,0.64,8,14.70,0,0.0
2484,14.59,0.12,935,0.00,0.00,16,14.10,13.00,4.79,3.70,-1.08,0.64,8,14.70,0,0.0
2703,14.70,0.12,943,0.00,0.00,16,14.10,13.00,4.79,3.67,-1.08,0.64,8,14.70,0,0.0
