Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Tip-in Throttle* (%),Tip-in Enrichment (Last Calculated)* (raw enrichment value)
0,14.36,0.13,1140,0.00,0.00,16,14.10,14.00,4.93,5.08,-1.08,0.64,0.0,0
202,14.47,0.14,1132,0.00,0.00,16,14.10,15.00,4.93,5.10,-1.08,0.64,0.0,0
402,14.59,0.13,1134,0.00,0.00,16,14.10,14.50,4.93,5.08,-1.08,0.64,0.0,0
598,14.59,0.13,1132,0.00,0.00,16,14.10,14.50,4.93,5.08,-1.08,0.64,0.0,0
797,14.59,0.13,1142,0.00,0.00,16,14.10,13.00,4.93,5.08,-1.08,0.64,0.0,0
1000,14.36,0.13,1131,0.00,0.00,16,14.10,14.50,4.93,5.08,-1.08,0.64,0.0,0
1201,14.47,0.14,1126,0.00,0.00,16,14.10,15.00,4.93,5.08,-1.08,0.64,0.0,0
1402,14.47,0.13,1144,0.00,0.00,16,14.10,13.00,4.93,5.08,-1.08,0.64,0.0,0
1599,14.59,0.13,1141,0.00,0.00,16,14.10,13.50,4.93,5.08,-1.08,0.64,0.0,0
1796,14.59,0.13,1139,0.00,0.00,16,14.10,14.00,4.93,5.10,-1.08,0.64,0.0,0
1997,14.47,0.13,1148,0.00,0.00,16,14.10,13.00,4.93,5.08,-1.08,0.64,0.0,0
2197,14.36,0.13,1143,0.00,0.00,16,14.10,13.50,4.93,5.04,-1.08,0.64,0.0,0
2394,14.24,0.13,1127,0.00,0.00,16,14.10,15.50,4.93,5.01,-1.08,0.64,0.0,0
2592,14.24,0.13,1123,0.00,0.00,16,14.10,15.50,4.93,5.01,-1.08,0.64,0.0,0
2794,14.36,0.13,1132,0.00,0.00,16,14.10,14.50,4.93,5.08,-1.08,0.64,0.0,0
2990,14.47,0.14,1133,0.00,0.00,16,14.10,14.00,4.93,5.08,-1.08,0.64,0.0,0
3194,14.47,0.13,1129,0.00,0.00,16,14.10,15.50,4.93,5.08,-1.08,0.64,0.0,0
3391,14.36,0.13,1133,0.00,0.00,16,14.10,14.00,4.93,5.08,-1.08,0.64,0.0,0
3591,14.47,0.14,1119,0.00,0.00,16,14.10,14.00,4.93,5.08,-1.08,0.64,0.0,0
3788,14.47,0.13,1125,0.00,0.00,16,14.10,13.50,4.93,5.04,-1.08,0.64,0.0,0
3990,14.70,0.13,1126,0.00,0.00,16,14.10,13.50,4.93,5.08,-1.08,0.64,0.0,0
4189,14.59,0.14,1115,0.00,0.00,16,14.10,15.50,4.93,5.08,-1.08,0.64,0.0,0
4389,14.70,0.14,1129,0.00,0.00,16,14.10,13.50,5.08,5.01,-1.08,0.64,0.0,0
4594,14.59,0.14,1110,0.00,0.00,16,14.10,15.50,5.08,5.08,-1.08,0.64,0.0,0
4795,14.47,0.14,1125,0.00,0.00,16,14.10,14.00,5.08,5.08,-1.08,0.64,0.0,0
4994,14.59,0.14,1127,0.00,0.00,16,14.10,13.50,4.93,5.08,-1.08,0.64,0.0,0
5191,14.59,0.13,1138,0.00,0.00,16,14.10,12.50,4.93,5.08,-1.08,0.64,0.0,0
5389,14.70,0.14,1126,0.00,0.00,16,14.10,13.00,4.93,5.08,-1.08,0.64,0.0,0
5590,14.70,0.13,1141,0.00,0.00,16,14.10,12.50,4.93,5.08,-1.08,0.64,0.0,0
5791,14.81,0.13,1135,0.00,0.00,16,14.10,13.50,4.93,5.08,-1.08,0.64,0.0,0
5989,14.59,0.13,1126,0.00,0.00,16,14.10,14.00,4.93,5.14,-1.08,0.64,0.0,0
6187,14.47,0.13,1144,0.00,0.00,16,14.10,13.00,4.93,5.08,-1.08,0.64,0.0,0
6384,14.47,0.13,1144,0.00,0.00,16,14.10,13.00,4.93,5.08,-1.08,0.64,0.0,0
6593,14.59,0.13,1133,0.00,0.00,16,14.10,14.00,4.93,5.08,-1.08,0.64,0.0,0
6785,14.47,0.13,1144,0.00,0.00,16,14.10,13.00,4.93,5.01,-1.08,0.64,0.0,0
6983,14.47,0.13,1138,0.00,0.00,16,14.10,13.50,4.93,5.04,-1.08,0.64,0.0,0
9547,14.47,0.13,1130,0.00,0.00,16,14.10,14.00,4.93,5.08,-1.08,0.64,0.0,0
9746,14.36,0.13,1131,0.00,0.00,16,14.10,14.00,4.93,5.08,-1.08,0.64,0.0,0
9946,14.47,0.14,1118,0.00,0.00,16,14.10,14.00,4.93,5.01,-1.08,0.64,0.0,0
10145,14.47,0.13,1123,0.00,0.00,16,14.10,14.50,4.93,5.04,-1.08,0.64,0.0,0
10349,14.59,0.13,1124,0.00,0.00,16,14.10,14.00,4.93,5.01,-1.08,0.64,0.0,0
10544,14.70,0.13,1134,0.00,0.00,16,14.10,13.00,4.93,5.01,-1.08,0.64,0.0,0
10742,14.70,0.13,1120,0.00,0.00,16,14.10,14.50,4.93,5.01,-1.08,0.64,0.0,0
10948,14.59,0.14,1114,0.00,0.00,16,14.10,15.00,4.93,5.08,-1.08,0.64,0.0,0
11146,14.70,0.13,1139,0.00,0.00,16,14.10,12.50,4.93,5.08,-1.08,0.64,0.0,0
11342,14.59,0.13,1137,0.00,0.00,16,14.10,13.00,4.93,4.95,-1.08,0.64,0.0,0
11541,14.70,0.13,1121,0.00,0.00,16,14.10,14.50,4.93,5.01,-1.08,0.64,0.0,0
11742,14.47,0.13,1130,0.00,0.00,16,14.10,13.50,4.93,4.95,-1.08,0.64,0.0,0
11942,14.47,0.13,1132,0.00,0.00,16,14.10,13.00,4.93,4.95,-1.08,0.64,0.0,0
12143,14.47,0.13,1114,0.00,0.00,16,14.10,15.00,4.93,5.01,-1.08,0.64,0.0,0
12340,14.70,0.13,1130,0.00,0.00,16,14.10,13.00,4.93,5.01,-1.08,0.64,0.0,0
12537,14.59,0.13,1129,0.00,0.00,16,14.10,13.00,4.93,4.95,-1.08,0.64,0.0,0
12737,14.59,0.13,1123,0.00,0.00,16,14.10,14.00,4.93,5.01,-1.08,0.64,0.0,0
12940,14.59,0.13,1129,0.00,0.00,16,14.10,13.50,4.93,4.97,-1.08,0.64,0.0,0
13135,14.24,0.13,1135,0.00,0.00,16,14.10,13.00,4.93,5.01,-1.08,0.64,0.0,0
13334,14.13,0.13,1122,0.00,0.00,16,14.10,14.00,4.93,5.01,-1.08,0.64,0.0,0
