Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Alternator Duty (%),Battery Voltage (V)
0,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.60
203,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.60
389,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.60
576,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.60
764,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.60
955,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.60
1156,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.84
1348,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.84
1545,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.84
1735,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.92
1924,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.92
2105,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.92
2292,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.92
2495,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.92
2683,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.92
2870,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.92
61533,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.48,-1.18,0.68,0.00,9.60
61736,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.48,-1.18,0.68,0.00,9.60
61923,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.48,-1.18,0.68,0.00,9.60
62111,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.48,-1.18,0.68,0.00,9.52
62299,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.52
62501,14.70,0.21,0,0.00,0.00,16,-20.00,9.50,14.22,3.47,-1.18,0.68,0.00,9.52
