Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.70,0.11,829,0.00,0.00,16,14.10,14.50,4.64,3.13,-1.30,0.64
175,14.59,0.11,825,0.00,0.00,16,14.10,14.50,4.64,3.17,-1.30,0.64
347,14.59,0.11,839,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
520,14.59,0.12,832,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
692,14.59,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
865,14.70,0.11,835,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
1037,14.70,0.11,829,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
1209,14.70,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.14,-1.30,0.64
1385,14.59,0.11,842,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
1557,14.59,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
1728,14.59,0.11,839,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
1899,14.59,0.11,840,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
2071,14.47,0.11,842,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
2244,14.70,0.11,834,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
2423,14.59,0.12,827,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
2596,14.59,0.11,840,0.00,0.00,16,14.10,13.00,4.64,3.14,-1.30,0.64
2766,14.47,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
2942,14.47,0.11,836,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
3112,14.47,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
3287,14.59,0.12,835,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
3457,14.59,0.11,831,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
3629,14.47,0.11,827,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
3801,14.59,0.11,824,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
3973,14.47,0.11,843,0.00,0.00,16,14.10,12.50,4.64,3.17,-1.30,0.64
4145,14.59,0.11,841,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
4317,14.59,0.11,840,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
4489,14.59,0.11,830,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
4661,14.70,0.11,825,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
4833,14.70,0.11,833,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
5005,14.70,0.11,843,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
5177,14.70,0.11,834,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
5348,14.70,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
5535,14.70,0.11,837,0.00,0.00,16,14.10,13.50,4.64,3.14,-1.30,0.64
5723,14.81,0.11,834,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
5894,14.81,0.12,829,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
6069,14.81,0.11,829,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
6242,14.70,0.11,840,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
6407,14.70,0.11,838,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
6587,14.70,0.11,836,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
6756,14.47,0.11,838,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
6928,14.59,0.11,836,0.00,0.00,16,14.10,12.50,4.64,3.17,-1.30,0.64
7105,14.59,0.11,849,0.00,0.00,16,14.10,12.50,4.64,3.17,-1.30,0.64
7275,14.47,0.11,839,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
7447,14.59,0.11,838,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
7619,14.36,0.11,836,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
7791,14.47,0.11,844,0.00,0.00,16,14.10,13.50,4.50,3.17,-1.30,0.64
7962,14.47,0.11,841,0.00,0.00,16,14.10,13.50,4.64,3.17,-1.30,0.64
8134,14.59,0.11,834,0.00,0.00,16,14.10,14.00,4.64,3.17,-1.30,0.64
8306,14.70,0.11,833,0.00,0.00,16,14.10,14.00,4.64,3.14,-1.30,0.64
8477,14.59,0.11,831,0.00,0.00,16,14.10,14.00,4.64,3.13,-1.30,0.64
8654,14.59,0.11,839,0.00,0.00,16,14.10,13.00,4.64,3.13,-1.30,0.64
8832,14.47,0.11,841,0.00,0.00,16,14.10,13.00,4.64,3.17,-1.30,0.64
