Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Battery Voltage (V),Alternator Duty (%)
0,15.04,0.26,1665,0.00,0.00,16,31.68,30.50,8.71,14.66,-1.39,0.86,13.68,29.00
198,14.81,0.25,1760,0.00,0.00,16,33.79,33.00,8.27,14.53,-1.39,0.86,13.68,27.00
392,14.81,0.24,1845,0.00,0.00,16,35.55,35.00,7.84,14.66,-1.39,0.86,13.68,25.00
579,14.70,0.23,1909,0.00,0.00,16,36.60,36.00,7.55,14.34,-1.39,0.86,13.60,24.00
767,14.36,0.21,1988,0.00,0.00,16,37.66,37.50,7.25,13.84,-1.39,0.84,13.68,22.00
954,14.13,0.20,2040,0.00,0.00,16,37.66,37.50,6.82,13.32,-1.70,0.84,13.52,20.00
1150,14.01,0.18,2083,0.00,0.00,16,35.20,37.00,6.67,12.37,-2.01,0.82,13.60,18.00
1334,13.32,0.17,2127,0.00,0.00,16,31.68,32.50,6.24,11.99,-2.01,0.82,13.52,16.00
1521,13.21,0.17,2154,0.00,0.00,16,30.27,30.50,5.95,10.99,-2.01,0.82,13.68,15.00
1708,13.21,0.16,2175,0.00,0.00,16,25.35,28.00,5.80,11.71,-2.32,0.82,13.68,14.00
1896,13.09,0.16,2203,0.00,0.00,16,25.70,26.00,5.66,11.61,-2.32,0.82,13.60,12.00
2099,12.98,0.16,2215,0.00,0.00,16,24.65,26.50,5.51,11.82,-2.32,0.82,13.68,10.00
2287,12.98,0.16,2244,0.00,0.00,16,25.00,25.00,5.51,11.88,-2.32,0.80,13.60,8.00
2474,12.86,0.16,2278,0.00,0.00,16,24.65,23.50,5.51,12.15,-2.32,0.80,13.68,7.00
2662,12.98,0.16,2276,0.00,0.00,16,23.24,24.00,5.51,12.15,-2.63,0.82,13.60,5.00
2849,13.09,0.16,2316,0.00,0.00,16,23.95,21.50,5.51,12.26,-2.63,0.82,13.68,3.00
3046,13.09,0.17,2299,0.00,0.00,16,25.00,23.50,5.51,12.75,-2.63,0.80,13.68,1.00
3237,13.21,0.16,2335,0.00,0.00,16,22.54,24.00,5.51,12.64,-2.63,0.80,13.68,0.00
3424,13.32,0.17,2360,0.00,0.00,16,24.65,24.00,5.66,13.01,-2.63,0.80,13.68,0.00
3614,13.32,0.17,2382,0.00,0.00,16,23.95,21.00,5.66,12.90,-2.94,0.80,13.68,0.00
3802,13.55,0.17,2390,0.00,0.00,16,26.05,24.00,5.66,13.32,-2.94,0.80,13.68,0.00
3994,13.55,0.17,2419,0.00,0.00,16,24.65,26.00,5.66,13.84,-2.94,0.82,13.68,0.00
4182,13.44,0.17,2455,0.00,0.00,16,24.65,24.50,5.66,13.84,-3.25,0.80,13.52,0.00
4366,13.32,0.17,2453,0.00,0.00,16,25.00,24.00,5.66,13.78,-2.94,0.80,13.68,0.00
4554,13.21,0.17,2489,0.00,0.00,16,25.00,23.00,5.66,13.84,-3.25,0.82,13.52,0.00
4741,13.21,0.17,2496,0.00,0.00,16,25.00,24.00,5.51,14.02,-3.25,0.80,13.68,0.00
4929,12.98,0.15,2492,0.00,0.00,16,14.80,21.00,5.51,13.09,-3.25,0.80,13.60,0.00
5128,13.32,0.16,2516,0.00,0.00,16,19.73,22.00,5.37,13.52,-3.25,0.80,13.68,0.00
5316,13.09,0.16,2514,0.00,0.00,16,19.02,19.50,5.37,13.32,-3.25,0.80,13.68,0.00
5503,13.21,0.16,2504,0.00,0.00,16,20.08,20.00,5.37,13.15,-3.25,0.80,13.60,0.00
5695,12.98,0.16,2513,0.00,0.00,16,18.32,19.50,5.22,13.45,-3.25,0.80,13.68,0.00
5882,12.98,0.16,2546,0.00,0.00,16,21.48,20.00,5.37,13.71,-3.56,0.80,13.60,0.00
