Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.24,0.17,1368,0.00,0.00,16,11.29,13.00,5.66,-9.05,7.74,-1.39,0.64
203,14.36,0.17,1358,0.00,0.00,16,11.29,14.00,5.66,-9.03,7.82,-1.39,0.64
391,14.24,0.17,1363,0.00,0.00,16,11.29,13.00,5.66,-9.05,7.74,-1.39,0.64
579,14.13,0.17,1354,0.00,0.00,16,11.29,12.50,5.66,-9.03,7.82,-1.39,0.64
767,14.24,0.17,1360,0.00,0.00,16,11.29,14.00,5.66,-9.01,7.66,-1.39,0.64
954,14.24,0.17,1355,0.00,0.00,16,11.29,14.00,5.66,-9.03,7.74,-1.39,0.64
1142,14.36,0.17,1350,0.00,0.00,16,11.29,14.00,5.66,-9.03,7.86,-1.39,0.64
1329,14.24,0.17,1363,0.00,0.00,16,11.29,13.00,5.66,-9.05,7.82,-1.39,0.64
1520,14.13,0.17,1373,0.00,0.00,16,11.29,12.00,5.66,-9.03,7.66,-1.39,0.64
1708,14.13,0.17,1347,0.00,0.00,16,11.29,15.00,5.66,-9.03,7.66,-1.39,0.64
1911,14.24,0.19,1356,0.00,0.00,16,11.29,13.50,5.66,-9.03,7.78,-1.39,0.64
2098,14.24,0.17,1348,0.00,0.00,16,11.29,14.50,5.66,-9.07,7.74,-1.39,0.64
2286,14.36,0.17,1372,0.00,0.00,16,11.29,11.50,5.66,-9.07,7.66,-1.39,0.64
2473,14.24,0.17,1361,0.00,0.00,16,11.29,13.00,5.66,-9.07,7.66,-1.39,0.64
2676,14.24,0.17,1347,0.00,0.00,16,11.29,15.00,5.66,-9.03,7.66,-1.39,0.64
2863,14.36,0.17,1339,0.00,0.00,16,11.29,12.50,5.66,-9.03,7.70,-1.39,0.64
3051,14.36,0.17,1373,0.00,0.00,16,11.29,12.50,5.66,-9.03,7.74,-1.39,0.64
3238,14.36,0.17,1373,0.00,0.00,16,11.29,12.00,5.66,-9.07,7.74,-1.39,0.64
3427,14.24,0.17,1357,0.00,0.00,16,11.29,13.50,5.66,-9.05,7.74,-1.39,0.64
3614,14.01,0.17,1358,0.00,0.00,16,11.29,14.00,5.66,-9.07,7.74,-1.39,0.64
3805,14.13,0.17,1369,0.00,0.00,16,11.29,13.00,5.66,-9.09,7.66,-1.39,0.64
