Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Coolant Temperature (F),Mass Airflow (g/s),A/F Sensor #1 (AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value)
0,0.13,819,196,3.52,14.47,14.10,16.00,5.08,-9.63,1.28,0.00,0.66,0.00,0.00,0.00,16
64,0.13,820,196,3.47,14.59,14.10,16.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
128,0.12,823,196,3.42,14.59,14.10,15.50,5.08,-9.61,1.26,0.00,0.66,0.00,0.00,0.00,16
192,0.12,826,196,3.47,14.81,14.10,15.00,5.08,-9.63,1.26,0.00,0.66,0.00,0.00,0.00,16
257,0.13,828,196,3.47,14.70,14.10,14.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
321,0.12,828,196,3.42,14.70,14.10,14.50,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
385,0.12,834,196,3.42,14.70,14.10,14.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
449,0.12,833,196,3.40,14.81,14.10,14.00,5.08,-9.63,1.24,0.00,0.64,0.00,0.00,0.00,16
513,0.12,842,196,3.40,14.70,14.10,13.00,5.08,-9.67,1.24,0.00,0.64,0.00,0.00,0.00,16
577,0.12,835,196,3.36,14.81,14.10,14.00,5.08,-9.65,1.26,0.00,0.64,0.00,0.00,0.00,16
638,0.12,828,196,3.40,14.70,14.10,14.50,5.08,-9.67,1.26,0.00,0.64,0.00,0.00,0.00,16
702,0.12,829,196,3.42,14.70,14.10,14.00,5.08,-9.65,1.26,0.00,0.64,0.00,0.00,0.00,16
766,0.12,830,196,3.42,14.59,14.10,14.00,5.08,-9.67,1.26,0.00,0.66,0.00,0.00,0.00,16
831,0.12,824,196,3.36,14.59,14.10,15.00,5.08,-9.67,1.24,0.00,0.66,0.00,0.00,0.00,16
895,0.12,818,196,3.38,14.47,14.10,15.50,5.08,-9.67,1.24,0.00,0.64,0.00,0.00,0.00,16
959,0.12,822,196,3.36,14.47,14.10,15.00,5.08,-9.65,1.26,0.00,0.66,0.00,0.00,0.00,16
1023,0.12,821,196,3.38,14.36,14.10,15.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
1087,0.13,824,196,3.38,14.36,14.10,14.50,5.08,-9.65,1.26,0.00,0.64,0.00,0.00,0.00,16
1152,0.13,819,196,3.42,14.36,14.10,15.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
1216,0.12,823,196,3.38,14.36,14.10,14.00,5.08,-9.65,1.24,0.00,0.66,0.00,0.00,0.00,16
1281,0.12,814,196,3.36,14.47,14.10,15.50,5.08,-9.63,1.24,0.00,0.64,0.00,0.00,0.00,16
1345,0.13,811,196,3.38,14.47,14.10,15.50,5.08,-9.63,1.26,0.00,0.66,0.00,0.00,0.00,16
1405,0.13,803,196,3.45,14.59,14.10,16.50,5.08,-9.61,1.26,0.00,0.64,0.00,0.00,0.00,16
1473,0.13,805,196,3.38,14.59,14.10,16.00,5.08,-9.59,1.24,0.00,0.64,0.00,0.00,0.00,16
1537,0.13,814,196,3.42,14.59,14.10,15.00,5.08,-9.63,1.26,0.00,0.64,0.00,0.00,0.00,16
1597,0.13,812,196,3.45,14.70,14.10,15.00,5.08,-9.59,1.26,0.00,0.64,0.00,0.00,0.00,16
1662,0.12,818,196,3.40,14.59,14.10,14.00,5.08,-9.61,1.26,0.00,0.64,0.00,0.00,0.00,16
1726,0.12,820,196,3.33,14.59,14.10,14.00,5.08,-9.61,1.24,0.00,0.64,0.00,0.00,0.00,16
