Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Throttle Sensor Voltage (V),Coolant Temperature (F),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Turbo Dynamics Proportional* (absolute %)
0,24.12,0.11,2849,0.00,0.00,16,-10.16,-10.50,4.06,-10.71,10.03,0.66,198,1.74,0.00,0.00
63,23.77,0.11,2829,0.00,0.00,16,-10.16,-10.50,4.06,-10.67,10.54,0.64,198,1.74,0.00,0.00
127,23.77,0.11,2826,0.00,0.00,16,-10.16,-10.50,4.06,-10.71,10.43,0.64,198,1.72,0.00,0.00
192,23.77,0.11,2821,0.00,0.00,16,-10.16,-10.50,4.06,-10.67,10.59,0.66,198,1.76,0.00,0.00
255,24.00,0.11,2814,0.00,0.00,16,-10.16,-10.50,4.06,-10.69,10.64,0.64,198,1.76,0.00,0.00
318,24.00,0.11,2809,0.00,0.00,16,-10.16,-10.50,4.06,-10.67,10.49,0.64,198,1.76,0.00,0.00
383,24.00,0.12,2802,0.00,0.00,16,-10.16,-10.50,4.06,-10.69,10.48,0.66,198,1.74,0.00,0.00
447,23.66,0.11,2815,0.00,0.00,16,-10.16,-10.50,4.06,-10.65,10.69,0.66,198,1.76,0.00,0.00
509,23.66,0.11,2808,0.00,0.00,16,-10.16,-10.50,4.06,-10.67,9.92,0.64,198,1.72,0.00,0.00
573,23.89,0.11,2804,0.00,0.00,16,-10.16,-10.50,4.06,-10.67,9.99,0.66,198,1.72,0.00,0.00
637,23.54,0.11,2794,0.00,0.00,16,-10.16,-10.50,4.06,-10.69,10.49,0.66,198,1.76,0.00,0.00
701,23.66,0.11,2787,0.00,0.00,16,-10.16,-10.50,4.06,-10.67,10.45,0.64,198,1.74,0.00,0.00
768,23.89,0.11,2786,0.00,0.00,16,-10.16,-10.50,4.06,-10.67,10.23,0.64,198,1.74,0.00,0.00
831,23.66,0.11,2783,0.00,0.00,16,-10.16,-10.50,4.06,-10.67,9.48,0.64,198,1.70,0.00,0.00
