Time (msec),A/F Sensor #1 (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %)
0,15.62,115,0.24,1413,0.00,0.00,16,27.81,27.50,7.25,-7.44,11.15,1.78,0.00,0.82,0.00
63,15.50,115,0.24,1390,0.00,0.00,16,27.81,27.50,7.25,-7.37,11.15,1.78,0.00,0.82,0.00
125,15.39,115,0.23,1396,0.00,0.00,16,27.46,27.00,7.40,-7.44,10.94,1.74,0.00,0.72,0.00
188,15.27,115,0.19,1398,0.00,0.00,16,25.00,30.00,6.24,-8.82,6.49,1.44,0.00,0.64,0.00
250,15.16,115,0.16,1446,0.00,0.00,16,22.19,21.50,5.37,-9.48,4.40,1.34,0.00,0.64,0.00
313,15.04,115,0.12,1475,0.00,0.00,16,19.38,16.50,5.08,-10.02,3.96,1.30,0.00,0.64,0.00
391,14.81,115,0.11,1480,0.00,0.00,16,17.27,14.00,4.50,-10.40,3.78,1.30,0.00,0.64,0.00
453,14.24,115,0.10,1442,0.00,0.00,16,14.80,15.50,4.21,-10.58,3.93,1.32,0.00,0.64,0.00
516,13.78,115,0.10,1398,0.00,0.00,16,14.10,19.50,4.06,-10.69,3.99,1.32,0.00,0.64,0.00
578,13.21,115,0.09,1376,0.00,0.00,16,14.10,21.00,3.92,-10.77,4.04,1.32,0.00,0.64,0.00
641,12.52,115,0.09,1347,0.00,0.00,16,14.10,23.50,3.92,-10.81,4.24,1.34,0.00,0.64,0.00
703,12.29,115,0.10,1329,0.00,0.00,16,14.10,23.50,3.92,-10.85,4.35,1.34,0.00,0.64,0.00
766,12.06,115,0.10,1322,0.00,0.00,16,14.10,23.50,3.92,-10.87,4.40,1.36,0.00,0.64,0.00
828,11.94,115,0.12,1278,0.00,0.00,16,14.10,23.50,3.77,-10.87,4.46,1.36,0.00,0.64,0.00
891,11.94,115,0.13,1252,0.00,0.00,16,14.10,23.50,3.92,-10.73,5.17,1.44,0.00,0.68,0.00
953,11.94,115,0.15,1226,0.00,0.00,16,14.10,14.00,4.21,-10.56,5.94,1.48,0.00,0.68,0.00
1016,11.94,115,0.15,1214,0.00,0.00,16,14.80,14.50,4.35,-10.36,5.94,1.46,0.00,0.70,0.00
1081,11.83,115,0.15,1200,0.00,0.00,16,15.16,15.00,4.50,-10.25,5.85,1.46,0.00,0.70,0.00
1143,11.94,115,0.15,1180,0.00,0.00,16,15.86,15.00,4.64,-10.09,5.85,1.46,0.00,0.70,0.00
1221,11.94,115,0.15,1172,0.00,0.00,16,16.21,15.50,4.79,-9.98,5.91,1.48,0.00,0.70,0.00
1283,11.94,115,0.16,1161,0.00,0.00,16,16.91,16.00,4.93,-9.82,5.98,1.48,0.00,0.70,0.00
1346,12.06,115,0.16,1158,0.00,0.00,16,17.62,17.00,4.93,-9.73,6.04,1.48,0.00,0.70,0.00
1409,12.06,115,0.17,1134,0.00,0.00,16,17.97,17.50,5.08,-9.55,6.26,1.50,0.00,0.72,0.00
1471,12.17,115,0.17,1123,0.00,0.00,16,19.02,18.00,5.22,-9.46,6.33,1.50,0.00,0.72,0.00
1534,12.52,115,0.17,1123,0.00,0.00,16,19.38,19.00,5.51,-9.24,6.55,1.52,0.00,0.72,0.00
1596,12.52,115,0.19,1136,0.00,0.00,16,20.78,19.00,5.66,-9.11,6.92,1.56,0.00,0.74,0.00
1659,12.75,115,0.21,1127,0.00,0.00,16,21.48,20.50,5.80,-8.88,7.46,1.60,0.00,0.76,0.00
1721,12.63,115,0.23,1109,0.00,0.00,16,23.95,21.00,6.24,-8.49,8.56,1.64,0.00,0.76,0.00
1784,13.09,115,0.24,1105,0.00,0.00,16,25.35,24.50,6.53,-8.20,9.04,1.70,0.00,0.78,0.00
1846,13.67,115,0.25,1154,0.00,0.00,16,26.76,25.00,6.96,-7.75,10.28,1.76,0.00,0.82,0.00
1909,14.01,115,0.28,1240,0.00,0.00,16,29.57,27.00,6.96,-7.33,11.93,1.76,0.00,0.84,0.00
1987,14.13,115,0.27,1282,0.00,0.00,16,29.57,29.50,7.55,-6.98,12.42,1.82,0.00,0.84,0.00
2049,14.24,115,0.25,1388,0.00,0.00,16,28.87,29.50,7.84,-6.79,12.48,1.84,0.00,0.84,0.00
2112,14.59,115,0.25,1474,0.00,0.00,16,29.22,28.50,7.98,-6.73,12.75,1.84,0.00,0.84,0.00
2174,14.59,115,0.25,1524,0.00,0.00,16,29.22,29.00,7.98,-6.73,12.75,1.86,0.00,0.84,0.00
2237,15.04,115,0.25,1542,0.00,0.00,16,29.22,29.00,7.98,-6.77,12.96,1.86,0.00,0.84,0.00
2299,15.50,115,0.25,1546,0.00,0.00,16,29.22,29.00,7.98,-6.79,12.96,1.86,0.00,0.84,0.00
2362,16.42,115,0.25,1566,0.00,0.00,16,29.22,29.00,7.84,-6.83,13.02,1.86,0.00,0.84,0.00
2424,17.34,115,0.25,1573,0.00,0.00,16,29.22,29.50,7.84,-6.85,12.97,1.86,0.00,0.84,0.00
2487,17.69,115,0.24,1581,0.00,0.00,16,29.57,29.50,7.84,-6.94,13.14,1.86,0.00,0.84,0.00
2549,17.46,115,0.24,1608,0.00,0.00,16,30.27,29.50,7.69,-7.06,12.96,1.86,0.00,0.84,0.00
2612,17.23,115,0.24,1646,0.00,0.00,16,30.62,30.50,7.69,-7.17,12.96,1.86,0.00,0.84,0.00
2690,16.54,115,0.22,1660,0.00,0.00,16,30.62,30.50,7.40,-7.95,12.48,1.82,0.00,0.74,0.00
2752,15.96,115,0.18,1652,0.00,0.00,16,29.57,30.50,5.95,-9.17,6.87,1.48,0.00,0.64,0.00
2815,15.62,115,0.14,1622,0.00,0.00,16,24.65,19.50,4.93,-10.13,4.69,1.34,0.00,0.64,0.00
2877,15.27,115,0.12,1591,0.00,0.00,16,20.78,14.50,4.50,-10.40,4.10,1.32,0.00,0.64,0.00
2940,14.81,115,0.10,1570,0.00,0.00,16,17.27,14.00,4.06,-10.85,3.93,1.30,0.00,0.64,0.00
3002,14.36,115,0.10,1516,0.00,0.00,16,15.51,17.00,3.77,-11.06,4.02,1.34,0.00,0.64,0.00
3065,13.32,115,0.10,1444,0.00,0.00,16,14.10,20.00,3.63,-11.10,4.57,1.38,0.00,0.64,0.00
3127,12.75,115,0.11,1404,0.00,0.00,16,14.10,23.50,3.63,-11.08,4.88,1.40,0.00,0.64,0.00
3190,12.40,115,0.11,1355,0.00,0.00,16,14.10,23.50,3.63,-11.06,4.91,1.40,0.00,0.64,0.00
3252,12.40,115,0.12,1320,0.00,0.00,16,14.10,23.50,3.63,-11.04,5.01,1.40,0.00,0.64,0.00
3330,11.94,115,0.12,1301,0.00,0.00,16,14.10,23.50,3.63,-11.02,5.08,1.42,0.00,0.64,0.00
3378,11.94,115,0.12,1268,0.00,0.00,16,14.10,23.50,3.77,-10.96,5.14,1.42,0.00,0.64,0.00
3456,11.60,115,0.13,1244,0.00,0.00,16,14.10,23.50,3.77,-10.91,5.14,1.40,0.00,0.64,0.00
3518,11.48,115,0.13,1210,0.00,0.00,16,14.10,23.50,3.77,-10.87,5.10,1.40,0.00,0.64,0.00
3581,11.37,115,0.13,1194,0.00,0.00,16,14.10,23.50,3.92,-10.73,5.14,1.42,0.00,0.64,0.00
3643,11.25,115,0.14,1176,0.00,0.00,16,14.10,23.50,4.06,-10.65,5.21,1.42,0.00,0.64,0.00
3706,11.25,115,0.14,1159,0.00,0.00,16,14.10,23.50,4.06,-10.56,5.27,1.42,0.00,0.64,0.00
3768,11.25,115,0.14,1116,0.00,0.00,16,14.10,23.50,4.21,-10.44,5.27,1.42,0.00,0.64,0.00
3831,11.25,115,0.14,1107,0.00,0.00,16,14.10,23.50,4.35,-10.36,5.17,1.42,0.00,0.64,0.00
3893,11.25,115,0.14,1103,0.00,0.00,16,14.10,23.50,4.50,-10.25,5.01,1.40,0.00,0.64,0.00
3959,11.25,115,0.14,1081,0.00,0.00,16,14.10,23.50,4.50,-10.17,5.01,1.40,0.00,0.64,0.00
4022,11.37,115,0.14,1071,0.00,0.00,16,14.10,23.50,4.64,-10.07,4.95,1.40,0.00,0.64,0.00
4088,11.37,115,0.15,1022,0.00,0.00,16,14.10,23.50,4.64,-10.04,4.91,1.42,0.00,0.64,0.00
4150,11.60,115,0.17,1022,0.00,0.00,16,14.10,23.50,4.93,-9.80,5.68,1.46,0.00,0.64,0.00
4213,11.83,115,0.19,982,0.00,0.00,16,14.10,23.00,5.22,-9.51,5.94,1.48,0.00,0.64,0.00
4275,11.83,115,0.20,924,0.00,0.00,16,14.10,23.00,5.51,-9.20,6.26,1.50,0.00,0.64,0.00
4338,12.29,115,0.19,948,0.00,0.00,16,14.10,23.00,5.80,-8.95,6.15,1.48,0.00,0.64,0.00
4416,12.17,115,0.18,991,0.00,0.00,16,14.10,20.00,5.80,-8.89,6.04,1.48,0.00,0.64,0.00
4478,12.63,115,0.18,1015,0.00,0.00,16,14.10,17.00,5.80,-8.84,6.15,1.48,0.00,0.64,0.00
