Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),A/F Sensor #1 (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %)
0,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.29,3.42,0.70,0.00,0.68,0.00
48,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
116,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
180,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
244,0.00,0.00,16,14.70,138,0.21,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
309,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
373,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
437,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
501,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
563,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
627,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
687,0.00,0.00,16,14.70,138,0.20,0,-20.00,9.50,14.36,-0.33,3.42,0.70,0.00,0.68,0.00
