Time (msec),AEM UEGO Wideband [9600 baud] (AFR Gasoline),A/F Sensor #1 (AFR),Engine Speed (rpm)
0,11.70,12.52,788
9,11.70,12.52,788
35,11.70,12.63,787
69,11.90,12.63,787
90,11.90,12.63,787
110,11.90,12.75,782
136,11.90,12.75,782
159,11.90,12.75,782
173,12.00,12.98,767
198,12.00,12.98,767
225,12.00,12.98,767
244,12.00,13.09,749
264,12.30,13.09,749
287,12.30,13.09,749
317,12.30,13.32,716
340,12.30,13.32,716
363,12.40,13.32,716
383,12.40,13.44,706
405,12.40,13.44,706
432,12.40,13.44,706
442,12.40,13.55,688
476,12.50,13.55,688
499,12.50,13.55,688
509,12.50,13.78,685
535,12.50,13.78,685
568,12.70,13.90,689
590,12.70,13.90,689
601,12.70,13.90,689
628,12.70,14.01,712
643,12.70,14.01,712
680,12.70,14.01,712
702,12.70,14.24,621
726,12.70,14.24,621
740,12.70,14.24,621
770,13.50,14.47,609
793,13.50,14.47,609
808,13.50,14.47,609
834,13.50,15.04,841
861,14.50,15.04,841
885,14.50,15.04,841
903,14.50,18.03,1222
929,14.50,18.03,1222
946,14.50,18.03,1222
974,16.90,18.03,1327
997,16.90,18.03,1327
1020,16.90,18.03,1327
1043,16.90,16.54,1524
1063,17.70,16.54,1524
1089,17.70,16.54,1524
1100,17.70,15.96,1574
1127,17.70,15.96,1574
1145,17.70,15.96,1574
1167,17.30,15.85,1544
1193,17.30,15.85,1544
1220,17.30,15.50,1499
1243,17.30,15.50,1499
1261,16.10,15.50,1499
1286,16.10,15.50,1424
1313,16.10,15.50,1424
1338,16.10,15.50,1424
1360,15.90,15.50,1360
1383,15.90,15.50,1360
1406,15.90,15.50,1360
1428,15.90,15.50,1259
1443,15.90,15.50,1259
1474,15.90,15.50,1259
1483,15.80,15.62,1208
1508,15.80,15.62,1208
1531,15.80,15.62,1208
1565,15.80,16.42,1155
1588,15.80,16.42,1155
1600,15.80,16.42,1155
1626,15.80,17.69,1219
1644,15.80,17.69,1219
1664,16.40,17.69,1219
1691,16.40,21.13,1510
1718,16.40,21.13,1510
1744,16.40,21.02,1693
1770,20.40,21.02,1693
1792,20.40,21.02,1693
1811,20.40,16.19,1850
1836,20.40,16.19,1850
1860,18.80,16.19,1850
1883,18.80,13.78,1912
1904,18.80,13.78,1912
1928,18.80,13.78,1912
1940,18.80,12.06,1896
1973,15.50,12.06,1896
1996,15.50,12.06,1896
2007,15.50,11.71,1830
2034,15.50,11.71,1830
2052,14.20,11.71,1830
2083,14.20,11.60,1736
2099,14.20,11.60,1736
2130,14.20,11.60,1736
2146,14.20,11.71,1649
2166,13.50,11.71,1649
2193,13.50,11.71,1649
2220,13.50,11.83,1556
2244,13.50,11.83,1556
2260,13.50,11.83,1556
2291,12.90,12.40,1542
2314,12.90,12.40,1542
2325,12.90,12.40,1542
2359,12.90,12.75,1655
2381,13.00,12.75,1655
2392,13.00,12.63,1838
2417,13.00,12.63,1838
2444,13.00,12.63,1838
2472,13.70,14.59,2278
2495,13.70,14.59,2278
2511,13.70,14.59,2278
2536,13.70,15.50,2685
2562,15.20,15.50,2685
2586,15.20,15.50,2685
2602,15.20,15.04,2884
2629,15.20,15.04,2884
2644,15.20,15.04,2884
2677,14.70,12.06,2838
2695,14.70,12.06,2838
2722,14.70,12.06,2838
2744,14.70,11.60,2731
2762,13.90,11.60,2731
2790,13.90,11.60,2731
2812,13.90,12.17,2620
2836,13.90,12.17,2620
2858,12.80,12.17,2620
2880,12.80,14.01,2503
2904,12.80,14.01,2503
2926,12.80,14.01,2503
2934,12.80,16.19,2392
2971,13.60,16.19,2392
2994,13.60,21.02,2302
3018,13.60,21.02,2302
3026,13.60,21.02,2302
3062,16.20,23.66,2186
3084,16.20,23.66,2186
3107,16.20,23.66,2186
3131,16.20,23.43,2100
3140,16.20,23.43,2100
3176,20.00,23.43,2100
3197,20.00,23.31,2002
3221,20.00,23.31,2002
3231,20.00,23.31,2002
3266,24.60,23.66,1956
3289,24.60,23.66,1956
3298,24.60,23.66,1956
3334,24.60,23.66,2201
5361,18.70,23.66,2201
5806,12.80,11.14,1038
5831,12.80,11.14,1038
5865,12.80,11.14,1038
5886,12.30,11.14,1008
5899,12.30,11.14,1008
5926,12.30,11.14,1008
5944,12.30,11.14,976
5977,11.90,11.14,976
5986,11.90,11.14,976
6013,11.90,11.14,968
6055,11.90,11.14,968
6067,11.60,11.14,968
6090,11.60,11.25,966
6107,11.60,11.25,966
6134,11.60,11.25,966
6158,11.40,11.25,966
6180,11.40,11.25,966
6201,11.40,11.60,960
6227,11.40,11.60,960
6240,11.40,11.60,960
6272,11.20,12.06,950
6295,11.20,12.06,950
6309,11.20,12.06,950
6336,11.20,12.29,936
6363,11.30,12.29,936
6385,11.30,12.29,936
6405,11.30,12.63,921
6431,11.30,12.63,921
6447,11.30,12.63,921
6475,11.40,13.09,907
6498,11.40,13.09,907
6521,11.40,13.09,907
6544,11.40,13.44,894
6564,11.50,13.44,894
6589,11.50,13.44,894
6612,11.50,13.67,888
6627,11.50,13.67,888
6643,11.50,13.67,888
6680,11.80,13.78,874
6695,11.80,13.78,874
6721,11.80,14.13,852
6744,11.80,14.13,852
6762,12.30,14.13,852
6793,12.30,14.47,826
6816,12.30,14.47,826
6839,12.30,14.47,826
6863,12.60,14.59,811
6876,12.60,14.59,811
6901,12.60,14.59,811
6929,12.60,14.70,807
6941,12.60,14.70,807
6975,12.90,14.70,807
6998,12.90,14.70,815
7007,12.90,14.70,815
7031,12.90,14.70,815
7066,13.10,14.70,806
7088,13.10,14.70,806
7100,13.10,14.70,806
7124,13.10,14.81,740
7144,13.10,14.81,740
7165,13.60,14.81,740
7189,13.60,14.93,681
7225,13.60,14.93,681
7244,13.60,14.93,681
7267,13.90,15.16,796
7293,13.90,15.16,796
7315,13.90,15.96,985
7329,13.90,15.96,985
7360,13.90,15.96,985
7382,15.70,18.26,1294
7395,15.70,18.26,1294
7422,15.70,18.26,1294
7443,15.70,18.49,1477
7463,18.00,18.49,1477
7490,18.00,18.49,1477
7517,18.00,17.34,1615
7542,18.00,17.34,1615
7564,17.70,17.34,1615
7587,17.70,16.08,1657
7609,17.70,16.08,1657
7632,17.70,16.08,1657
7644,17.70,15.04,1614
7679,17.10,15.04,1614
7688,17.10,15.04,1614
7715,17.10,14.93,1543
7742,17.10,14.93,1543
7768,16.10,14.93,1543
7791,16.10,14.70,1482
7810,16.10,14.70,1482
7837,16.10,14.70,1482
7844,16.10,14.81,1386
7882,15.80,14.81,1386
7904,15.80,14.81,1386
7927,15.80,16.42,1370
7943,15.80,16.42,1370
7973,15.60,17.11,1515
7993,15.60,17.11,1515
8016,15.60,17.11,1515
8041,15.60,21.59,1902
8063,19.50,21.59,1902
8085,19.50,21.59,1902
8096,19.50,19.06,2102
8123,19.50,19.06,2102
8143,19.50,19.06,2102
8173,19.00,13.90,2168
8200,19.00,13.90,2168
8221,19.00,13.90,2168
8236,19.00,11.94,2151
8267,14.50,11.94,2151
8289,14.50,11.94,2151
8303,14.50,11.60,2095
