Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Intake Air Temperature (F),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-7.81,0.00,14.24,8,0.00,0.00,16,88,7.37,1.56,14.50
43,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.37,1.56,14.50
80,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.37,1.56,14.50
125,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.50
166,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.50
207,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.29,1.56,14.50
247,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.50
284,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.50
330,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.29,1.56,14.50
371,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.29,1.56,14.50
413,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.37,1.56,14.50
453,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.37,1.56,14.50
488,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.37,1.56,14.50
536,-8.59,0.00,14.13,8,0.00,0.00,16,88,7.33,1.56,14.50
577,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.37,1.56,14.50
618,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.37,1.56,14.50
659,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.50
700,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.50
741,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.29,1.56,14.50
783,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.29,1.56,14.50
816,-7.81,0.00,14.24,8,0.00,0.00,16,88,7.29,1.56,14.50
864,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.50
906,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.29,1.56,14.50
941,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.29,1.56,14.50
987,-8.59,0.00,14.13,8,0.00,0.00,16,88,7.33,1.56,14.50
1022,-8.59,0.00,14.13,8,0.00,0.00,16,88,7.33,1.56,14.50
1069,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.50
1110,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.33,1.56,14.50
1150,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.33,1.56,14.50
1188,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.50
1232,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.41,1.58,14.50
1274,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.41,1.56,14.50
1322,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.33,1.56,14.50
1354,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.33,1.56,14.50
1396,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.37,1.56,14.50
1438,-7.81,0.00,14.24,8,0.00,0.00,16,88,7.29,1.56,14.50
1478,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.29,1.56,14.50
1519,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.60
1559,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.33,1.56,14.60
1601,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.33,1.56,14.60
1635,-8.59,0.00,14.47,8,0.00,0.00,16,88,7.29,1.56,14.60
1683,-8.59,0.00,14.47,8,0.00,0.00,16,88,7.29,1.56,14.60
1725,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.37,1.56,14.60
1766,-8.59,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.60
1807,-7.81,0.00,14.24,8,0.00,0.00,16,88,7.33,1.56,14.60
1844,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.33,1.56,14.60
1882,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.37,1.56,14.60
1929,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.37,1.58,14.60
1970,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.37,1.58,14.60
2011,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.41,1.58,14.60
2053,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.41,1.58,14.60
2088,-7.81,0.00,14.47,8,0.00,0.00,16,88,7.41,1.56,14.60
2134,-7.81,0.00,14.47,8,0.00,0.00,16,88,7.41,1.58,14.60
2173,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.37,1.58,14.60
2216,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.41,1.58,14.60
2255,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.41,1.56,14.60
2298,-8.59,0.00,14.36,8,0.00,0.00,16,88,7.41,1.56,14.60
2337,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.37,1.56,14.60
2379,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.37,1.56,14.60
2422,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.41,1.56,14.60
2459,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.41,1.56,14.60
2501,-7.81,0.00,14.24,8,0.00,0.00,16,88,7.46,1.56,14.60
2537,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.50,1.58,14.60
2585,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.50,1.58,14.60
2627,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.50,1.58,14.50
2667,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.50,1.58,14.50
2708,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.50,1.58,14.60
2743,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.50,1.58,14.60
2787,-7.03,0.00,14.36,8,0.00,0.00,16,88,7.50,1.58,14.60
2831,-7.81,0.00,14.47,8,0.00,0.00,16,88,7.41,1.58,14.60
2872,-7.03,0.00,14.47,8,0.00,0.00,16,88,7.54,1.58,14.60
2911,-7.03,0.00,14.47,8,0.00,0.00,16,88,7.54,1.58,14.60
2946,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.50,1.58,14.60
2995,-7.03,0.00,14.47,8,0.00,0.00,16,88,7.54,1.58,14.60
3030,-7.81,0.00,14.47,8,0.00,0.00,16,88,7.54,1.58,14.70
3077,-7.81,0.00,14.47,8,0.00,0.00,16,88,7.54,1.56,14.70
3118,-7.81,0.00,14.47,8,0.00,0.00,16,88,7.54,1.58,14.70
3159,-7.03,0.00,14.36,8,0.00,0.00,16,88,7.46,1.58,14.70
3200,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.50,1.58,14.60
3240,-7.03,0.00,14.36,8,0.00,0.00,16,88,7.50,1.58,14.60
3282,-7.81,0.00,14.36,8,0.00,0.00,16,88,7.54,1.58,14.60
