Time (msec),A/F Sensor #1 (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,14.81,203,0.21,2232,0.00,0.00,16,40.82,40.00,7.40,-7.27,15.25,1.94,0.00,0.90,0.00,14.70
64,14.81,203,0.21,2232,0.00,0.00,16,40.82,40.00,7.40,-7.25,15.63,1.96,0.00,0.90,0.00,14.80
129,14.47,203,0.21,2246,0.00,0.00,16,41.52,40.50,7.40,-7.25,15.92,1.98,0.00,0.90,0.00,14.80
185,14.36,203,0.21,2286,0.00,0.00,16,41.88,41.00,7.40,-7.25,16.22,1.98,0.00,0.90,0.00,14.80
256,14.59,203,0.21,2296,0.00,0.00,16,42.23,41.50,7.40,-7.23,16.51,1.98,0.00,0.90,0.00,14.60
318,14.47,203,0.21,2333,0.00,0.00,16,42.23,41.50,7.55,-7.23,16.44,1.98,0.00,0.88,0.00,14.60
385,14.36,203,0.21,2341,0.00,0.00,16,42.58,41.50,7.40,-7.25,16.66,1.98,0.00,0.88,0.00,14.60
449,14.47,203,0.21,2373,0.00,0.00,16,42.93,42.00,7.40,-7.29,16.58,2.00,0.00,0.88,0.00,14.70
510,14.70,203,0.21,2387,0.00,0.00,16,43.28,42.50,7.40,-7.35,16.96,2.00,0.00,0.88,0.00,14.70
576,14.81,203,0.21,2428,0.00,0.00,16,42.93,42.00,7.40,-7.39,16.89,2.00,0.00,0.88,0.00,14.80
639,14.81,203,0.20,2454,0.00,0.00,16,42.93,42.00,7.25,-7.46,16.66,1.98,0.00,0.86,0.00,15.10
701,14.81,203,0.20,2444,0.00,0.00,16,42.93,42.00,7.25,-7.58,16.51,1.98,0.00,0.86,0.00,15.10
769,14.81,203,0.20,2472,0.00,0.00,16,42.58,41.50,7.11,-7.68,16.22,1.98,0.00,0.86,0.00,15.00
824,14.81,203,0.19,2521,0.00,0.00,16,42.58,41.50,6.96,-7.83,16.36,1.98,0.00,0.86,0.00,14.90
888,14.81,203,0.19,2541,0.00,0.00,16,42.58,41.50,6.82,-7.95,16.36,1.98,0.00,0.86,0.00,14.90
959,14.81,203,0.19,2522,0.00,0.00,16,42.58,41.50,6.82,-8.02,16.07,1.98,0.00,0.86,0.00,14.80
1024,14.81,203,0.19,2538,0.00,0.00,16,42.23,41.50,6.67,-8.08,16.07,1.98,0.00,0.86,0.00,14.80
1083,14.70,203,0.18,2580,0.00,0.00,16,41.88,41.50,6.53,-8.18,16.07,1.96,0.00,0.86,0.00,14.80
1152,14.59,203,0.18,2613,0.00,0.00,16,42.23,41.50,6.53,-8.24,15.92,1.96,0.00,0.86,0.00,14.70
1211,14.59,203,0.20,2620,0.00,0.00,16,42.58,41.00,6.38,-8.30,16.23,1.98,0.00,0.86,0.00,14.70
