Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Fueling Final Base* (estimated AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level)
0,-2.34,-2.34,14.59,8,0.30,916,0.00,0.00,16,14.70,9.88,11.50,0.64,5.66,4.60,1.38,0.00,-9.05
72,-2.34,-2.34,14.59,8,0.30,936,0.00,0.00,16,14.70,9.88,9.50,0.64,5.66,4.60,1.38,0.00,-9.01
136,-2.34,-2.34,14.59,8,0.30,925,0.00,0.00,16,14.70,9.88,10.50,0.64,5.66,4.60,1.38,0.00,-9.03
200,-2.34,-2.34,14.59,8,0.30,930,0.00,0.00,16,14.70,9.88,10.00,0.64,5.66,4.63,1.38,0.00,-9.07
272,-2.34,-2.34,14.59,8,0.29,932,0.00,0.00,16,14.70,9.88,9.50,0.64,5.66,4.60,1.38,0.00,-9.01
344,-2.34,-2.34,14.59,8,0.30,934,0.00,0.00,16,14.70,9.88,9.50,0.64,5.66,4.57,1.36,0.00,-9.05
408,-2.34,-2.34,14.59,8,0.30,909,0.00,0.00,16,14.70,9.88,12.00,0.64,5.66,4.57,1.38,0.00,-9.01
472,-2.34,-2.34,14.59,8,0.30,928,0.00,0.00,16,14.70,9.88,10.00,0.64,5.66,4.63,1.38,0.00,-9.05
544,-2.34,-2.34,14.70,8,0.29,929,0.00,0.00,16,14.70,9.88,10.00,0.64,5.66,4.60,1.36,0.00,-9.01
613,-2.34,-2.34,14.59,8,0.29,938,0.00,0.00,16,14.70,9.88,9.00,0.64,5.66,4.57,1.36,0.00,-9.05
681,-2.34,-2.34,14.70,8,0.30,922,0.00,0.00,16,14.70,9.88,11.00,0.64,5.66,4.63,1.36,0.00,-9.01
751,-2.34,-2.34,14.70,8,0.29,934,0.00,0.00,16,14.70,9.88,9.50,0.64,5.66,4.55,1.36,0.00,-9.01
