Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Fueling Final Base* (estimated AFR),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Defogger Switch (On/Off)
0,-4.69,0.00,14.24,8,0.24,843,0.00,0.00,16,14.70,9.88,9.00,0.64,4.93,3.40,1.26,0.00,-9.73,0
64,-4.69,0.00,14.36,8,0.25,825,0.00,0.00,16,14.70,9.88,11.00,0.64,4.93,3.42,1.26,0.00,-9.71,0
136,-4.69,0.00,14.36,8,0.25,824,0.00,0.00,16,14.70,9.88,10.50,0.64,4.93,3.45,1.24,0.00,-9.71,0
208,-3.91,-0.78,14.36,8,0.25,818,0.00,0.00,16,14.70,9.88,11.00,0.64,5.08,3.45,1.26,0.00,-9.65,0
280,-4.69,-0.78,14.47,8,0.25,813,0.00,0.00,16,14.70,9.88,11.50,0.64,5.08,3.45,1.28,0.00,-9.65,0
347,-4.69,-0.78,14.36,8,0.25,819,0.00,0.00,16,14.70,9.88,11.00,0.64,5.08,3.45,1.26,0.00,-9.63,0
420,-4.69,-0.78,14.59,8,0.25,826,0.00,0.00,16,14.70,9.88,10.00,0.64,5.08,3.45,1.24,0.00,-9.63,0
491,-3.91,-0.78,14.47,8,0.25,818,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.26,0.00,-9.63,0
563,-4.69,-1.56,14.59,8,0.25,822,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.26,0.00,-9.63,0
627,-3.91,-1.56,14.70,8,0.26,802,0.00,0.00,16,14.70,9.88,12.50,0.64,5.08,3.45,1.28,0.00,-9.61,0
699,-3.91,-1.56,14.59,8,0.25,808,0.00,0.00,16,14.70,9.88,11.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
771,-3.91,-1.56,14.47,8,0.25,815,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
843,-3.91,-1.56,14.70,8,0.25,827,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.28,0.00,-9.57,0
915,-3.91,-1.56,14.59,8,0.25,831,0.00,0.00,16,14.70,9.88,9.00,0.64,5.08,3.45,1.26,0.00,-9.57,0
987,-3.91,-1.56,14.70,8,0.25,821,0.00,0.00,16,14.70,9.88,10.00,0.64,5.08,3.47,1.26,0.00,-9.57,0
1059,-3.91,-2.34,14.70,8,0.25,820,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
1123,-3.91,-2.34,14.70,8,0.25,822,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
1195,-3.91,-3.91,14.59,8,0.25,823,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.49,1.28,0.00,-9.57,0
1267,-3.91,-3.91,14.70,8,0.25,834,0.00,0.00,16,14.70,9.88,8.50,0.64,5.08,3.49,1.26,0.00,-9.59,0
1341,-3.91,-3.91,14.70,8,0.25,816,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.26,0.00,-9.59,0
1406,-3.12,-3.91,14.81,8,0.26,812,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.49,1.26,0.00,-9.57,0
1478,-3.91,-3.91,14.81,8,0.26,814,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.49,1.26,0.00,-9.57,0
1549,-3.91,-3.91,14.81,8,0.26,804,0.00,0.00,16,14.70,9.88,11.50,0.64,5.22,3.49,1.28,0.00,-9.53,0
1617,-3.12,-3.91,14.81,8,0.25,820,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.47,1.26,0.00,-9.53,0
1689,-3.12,-3.91,14.93,8,0.25,831,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.45,1.26,0.00,-9.53,0
1764,-3.12,-3.91,14.93,8,0.25,830,0.00,0.00,16,14.70,9.88,8.50,0.64,5.08,3.45,1.28,0.00,-9.57,0
1836,-3.12,-3.91,15.04,8,0.26,801,0.00,0.00,16,14.70,9.88,11.50,0.64,5.22,3.45,1.28,0.00,-9.53,0
1901,-3.12,-3.91,15.04,8,0.26,809,0.00,0.00,16,14.70,9.88,11.50,0.64,5.08,3.49,1.26,0.00,-9.55,0
1973,-2.34,-3.91,15.04,8,0.26,803,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.49,1.26,0.00,-9.51,0
2045,-3.12,-3.91,15.04,8,0.25,822,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.49,1.26,0.00,-9.53,0
2117,-2.34,-3.91,14.93,8,0.25,834,0.00,0.00,16,14.70,9.88,8.00,0.64,5.22,3.45,1.28,0.00,-9.53,0
2189,-2.34,-3.91,15.04,8,0.25,828,0.00,0.00,16,14.70,9.88,8.50,0.64,5.08,3.47,1.26,0.00,-9.57,0
2261,-1.56,-3.91,15.04,8,0.25,819,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.26,0.00,-9.53,0
2327,-1.56,-3.91,15.27,8,0.26,819,0.00,0.00,16,14.70,9.88,10.00,0.64,5.08,3.49,1.26,0.00,-9.55,0
2402,-1.56,-3.91,15.16,8,0.25,814,0.00,0.00,16,14.70,9.88,10.00,0.64,5.22,3.49,1.26,0.00,-9.53,0
2466,-1.56,-3.91,15.16,8,0.25,828,0.00,0.00,16,14.70,9.88,8.50,0.64,5.08,3.47,1.28,0.00,-9.57,0
2538,-1.56,-3.91,15.27,8,0.25,828,0.00,0.00,16,14.70,9.88,8.50,0.64,5.08,3.47,1.26,0.00,-9.57,0
2610,-0.78,-3.91,15.16,8,0.25,828,0.00,0.00,16,14.70,9.88,9.00,0.64,5.08,3.47,1.26,0.00,-9.57,0
2682,-0.78,-3.91,15.16,8,0.26,809,0.00,0.00,16,14.70,9.88,9.00,0.64,5.08,3.49,1.26,0.00,-9.55,0
2754,-1.56,-3.91,15.16,8,0.26,813,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.47,1.28,0.00,-9.55,0
2826,-1.56,-3.91,14.93,8,0.25,820,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.49,1.26,0.00,-9.53,0
2890,-1.56,-3.91,15.16,8,0.25,830,0.00,0.00,16,14.70,9.88,8.50,0.64,5.08,3.45,1.26,0.00,-9.55,0
2964,-1.56,-3.91,14.93,8,0.25,832,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
3036,-1.56,-3.91,14.93,8,0.25,830,0.00,0.00,16,14.70,9.88,8.50,0.64,5.08,3.49,1.26,0.00,-9.57,0
3108,-1.56,-3.91,14.81,8,0.25,822,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.47,1.28,0.00,-9.57,0
3180,-1.56,-3.91,14.81,8,0.25,821,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.47,1.28,0.00,-9.57,0
3252,-1.56,-3.91,14.81,8,0.26,811,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.49,1.26,0.00,-9.57,0
3319,-1.56,-3.91,14.93,8,0.26,815,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.52,1.26,0.00,-9.55,0
3391,-1.56,-3.91,14.81,8,0.26,819,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.49,1.26,0.00,-9.55,0
3458,-0.78,-3.91,14.93,8,0.26,821,0.00,0.00,16,14.70,9.88,9.50,0.64,5.22,3.49,1.26,0.00,-9.53,0
3530,-0.78,-3.91,14.93,8,0.26,821,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.49,1.26,0.00,-9.55,0
3602,-0.78,-3.91,15.04,8,0.25,830,0.00,0.00,16,14.70,9.88,8.50,0.64,5.22,3.49,1.26,0.00,-9.55,0
3673,-0.78,-3.91,14.93,8,0.25,827,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.47,1.26,0.00,-9.57,0
3745,-0.78,-3.91,15.04,8,0.25,815,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.47,1.28,0.00,-9.55,0
3813,-0.78,-3.91,14.93,8,0.25,823,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
3885,-0.78,-3.91,14.93,8,0.25,828,0.00,0.00,16,14.70,9.88,9.00,0.64,5.08,3.45,1.24,0.00,-9.57,0
3957,-0.78,-3.91,14.93,8,0.26,828,0.00,0.00,16,14.70,9.88,9.00,0.64,5.08,3.42,1.26,0.00,-9.57,0
4029,-0.78,-3.91,14.81,8,0.26,816,0.00,0.00,16,14.70,9.88,10.00,0.64,5.08,3.45,1.26,0.00,-9.57,0
4095,-1.56,-3.91,14.81,8,0.26,815,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.28,0.00,-9.57,0
4171,-0.78,-3.91,14.70,8,0.25,820,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.26,0.00,-9.55,0
4240,-0.78,-3.91,14.70,8,0.25,824,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.24,0.00,-9.57,0
4319,-0.78,-3.91,14.70,8,0.25,814,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
4383,-0.78,-3.91,14.81,8,0.25,821,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
4453,-0.78,-3.91,14.81,8,0.25,814,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.47,1.26,0.00,-9.57,0
4525,-0.78,-3.91,14.81,8,0.25,818,0.00,0.00,16,14.70,9.88,10.00,0.64,5.08,3.45,1.24,0.00,-9.57,0
4593,-0.78,-3.91,14.81,8,0.25,813,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
4662,0.00,-3.91,14.93,8,0.25,827,0.00,0.00,16,14.70,9.88,9.00,0.64,5.08,3.42,1.26,0.00,-9.57,0
4734,0.00,-3.91,14.93,8,0.25,827,0.00,0.00,16,14.70,9.88,9.00,0.64,5.08,3.45,1.26,0.00,-9.55,0
4806,0.00,-3.91,15.04,8,0.25,825,0.00,0.00,16,14.70,9.88,9.00,0.64,5.08,3.45,1.26,0.00,-9.57,0
4879,0.00,-3.91,14.81,8,0.25,825,0.00,0.00,16,14.70,9.88,10.00,0.64,5.08,3.47,1.26,0.00,-9.57,0
4945,0.00,-3.91,14.93,8,0.25,824,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
5017,0.00,-3.91,14.81,8,0.25,809,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.28,0.00,-9.57,0
5085,-0.78,-3.91,14.70,8,0.25,821,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.47,1.26,0.00,-9.57,0
5161,-0.78,-4.69,14.70,8,0.25,814,0.00,0.00,16,14.70,9.88,10.50,0.64,5.08,3.45,1.26,0.00,-9.57,0
5225,-0.78,-4.69,14.70,8,0.26,820,0.00,0.00,16,14.70,9.88,9.50,0.64,5.08,3.47,1.26,0.00,-9.57,0
