Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,1.56,0.00,14.47,8,162,0.31,991,0.00,0.00,14.70,16,9.88,11.00,77,5.66,-8.99,5.21,1.42,0.00,0.64,0.00
73,1.56,0.00,14.47,8,162,0.30,993,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-8.97,5.14,1.42,0.00,0.64,0.00
146,0.78,0.00,14.47,8,162,0.30,1013,0.00,0.00,14.70,16,9.88,8.50,77,5.66,-8.99,5.14,1.40,0.00,0.64,0.00
219,1.56,0.00,14.47,8,162,0.30,1014,0.00,0.00,14.70,16,9.88,8.50,77,5.66,-8.99,5.14,1.40,0.00,0.64,0.00
292,0.78,0.00,14.36,8,162,0.30,1015,0.00,0.00,14.70,16,9.88,8.50,77,5.66,-8.99,5.14,1.42,0.00,0.64,0.00
365,1.56,0.00,14.59,8,162,0.30,1024,0.00,0.00,14.70,16,9.88,8.50,77,5.66,-9.05,5.14,1.42,0.00,0.64,0.00
439,1.56,0.00,14.47,8,162,0.30,1023,0.00,0.00,14.70,16,9.88,8.00,77,5.66,-9.07,5.08,1.40,0.00,0.64,0.00
511,1.56,0.00,14.47,8,162,0.30,1012,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.07,5.08,1.40,0.00,0.64,0.00
584,1.56,0.00,14.47,8,162,0.30,1015,0.00,0.00,14.70,16,9.88,9.00,77,5.66,-9.09,5.10,1.42,0.00,0.64,0.00
657,1.56,0.00,14.47,8,162,0.30,1004,0.00,0.00,14.70,16,9.88,10.50,77,5.66,-9.05,5.10,1.42,0.00,0.64,0.00
730,1.56,0.00,14.59,8,162,0.30,1020,0.00,0.00,14.70,16,9.88,8.50,77,5.66,-9.09,5.14,1.40,0.00,0.64,0.00
803,1.56,0.00,14.59,8,162,0.30,1020,0.00,0.00,14.70,16,9.88,8.50,77,5.66,-9.09,5.08,1.40,0.00,0.64,0.00
877,1.56,0.00,14.59,8,162,0.30,1028,0.00,0.00,14.70,16,9.88,7.50,77,5.66,-9.09,5.10,1.42,0.00,0.64,0.00
949,1.56,0.00,14.59,8,162,0.30,1012,0.00,0.00,14.70,16,9.88,8.00,77,5.51,-9.15,5.08,1.42,0.00,0.64,0.00
1022,1.56,0.00,14.70,8,162,0.30,1016,0.00,0.00,14.70,16,9.88,9.50,77,5.66,-9.11,5.04,1.40,0.00,0.64,0.00
