Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,2.34,-0.78,14.36,8,0.28,1263,0.00,0.00,14.59,16,10.94,12.00,4.93,5.98,1.46,0.64,14.50
61,1.56,-0.78,14.47,8,0.28,1269,0.00,0.00,14.59,16,10.94,11.50,4.93,6.02,1.46,0.64,14.50
123,2.34,-0.78,14.47,8,0.28,1270,0.00,0.00,14.59,16,10.94,11.50,4.93,5.96,1.46,0.64,14.50
185,2.34,-1.56,14.47,8,0.28,1261,0.00,0.00,14.59,16,10.94,12.00,4.93,5.96,1.46,0.64,14.50
246,2.34,-1.56,14.47,8,0.28,1265,0.00,0.00,14.59,16,10.94,11.50,4.93,5.89,1.44,0.64,14.50
309,2.34,-1.56,14.47,8,0.28,1262,0.00,0.00,14.59,16,10.94,11.50,4.93,5.85,1.44,0.64,14.50
370,2.34,-1.56,14.47,8,0.28,1246,0.00,0.00,14.59,16,10.59,13.00,4.93,5.85,1.46,0.64,14.60
431,2.34,-1.56,14.47,8,0.28,1246,0.00,0.00,14.59,16,10.59,13.00,4.93,5.85,1.46,0.64,14.50
493,1.56,-1.56,14.47,8,0.28,1254,0.00,0.00,14.59,16,10.94,12.50,4.93,5.82,1.44,0.64,14.50
554,1.56,-1.56,14.47,8,0.28,1258,0.00,0.00,14.59,16,10.94,11.50,4.93,5.82,1.44,0.64,14.60
615,1.56,-1.56,14.36,8,0.27,1254,0.00,0.00,14.59,16,10.94,12.00,4.79,5.82,1.44,0.64,14.50
678,1.56,-2.34,14.47,8,0.28,1257,0.00,0.00,14.59,16,10.59,11.50,4.79,5.76,1.44,0.64,14.50
739,1.56,-2.34,14.47,8,0.28,1246,0.00,0.00,14.59,16,10.59,12.50,4.79,5.72,1.44,0.64,14.50
