#
Time	A/F Correction #1	A/F Learning #1	A/F Sensor #1	CL/OL Fueling*	Engine Load*	RPM	Feedback Knock Correction*	Fine Learning Knock Correction*	Fueling Final Base*	IAM*	Ignition Base Timing*	Ignition Total Timing	Intake Air Temperature	Manifold Absolute Pressure	Manifold Relative Sea Level Pressure (Direct)*	Mass Airflow	Mass Airflow Sensor Voltage	Primary Wastegate Duty Cycle	Target Boost*	Throttle Opening Angle	Throttle Sensor Voltage	Turbo Dynamics Integral Cumulative*	Turbo Dynamics Proportional*	AEM UEGO Wideband  (AFR Gasoline)
msec	%	%	AFR	status	g/rev	rpm	degrees	degrees	estimate	raw ecu 	degrees	degrees	F	psi	psi rela	g/s	V	%	psi rela	%	V	absolute	absolute	9600 bau
493623.000	0.78	-1.56	14.7	8.0	0.18	1883.0	0.000	0.000	14.72	16.0	1.45	2.5	108.0	4.06	-10.75	5.01	1.36	0.0	-1.39	0.0	0.66	0.0	0.0	14.93
493710.000	-1.56	-1.56	14.01	8.0	0.28	1726.0	0.000	0.000	10.9	16.0	22.19	1.0	108.0	6.38	-10.42	18.76	2.2	0.0	-1.39	14.9	0.94	0.0	0.0	14.42
493798.000	-6.25	-1.56	12.86	8.0	0.66	1841.0	0.000	0.000	12.97	16.0	34.14	22.0	108.0	11.17	-4.25	37.01	2.42	0.0	-1.39	19.22	1.26	0.0	0.0	14.30
493885.000	-10.94	0.78	11.94	8.0	0.85	2126.0	0.000	0.000	17.6	16.0	36.95	35.5	108.0	12.19	-3.54	30.52	2.2	0.0	-3.25	0.0	0.96	0.0	0.0	13.98
493972.000	0.0	0.0	12.75	10.0	0.5	2604.0	0.000	0.000	16.47	16.0	16.91	33.5	108.0	5.95	-8.53	7.61	1.56	0.0	-2.94	0.0	0.64	0.0	0.0	13.74
494058.000	0.0	0.0	13.21	10.0	0.31	2589.0	0.000	0.000	15.43	16.0	2.5	20.0	108.0	4.93	-9.65	7.57	1.56	0.0	-2.94	0.0	0.64	0.0	0.0	13.62
494145.000	0.0	0.0	13.09	10.0	0.21	2538.0	0.000	0.000	15.3	16.0	-15.08	9.5	108.0	4.35	-10.52	7.78	1.58	0.0	-2.94	0.0	0.66	0.0	0.0	13.80
494231.000	0.0	0.0	13.9	10.0	0.2	2407.0	0.000	0.000	14.7	16.0	-15.08	-15.5	108.0	4.06	-10.69	7.81	1.58	0.0	-2.01	0.0	0.66	0.0	0.0	13.96
494318.000	0.0	0.0	17.11	10.0	0.19	2182.0	0.000	0.000	14.7	16.0	-15.08	-15.5	108.0	3.92	-10.71	7.06	1.52	0.0	-2.01	0.0	0.66	0.0	0.0	14.54
