Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Gear (Calculated)* (position)
0,-2.34,-4.69,14.81,8,0.27,800,0.00,0.00,14.70,16,9.88,9.50,118,5.37,-9.40,3.58,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
89,-3.12,-4.69,14.93,8,0.27,794,0.00,0.00,14.70,16,9.88,9.00,118,5.22,-9.42,3.55,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
178,-3.12,-4.69,15.04,8,0.26,800,0.00,0.00,14.70,16,9.88,9.00,118,5.22,-9.44,3.55,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1
267,-2.34,-4.69,14.93,8,0.26,809,0.00,0.00,14.70,16,9.88,8.00,118,5.22,-9.44,3.58,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1
356,-2.34,-4.69,14.93,8,0.26,806,0.00,0.00,14.70,16,9.88,8.00,118,5.22,-9.46,3.58,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1
445,-3.12,-4.69,14.81,8,0.27,800,0.00,0.00,14.70,16,9.88,10.00,118,5.22,-9.44,3.51,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.00,1
535,-3.12,-4.69,14.81,8,0.27,794,0.00,0.00,14.70,16,9.88,9.50,118,5.22,-9.44,3.58,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,15.00,1
624,-3.12,-4.69,14.81,8,0.26,798,0.00,0.00,14.70,16,9.88,9.50,118,5.22,-9.44,3.58,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,15.00,1
713,-3.12,-4.69,14.81,8,0.27,804,0.00,0.00,14.70,16,9.88,9.50,118,5.22,-9.44,3.51,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.90,1
801,-3.12,-4.69,14.81,8,0.27,803,0.00,0.00,14.70,16,9.88,8.00,118,5.22,-9.44,3.55,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
891,-2.34,-4.69,14.70,8,0.27,794,0.00,0.00,14.70,16,9.88,10.50,118,5.22,-9.42,3.58,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
979,-3.12,-4.69,14.81,8,0.27,786,0.00,0.00,14.70,16,9.88,9.50,118,5.22,-9.42,3.51,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
1069,-3.12,-4.69,14.59,8,0.27,793,0.00,0.00,14.70,16,9.88,10.50,118,5.37,-9.42,3.58,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
1158,-3.91,-4.69,14.47,8,0.28,756,0.00,0.00,14.70,16,9.88,10.50,118,5.22,-9.40,3.55,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
1247,-3.91,-4.69,14.47,8,0.28,766,0.00,0.00,14.70,16,9.88,13.00,118,5.37,-9.38,3.51,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.80,1
1336,-3.91,-4.69,14.24,8,0.28,775,0.00,0.00,14.70,16,9.88,11.00,118,5.37,-9.32,3.58,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
1425,-3.91,-4.69,14.36,8,0.28,786,0.00,0.00,14.70,16,9.88,9.50,118,5.37,-9.32,3.58,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
1514,-3.12,-4.69,14.36,8,0.27,796,0.00,0.00,14.70,16,9.88,9.50,118,5.37,-9.32,3.60,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1
1603,-3.91,-4.69,14.47,8,0.27,791,0.00,0.00,14.70,16,9.88,9.50,118,5.37,-9.32,3.60,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1
1692,-3.91,-4.69,14.70,8,0.27,797,0.00,0.00,14.70,16,9.88,8.50,118,5.37,-9.34,3.51,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1
1781,-3.12,-4.69,14.59,8,0.27,788,0.00,0.00,14.70,16,9.88,9.00,118,5.37,-9.34,3.55,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1
1870,-3.91,-4.69,14.59,8,0.27,786,0.00,0.00,14.70,16,9.88,9.00,118,5.37,-9.34,3.60,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1
1959,-3.91,-4.69,14.47,8,0.27,794,0.00,0.00,14.70,16,9.88,10.00,118,5.37,-9.30,3.62,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.70,1
2049,-3.91,-4.69,14.47,8,0.27,796,0.00,0.00,14.70,16,9.88,9.00,118,5.37,-9.32,3.62,1.28,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1
2138,-3.91,-4.69,14.59,8,0.27,799,0.00,0.00,14.70,16,9.88,8.50,118,5.37,-9.32,3.62,1.26,0.00,-1.08,0.00,0.64,0.00,0.00,14.60,1
2227,-3.12,-4.69,14.59,8,0.28,794,0.00,0.00,14.70,16,9.88,9.00,118,5.37,-9.30,3.62,1.26,0.00,-1.08,0.78,0.64,0.00,0.00,14.60,1
2316,-3.12,-4.69,14.59,8,0.42,800,0.00,0.00,12.49,16,10.94,9.50,118,5.51,-8.53,3.67,1.30,0.00,-1.08,5.49,0.76,0.00,0.00,14.60,1
2405,-3.12,-4.69,14.70,8,0.61,812,0.00,0.00,11.16,16,17.62,11.50,118,6.96,-6.69,8.00,1.68,0.00,-1.08,9.02,0.90,0.00,0.00,14.60,1
2494,-3.12,-4.69,14.81,8,0.72,985,0.00,0.00,13.04,16,23.95,14.00,118,7.98,-3.93,10.46,1.88,0.00,-1.08,9.80,0.96,0.00,0.00,14.70,1
2583,-2.34,-4.69,14.93,8,0.66,1180,0.00,0.00,14.93,16,28.16,24.50,118,11.32,-3.31,15.42,1.94,0.00,-1.08,9.02,0.96,0.00,0.00,14.90,1
2672,-2.34,-3.91,15.04,8,0.51,1794,0.00,0.00,15.82,16,25.70,27.50,118,11.32,-5.92,14.84,1.86,0.00,-1.70,0.00,0.64,0.00,0.00,14.90,1
