Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Vehicle Speed Ratio Calculation* (raw),Gear (Calculated)* (position)
0,-0.78,0.00,14.47,8,0.30,1173,0.00,0.00,14.59,14,10.23,10.00,91,5.51,-9.24,5.98,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
94,-0.78,0.00,14.47,8,0.31,1166,0.00,0.00,14.59,14,10.59,10.00,91,5.51,-9.22,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
188,-0.78,0.00,14.36,8,0.31,1154,0.00,0.00,14.59,14,10.59,10.00,91,5.51,-9.20,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
281,-0.78,0.00,14.47,8,0.31,1160,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.22,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
375,-0.78,0.00,14.36,8,0.30,1165,0.00,0.00,14.59,14,10.23,10.00,91,5.51,-9.20,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
468,-1.56,0.00,14.36,8,0.31,1168,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.22,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
562,-1.56,0.00,14.24,8,0.30,1157,0.00,0.00,14.59,14,10.23,10.00,91,5.51,-9.20,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
656,-1.56,0.00,14.24,8,0.31,1163,0.00,0.00,14.59,14,10.23,10.50,91,5.51,-9.18,5.99,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
750,-1.56,0.00,14.24,8,0.30,1157,0.00,0.00,14.59,14,10.59,9.50,91,5.51,-9.20,5.96,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
844,-1.56,0.00,14.36,8,0.31,1170,0.00,0.00,14.59,14,10.23,11.00,91,5.51,-9.20,5.92,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,14.60,1318373,6
