Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),Vehicle Speed Ratio Calculation* (raw),Gear (Calculated)* (position),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-2.34,0.00,14.47,8,0.31,1138,0.00,0.00,14.59,14,10.23,11.00,93,5.51,-9.17,5.83,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
94,-2.34,0.00,14.47,8,0.30,1141,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.18,5.83,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
189,-2.34,0.00,14.47,8,0.30,1148,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.20,5.79,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
282,-2.34,0.00,14.36,8,0.30,1152,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.22,5.83,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
375,-2.34,0.00,14.47,8,0.30,1148,0.00,0.00,14.59,14,10.23,9.00,93,5.51,-9.26,5.83,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
469,-2.34,0.00,14.36,8,0.31,1146,0.00,0.00,14.59,14,10.23,11.50,93,5.37,-9.24,5.76,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
563,-2.34,0.00,14.47,8,0.31,1114,0.00,0.00,14.59,14,10.23,12.50,93,5.51,-9.18,5.89,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
657,-2.34,0.00,14.47,8,0.31,1119,0.00,0.00,14.59,14,10.23,12.50,93,5.51,-9.15,5.83,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
750,-2.34,0.00,14.47,8,0.30,1146,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.17,5.79,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.50
844,-2.34,0.00,14.47,8,0.30,1142,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.18,5.83,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
938,-2.34,0.00,14.59,8,0.30,1140,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.20,5.76,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
1031,-1.56,0.00,14.59,8,0.30,1146,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.20,5.76,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
1125,-1.56,0.00,14.59,8,0.31,1125,0.00,0.00,14.59,14,10.23,12.50,93,5.51,-9.20,5.83,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
1219,-2.34,0.00,14.59,8,0.31,1117,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.18,5.83,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
1312,-1.56,0.00,14.59,8,0.30,1124,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.18,5.76,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
1406,-2.34,0.00,14.47,8,0.31,1127,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.17,5.83,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
1500,-2.34,0.00,14.36,8,0.31,1121,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.13,5.79,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
1594,-2.34,0.00,14.47,8,0.31,1132,0.00,0.00,14.59,14,10.23,10.00,93,5.51,-9.15,5.79,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,1318373,6,14.60
1686,-2.34,0.00,14.47,8,0.31,1134,0.00,0.00,14.59,14,10.23,11.50,93,5.51,-9.15,5.83,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,0,1,14.60
1780,-2.34,0.00,14.47,8,0.30,1131,0.00,0.00,14.59,14,10.23,9.50,93,5.51,-9.15,5.76,1.44,0.00,-1.30,0.00,0.64,0.00,0.00,0,1,14.60
1873,-2.34,0.00,14.47,8,0.31,1139,0.00,0.00,14.59,14,10.23,10.50,93,5.51,-9.17,5.79,1.46,0.00,-1.30,0.00,0.64,0.00,0.00,0,1,14.50
1968,-2.34,0.00,14.47,8,0.33,1120,0.00,0.00,11.51,14,10.23,11.50,93,5.51,-9.09,5.83,1.46,0.00,-1.30,0.39,0.66,0.00,0.00,0,1,14.60
2062,-2.34,0.00,14.36,8,0.36,1120,0.00,0.00,15.12,14,10.94,9.50,93,5.66,-8.82,6.24,1.50,0.00,-1.30,1.57,0.70,0.00,0.00,0,1,14.50
2155,-2.34,0.00,14.36,8,0.36,1130,0.00,0.00,14.53,14,13.05,10.50,93,5.95,-8.70,6.64,1.52,0.00,-1.30,1.96,0.72,0.00,0.00,0,1,14.50
2249,-2.34,0.00,14.24,8,0.36,1149,0.00,0.00,14.56,14,14.80,13.50,93,5.95,-8.57,6.95,1.54,0.00,-1.30,2.35,0.72,0.00,0.00,0,1,14.50
2342,-4.69,0.00,13.90,8,0.36,1170,0.00,0.00,14.56,14,17.62,15.50,93,6.09,-8.53,7.20,1.54,0.00,-1.60,2.75,0.72,0.00,0.00,0,1,14.50
2436,-4.69,0.00,13.78,8,0.35,1236,0.00,0.00,14.56,14,20.43,19.00,93,6.09,-8.60,7.32,1.56,0.00,-1.60,2.75,0.74,0.00,0.00,0,1,14.20
2529,-4.69,0.00,14.01,8,0.34,1264,0.00,0.00,14.56,14,23.24,21.00,93,6.09,-8.70,7.48,1.56,0.00,-1.60,2.75,0.74,0.00,0.00,0,1,14.20
2623,-3.12,0.00,14.24,8,0.34,1325,0.00,0.00,14.56,14,26.05,23.00,93,5.95,-8.80,7.57,1.58,0.00,-1.60,3.14,0.74,0.00,0.00,0,1,14.30
2717,-2.34,0.00,14.59,8,0.34,1360,0.00,0.00,14.56,14,27.81,25.50,93,5.95,-8.82,7.65,1.58,0.00,-1.60,3.14,0.74,0.00,0.00,0,1,14.50
2810,-1.56,0.00,14.81,8,0.35,1370,0.00,0.00,14.56,14,27.46,25.50,93,5.95,-8.82,7.86,1.60,0.00,-1.60,3.14,0.74,0.00,0.00,0,1,14.60
2903,-0.78,0.00,14.93,8,0.37,1329,0.00,0.00,14.56,14,27.11,25.00,93,5.95,-8.76,7.98,1.60,0.00,-1.60,3.14,0.74,0.00,0.00,0,1,14.60
