Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-2.34,-1.56,14.59,8,0.37,2255,0.00,0.00,14.70,16,36.25,36.00,93,6.53,-8.16,13.87,1.88,0.00,-2.11,6.27,0.86,0.00,0.00,14.70
87,-1.56,-1.56,14.81,8,0.37,2255,0.00,0.00,14.09,16,36.60,36.00,93,6.53,-8.20,13.69,1.88,0.00,-2.11,6.27,0.86,0.00,0.00,14.70
173,-1.56,-1.56,14.70,8,0.37,2254,0.00,0.00,14.70,16,36.25,36.50,93,6.53,-8.20,13.63,1.88,0.00,-2.11,6.27,0.86,0.00,0.00,14.80
260,-2.34,-1.56,14.70,8,0.36,2246,0.00,0.00,14.70,16,36.25,36.00,93,6.53,-8.20,13.76,1.88,0.00,-2.11,6.27,0.86,0.00,0.00,14.90
347,-2.34,-1.56,14.47,8,0.37,2247,0.00,0.00,14.70,16,36.25,36.50,93,6.53,-8.22,13.69,1.88,0.00,-2.11,6.27,0.86,0.00,0.00,14.80
434,-2.34,-1.56,14.36,8,0.37,2262,0.00,0.00,14.70,16,36.60,36.50,93,6.53,-8.24,13.69,1.88,0.00,-2.11,5.49,0.84,0.00,0.00,14.70
521,-3.12,-1.56,14.47,8,0.36,2248,0.00,0.00,14.70,16,36.60,36.00,93,6.53,-8.64,12.66,1.82,0.00,-2.11,3.92,0.80,0.00,0.00,14.70
608,-3.12,-1.56,14.47,8,0.32,2240,0.00,0.00,15.11,16,36.25,36.50,93,5.95,-9.15,11.11,1.70,0.00,-2.11,3.14,0.76,0.00,0.00,14.70
695,-5.47,-1.56,14.01,8,0.29,2264,0.00,0.00,15.18,16,36.95,36.50,93,5.51,-4.85,9.90,1.62,0.00,-2.11,1.96,0.72,0.00,0.00,14.70
782,-8.59,-1.56,13.67,8,0.24,2243,0.00,0.00,14.71,16,36.95,36.50,93,5.08,-10.19,7.61,1.56,0.00,-2.11,1.96,0.72,0.00,0.00,14.60
