Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),TGV Sensor Left (V),TGV Sensor Right (V)
0,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
96,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
193,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
289,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
386,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
481,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
578,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
674,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
769,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
866,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
962,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
1058,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
1154,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
1250,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
1347,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
1443,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
1538,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
1635,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.08,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
1731,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
1827,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.08,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
1922,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2019,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2115,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2211,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2307,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2404,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2499,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2595,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2691,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2787,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.68,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2883,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
2979,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3074,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3171,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3268,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3364,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3460,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3556,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3652,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.65,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
3748,0.00,0.00,14.70,7,0.44,0,0.00,0.00,0.00,16,-20.00,9.50,66,14.51,-0.14,3.66,0.70,0.00,-1.08,0.00,0.68,0.00,0.00,0.00,0.00,0.35
