Time (msec),A/F Sensor #1 (AFR),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,14.81,0.29,820,0.00,0.00,14.59,16,5.80,-8.95,0.00,-1.08,0.64,0.00,0.00,14.80
64,14.81,0.30,827,0.00,0.00,14.59,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.90
128,14.81,0.30,819,0.00,0.00,14.59,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.90
191,14.81,0.30,824,0.00,0.00,14.59,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
255,14.70,0.29,825,0.00,0.00,14.60,16,5.66,-8.95,0.00,-1.08,0.64,0.00,0.00,14.80
319,14.70,0.29,828,0.00,0.00,14.61,16,5.80,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
383,14.59,0.29,820,0.00,0.00,14.61,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
447,14.70,0.29,831,0.00,0.00,14.62,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
511,14.59,0.29,814,0.00,0.00,14.62,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
575,14.70,0.30,820,0.00,0.00,14.63,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.70
638,14.70,0.30,822,0.00,0.00,14.63,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.70
702,14.70,0.30,821,0.00,0.00,14.64,16,5.66,-8.95,0.00,-1.08,0.64,0.00,0.00,14.70
767,14.81,0.30,823,0.00,0.00,14.64,16,5.80,-8.99,0.00,-1.08,0.64,0.00,0.00,14.70
829,14.70,0.30,819,0.00,0.00,14.65,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.70
894,14.81,0.30,817,0.00,0.00,14.66,16,5.80,-8.95,0.00,-1.08,0.64,0.00,0.00,14.80
958,14.81,0.29,816,0.00,0.00,14.66,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1022,14.81,0.29,822,0.00,0.00,14.66,16,5.80,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1085,14.81,0.29,814,0.00,0.00,14.67,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
1149,14.81,0.29,818,0.00,0.00,14.67,16,5.80,-8.93,0.00,-1.08,0.64,0.00,0.00,14.80
1214,14.81,0.30,818,0.00,0.00,14.68,16,5.80,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1277,14.81,0.30,814,0.00,0.00,14.69,16,5.80,-8.91,0.00,-1.08,0.64,0.00,0.00,14.80
1341,14.81,0.29,814,0.00,0.00,14.69,16,5.80,-8.93,0.00,-1.08,0.64,0.00,0.00,14.80
1405,14.81,0.29,827,0.00,0.00,14.69,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1469,14.81,0.29,828,0.00,0.00,14.70,16,5.80,-8.95,0.00,-1.08,0.64,0.00,0.00,14.80
1532,14.81,0.29,830,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
1596,14.81,0.30,819,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1661,14.81,0.30,828,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
1724,14.81,0.30,816,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1789,14.81,0.29,824,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
1852,14.81,0.30,821,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
1915,14.81,0.29,827,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
1980,14.93,0.30,829,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
2044,14.81,0.29,824,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.80
2107,14.93,0.29,830,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
2171,14.81,0.29,831,0.00,0.00,14.70,16,5.66,-8.97,0.00,-1.08,0.64,0.00,0.00,14.90
2235,14.81,0.29,833,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,14.90
2299,14.81,0.29,823,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
2363,14.81,0.29,832,0.00,0.00,14.70,16,5.66,-9.01,0.00,-1.08,0.64,0.00,0.00,15.00
2426,14.70,0.30,818,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,15.00
2490,14.81,0.29,828,0.00,0.00,14.70,16,5.66,-8.99,0.00,-1.08,0.64,0.00,0.00,14.80
