Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),CL/OL Fueling* (status),Closed Loop Fueling Target* (estimated AFR),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Injector #1 Latency (Direct)* (ms),Fuel Injector #1 Pulse Width (ms),Fuel Injector #1 Pulse Width (Direct)* (ms),Fuel Injector #1 Pulse Width Pre_Low-PW Compensation (ms),Fuel Pump Duty (%),Fueling Final Base* (estimated AFR),Gear (Calculated)* (position),IAM* (raw ecu value),Injector Duty Cycle (%),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Tip-in Enrichment (Last Calculated)* (raw enrichment value),Tip-in Throttle* (%),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,5.47,5.47,14.01,14.00,8,14.23,0.30,1136,0.00,0.00,0.912,1.54,0.864,0.964,74.90,14.15,6,16,1.45,5.37,-9.24,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.20
113,5.47,5.47,14.13,14.00,8,14.23,0.30,1142,0.00,0.00,0.916,1.54,0.864,0.964,74.90,14.15,6,16,1.46,5.37,-9.28,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.30
225,5.47,5.47,14.13,13.92,8,14.23,0.30,1141,0.00,0.00,0.916,1.54,0.848,0.944,74.90,14.15,6,16,1.46,5.37,-9.28,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.30
337,5.47,5.47,14.13,14.08,8,14.23,0.30,1149,0.00,0.00,0.920,1.54,0.852,0.952,74.90,14.15,6,16,1.47,5.37,-9.28,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.20
450,5.47,5.47,14.24,14.08,8,14.23,0.30,1153,0.00,0.00,0.912,1.54,0.852,0.952,74.90,14.15,6,16,1.48,5.37,-9.32,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.30
561,5.47,5.47,14.13,14.08,8,14.23,0.31,1153,0.00,0.00,0.912,1.54,0.872,0.972,74.90,14.15,6,16,1.48,5.37,-9.34,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.30
673,5.47,5.47,14.24,14.08,8,14.23,0.30,1140,0.00,0.00,0.912,1.54,0.848,0.936,74.90,14.15,6,16,1.70,5.37,-9.28,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.30
785,4.69,5.47,14.24,14.00,8,14.23,0.30,1157,0.00,0.00,0.912,1.54,0.832,0.936,74.90,14.15,6,16,1.48,5.37,-9.34,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.30
897,5.47,5.47,14.13,13.92,8,14.23,0.30,1161,0.00,0.00,0.920,1.54,0.852,0.952,74.90,14.15,6,16,1.49,5.37,-9.36,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.30
1009,5.47,5.47,14.24,14.08,8,14.23,0.30,1151,0.00,0.00,0.912,1.54,0.848,0.944,74.90,14.15,6,16,1.47,5.37,-9.34,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.30
1121,5.47,5.47,14.13,14.08,8,14.23,0.30,1163,0.00,0.00,0.968,1.54,0.852,0.952,74.90,14.15,6,16,1.49,5.37,-9.38,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.30
1233,5.47,5.47,14.01,13.60,8,14.23,0.31,1142,0.00,0.00,0.952,1.79,0.872,0.964,74.90,14.15,6,16,1.71,5.37,-9.32,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.30
1345,5.47,5.47,14.13,14.00,8,14.23,0.31,1142,0.00,0.00,0.916,1.54,0.864,0.964,74.90,14.15,6,16,1.71,5.37,-9.28,0.00,-1.70,0.64,0,0.0,0.00,0.00,14.30
