Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.78,0.78,14.47,8,181,0.55,2547,63.5,40.5,0.00,0.00,14.69,16,40.47,40.00,70,8.56,-6.11,23.09,2.18,0.00,-2.01,0.96,0.00,0.00,14.70
96,1.56,0.78,14.59,8,181,0.55,2541,63.5,40.5,0.00,0.00,14.69,16,40.47,40.00,70,8.56,-6.05,23.30,2.18,0.00,-2.01,0.96,0.00,0.00,14.60
192,2.34,0.78,14.59,8,181,0.55,2538,63.5,40.5,0.00,0.00,14.69,16,40.47,40.00,70,8.56,-6.05,23.52,2.18,0.00,-2.01,0.96,0.00,0.00,14.70
288,1.56,0.78,14.70,8,181,0.55,2536,63.5,40.4,0.00,0.00,14.70,16,40.47,40.00,70,8.71,-6.03,23.30,2.18,0.00,-2.01,0.96,0.00,0.00,14.70
384,0.78,0.78,14.36,8,181,0.55,2556,63.4,40.4,0.00,0.00,14.70,16,40.12,40.00,70,8.71,-6.03,23.21,2.18,0.00,-2.01,0.96,0.00,0.00,14.60
480,2.34,0.78,14.70,8,181,0.55,2534,63.4,40.4,0.00,0.00,14.70,16,40.47,40.00,70,8.71,-6.03,23.30,2.18,0.00,-2.01,0.96,0.00,0.00,14.60
576,2.34,0.78,14.70,8,181,0.55,2547,63.4,40.4,0.00,0.00,14.69,16,40.47,40.00,70,8.71,-6.01,23.51,2.18,0.00,-2.01,0.96,0.00,0.00,14.80
672,2.34,0.78,14.70,8,181,0.56,2566,63.4,40.4,0.00,0.00,14.69,16,40.47,40.50,70,8.71,-5.99,23.41,2.20,0.00,-2.01,0.98,0.00,0.00,14.70
768,1.56,0.78,14.70,8,181,0.56,2562,63.4,40.4,0.00,0.00,14.69,16,40.47,40.00,70,8.71,-5.96,23.73,2.20,0.00,-2.01,0.98,0.00,0.00,14.70
864,2.34,0.78,14.59,8,181,0.53,2548,63.4,40.3,0.00,0.00,14.69,16,40.47,40.00,70,8.71,-5.98,23.85,2.20,0.00,-2.01,0.98,0.00,0.00,14.80
960,2.34,0.78,14.70,8,181,0.56,2573,63.4,40.3,0.00,0.00,14.70,16,40.82,40.50,70,8.71,-5.94,23.94,2.20,0.00,-2.01,0.98,0.00,0.00,14.70
1056,2.34,0.78,14.59,8,181,0.56,2570,63.4,40.3,0.00,0.00,14.32,16,40.82,40.00,70,8.85,-5.92,23.94,2.20,0.00,-2.01,0.98,0.00,0.00,14.60
1152,2.34,0.78,14.70,8,181,0.57,2558,63.4,40.2,0.00,0.00,14.70,16,40.82,40.00,70,8.85,-5.86,24.26,2.20,0.00,-2.01,0.98,0.00,0.00,14.70
1248,2.34,0.78,14.59,8,181,0.57,2575,63.4,40.2,0.00,0.00,14.69,16,40.82,40.50,70,8.85,-5.84,24.16,2.20,0.00,-2.01,0.98,0.00,0.00,14.70
1344,3.12,0.78,14.81,8,181,0.58,2582,63.4,40.2,0.00,0.00,14.69,16,40.82,40.50,70,9.00,-5.78,24.69,2.22,0.00,-2.01,0.98,0.00,0.00,14.90
1440,2.34,0.78,14.81,8,181,0.58,2573,63.4,40.2,0.00,0.00,14.69,16,40.47,40.00,70,9.00,-5.70,24.69,2.22,0.00,-2.01,0.98,0.00,0.00,14.80
1536,1.56,0.78,14.36,8,181,0.58,2566,63.4,40.0,0.00,0.00,14.69,16,40.47,40.00,70,9.00,-5.69,24.80,2.22,0.00,-2.01,1.00,0.00,0.00,14.80
1632,1.56,1.56,14.59,8,181,0.59,2588,63.4,39.9,0.00,0.00,14.69,16,40.47,40.50,70,9.00,-5.63,25.02,2.22,0.00,-2.01,1.00,0.00,0.00,14.50
1728,0.78,1.56,14.59,8,181,0.60,2590,63.4,39.9,0.00,0.00,14.69,16,40.47,40.00,70,9.14,-5.57,25.12,2.22,0.00,-2.01,1.00,0.00,0.00,14.60
1823,0.78,1.56,14.70,8,181,0.59,2582,63.4,39.9,0.00,0.00,14.69,16,40.82,40.00,70,9.14,-5.53,25.45,2.24,0.00,-2.01,1.00,0.00,0.00,14.60
1919,0.00,1.56,14.36,8,181,0.59,2574,63.4,39.8,0.00,0.00,14.69,16,40.47,40.00,70,9.29,-5.47,25.34,2.22,0.00,-2.01,1.00,0.00,0.00,14.60
2015,1.56,1.56,14.36,8,181,0.60,2602,63.4,39.7,0.00,0.00,14.69,16,40.82,40.50,70,9.29,-5.45,25.76,2.24,0.00,-2.01,1.00,0.00,0.00,14.50
