Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%)
0,0.00,0.00,14.70,7,0.35,0,0.00,0.00,0.00,16,-20.00,9.50,122,14.22,-0.43,2.92,0.70,0.00,-1.70,1.18,0.68,0.00,0.00,15.00,9.8,1.3
97,0.00,0.00,14.70,7,0.35,0,0.00,0.00,0.00,16,-20.00,9.50,122,14.22,-0.43,2.92,0.70,0.00,-1.70,1.18,0.68,0.00,0.00,15.00,9.8,1.3
192,0.00,0.00,14.70,7,0.35,0,0.00,0.00,0.00,16,-20.00,9.50,122,14.22,-0.43,2.92,0.70,0.00,-1.70,1.18,0.68,0.00,0.00,15.10,9.8,1.3
288,0.00,0.00,14.70,7,0.35,0,0.00,0.00,0.00,16,-20.00,9.50,122,14.22,-0.43,2.92,0.70,0.00,-1.70,1.18,0.68,0.00,0.00,15.00,9.8,1.3
385,0.00,0.00,14.70,7,0.35,0,0.00,0.00,0.00,16,-20.00,9.50,122,14.22,-0.43,2.92,0.70,0.00,-1.70,1.18,0.68,0.00,0.00,15.00,9.8,1.3
480,0.00,0.00,14.70,7,0.35,0,0.00,0.00,0.00,16,-20.00,9.50,122,14.22,-0.43,2.92,0.70,0.00,-1.70,1.18,0.68,0.00,0.00,15.10,9.8,1.4
577,0.00,0.00,14.70,7,0.35,0,0.00,0.00,0.00,16,-20.00,9.50,122,14.22,-0.43,2.92,0.70,0.00,-1.70,1.18,0.68,0.00,0.00,15.00,9.8,1.4
672,0.00,0.00,14.70,7,0.35,0,0.00,0.00,0.00,16,-20.00,9.50,122,14.22,-0.43,2.92,0.70,0.00,-1.70,1.18,0.68,0.00,0.00,14.90,9.8,1.4
769,0.00,0.00,14.70,7,0.35,0,0.00,0.00,0.00,16,-20.00,9.50,122,14.22,-0.43,2.92,0.70,0.00,-1.70,1.18,0.68,0.00,0.00,15.00,9.8,1.4
864,0.00,0.00,14.70,7,0.35,0,0.00,0.00,0.00,16,-20.00,9.50,122,14.22,-0.43,2.92,0.70,0.00,-1.70,1.18,0.68,0.00,0.00,15.10,9.8,1.4
