Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,2.34,0.00,14.70,8,0.23,838,0.00,0.00,14.70,16,9.88,10.50,108,4.79,-10.02,3.18,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
86,2.34,0.00,14.70,8,0.23,838,0.00,0.00,14.70,16,9.88,9.50,108,4.64,-9.96,3.18,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
173,2.34,0.00,14.59,8,0.22,845,0.00,0.00,14.70,16,9.88,9.00,108,4.79,-10.02,3.18,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
260,2.34,0.00,14.59,8,0.22,850,0.00,0.00,14.70,16,9.88,9.50,108,4.64,-10.02,3.18,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
347,1.56,0.00,14.59,8,0.22,858,0.00,0.00,14.70,16,9.88,8.00,108,4.64,-10.04,3.18,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
434,2.34,0.00,14.59,8,0.23,854,0.00,0.00,14.70,16,9.88,8.00,108,4.64,-10.06,3.18,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
521,1.56,0.00,14.47,8,0.22,846,0.00,0.00,14.70,16,9.88,9.50,108,4.64,-10.02,3.16,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
607,1.56,0.00,14.59,8,0.23,845,0.00,0.00,14.70,16,9.88,9.50,108,4.64,-10.04,3.18,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
694,2.34,0.00,14.59,8,0.22,838,0.00,0.00,14.70,16,9.88,10.00,108,4.64,-10.02,3.13,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
781,2.34,0.00,14.59,8,0.22,844,0.00,0.00,14.70,16,9.88,10.50,108,4.64,-10.02,3.13,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
867,2.34,0.00,14.70,8,0.22,845,0.00,0.00,14.70,16,9.88,10.00,108,4.64,-10.06,3.13,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
954,2.34,0.00,14.81,8,0.23,834,0.00,0.00,14.70,16,9.88,10.50,108,4.64,-10.02,3.13,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1041,2.34,0.00,14.70,8,0.23,836,0.00,0.00,14.70,16,9.88,10.00,108,4.64,-10.02,3.13,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1127,2.34,0.00,14.70,8,0.23,834,0.00,0.00,14.70,16,9.88,11.00,108,4.64,-10.02,3.13,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.60
1214,2.34,0.00,14.70,8,0.22,836,0.00,0.00,14.70,16,9.88,10.00,108,4.64,-10.00,3.13,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
1301,1.56,0.00,14.70,8,0.22,837,0.00,0.00,14.70,16,9.88,10.00,108,4.64,-10.02,3.13,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
1387,2.34,0.00,14.47,8,0.22,838,0.00,0.00,14.70,16,9.88,9.50,108,4.64,-10.00,3.13,1.24,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
1475,1.56,0.00,14.59,8,0.23,838,0.00,0.00,14.70,16,9.88,9.50,108,4.64,-10.00,3.16,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
1562,1.56,0.00,14.47,8,0.23,825,0.00,0.00,14.70,16,9.88,11.00,108,4.79,-9.98,3.10,1.22,0.00,-1.08,0.00,0.64,0.00,0.00,14.70
