Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Throttle Sensor Voltage (V),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,-2.34,2.34,14.59,8,0.35,2664,0.00,0.00,14.70,16,41.52,41.50,91,6.09,-8.66,15.69,1.96,5.88,0.84,14.70
72,-2.34,2.34,14.70,8,0.35,2669,0.00,0.00,14.70,16,41.52,41.50,91,5.95,-8.70,15.69,1.96,5.88,0.84,14.70
143,-3.12,2.34,14.59,8,0.35,2700,0.00,0.00,14.70,16,41.88,41.50,91,5.95,-8.72,15.92,1.96,5.88,0.84,14.70
213,-3.12,2.34,14.47,8,0.36,2719,0.00,0.00,14.70,16,41.88,41.50,91,5.95,-8.70,15.99,1.98,5.88,0.84,14.60
284,-3.12,2.34,14.59,8,0.35,2700,0.00,0.00,14.70,16,41.88,41.50,91,5.95,-8.70,16.06,1.96,5.88,0.84,14.60
356,-3.12,2.34,14.59,8,0.35,2706,0.00,0.00,14.70,16,41.88,41.50,91,5.95,-8.72,16.06,1.96,5.88,0.84,14.60
426,-3.12,2.34,14.47,8,0.35,2745,0.00,0.00,14.70,16,41.88,41.50,91,5.95,-8.72,15.99,1.96,5.88,0.84,14.60
496,-3.91,2.34,14.47,8,0.35,2750,0.00,0.00,14.70,16,41.88,41.50,91,5.95,-8.72,16.13,1.98,5.88,0.84,14.60
567,-3.12,2.34,14.47,8,0.35,2747,0.00,0.00,14.70,16,41.88,41.50,91,5.95,-8.76,16.14,1.98,5.88,0.84,14.60
638,-3.12,2.34,14.59,8,0.35,2760,0.00,0.00,14.70,16,41.88,41.50,91,5.95,-8.74,16.13,1.96,5.88,0.84,14.70
708,-3.12,2.34,14.70,8,0.35,2800,0.00,0.00,14.70,16,42.23,41.50,91,5.95,-8.78,16.27,1.98,5.88,0.84,14.80
779,-3.12,2.34,14.70,8,0.35,2816,0.00,0.00,14.70,16,41.88,42.00,91,5.95,-8.78,16.20,1.96,5.88,0.84,14.80
850,-3.12,2.34,14.59,8,0.34,2818,0.00,0.00,14.70,16,41.88,41.50,91,5.95,-8.76,16.06,1.96,5.88,0.84,14.70
921,-3.12,2.34,14.59,8,0.35,2810,0.00,0.00,14.70,16,41.88,41.50,91,5.95,-8.78,16.27,1.98,5.88,0.84,14.70
991,-3.12,2.34,14.59,8,0.35,2827,0.00,0.00,14.70,16,41.88,42.00,91,5.95,-8.80,16.27,1.98,5.88,0.84,14.70
1061,-3.12,2.34,14.70,8,0.34,2849,0.00,0.00,14.70,16,41.52,42.00,91,5.95,-8.80,16.35,1.98,5.88,0.84,14.70
1133,-3.12,2.34,14.59,8,0.34,2827,0.00,0.00,14.06,16,41.88,42.00,91,5.95,-8.80,16.49,1.98,5.10,0.82,14.80
1203,-3.12,2.34,14.59,8,0.29,2835,0.00,0.00,15.24,16,37.66,40.50,91,5.37,-9.69,11.77,1.74,0.00,0.64,14.70
1274,0.00,2.34,14.36,10,0.23,2838,0.00,0.00,15.31,16,29.22,33.00,91,4.64,-10.27,8.82,1.64,0.00,0.64,14.70
1345,0.00,1.56,14.13,10,0.18,2821,0.00,0.00,14.70,16,21.84,26.00,91,4.21,-10.56,8.51,1.62,0.00,0.64,14.60
1416,0.00,1.56,13.67,10,0.19,2764,0.00,0.00,14.70,16,16.21,20.00,91,4.06,-10.67,8.51,1.64,0.00,0.64,14.20
1487,0.00,1.56,13.32,10,0.20,2693,0.00,0.00,14.70,16,11.99,14.50,91,3.92,-10.79,8.60,1.64,0.00,0.64,14.20
1557,0.00,1.56,14.01,10,0.20,2564,0.00,0.00,14.70,16,11.99,11.50,91,3.92,-10.71,8.34,1.64,0.00,0.64,14.20
1628,0.00,0.00,15.04,10,0.21,2464,0.00,0.00,14.70,16,11.99,11.50,91,4.06,-10.67,7.84,1.58,0.00,0.64,14.30
1698,0.00,0.00,17.11,10,0.19,2318,0.00,0.00,14.70,16,11.99,11.50,91,4.06,-10.60,7.09,1.52,0.00,0.64,15.50
1770,0.00,0.00,19.41,10,0.19,2218,0.00,0.00,14.70,16,11.99,11.50,91,4.21,-10.54,6.48,1.50,0.00,0.64,15.50
1840,0.00,0.00,24.35,10,0.19,2074,0.00,0.00,14.70,16,11.99,11.50,91,4.21,-10.50,6.27,1.50,0.00,0.64,18.10
