Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,0.00,23.08,10,183,0.32,2094,64.4,43.1,0.00,0.00,13.70,16,28.16,19.00,73,5.08,-9.63,8.65,1.76,0.00,-2.01,0.84,0.00,0.00,41.00
97,0.00,0.00,23.08,10,183,0.37,2003,64.4,42.7,0.00,0.00,13.97,16,35.20,29.50,73,5.37,-9.24,11.47,1.84,0.00,-2.01,0.86,0.00,0.00,81.60
192,0.00,0.00,22.85,10,183,0.54,1961,64.4,41.3,0.00,0.00,12.34,16,35.20,35.50,73,6.67,-8.33,12.34,2.02,0.00,-2.01,0.98,0.00,0.00,57.30
288,0.00,0.00,18.83,10,183,0.59,2110,64.4,41.3,0.00,0.00,14.62,16,35.90,35.00,73,7.84,-6.59,20.35,2.12,0.00,-1.70,1.00,0.00,0.00,18.10
384,-10.94,0.00,14.24,8,183,0.67,2040,64.4,39.8,0.00,0.00,14.13,16,35.20,35.50,73,9.14,-5.70,20.83,2.14,0.00,-1.70,1.04,0.00,0.00,13.40
480,-8.59,0.00,12.29,8,183,0.82,2114,64.4,37.2,0.00,0.00,13.59,16,34.14,34.00,73,10.16,-4.54,21.19,2.30,0.00,-1.70,1.14,0.00,0.00,13.80
576,-7.03,0.00,14.13,8,183,0.78,2134,64.4,37.2,0.00,0.00,14.83,16,34.84,34.00,73,11.61,-3.23,28.39,2.28,0.00,-1.70,1.14,0.00,0.00,13.80
672,-7.03,0.00,13.78,8,183,0.80,2098,64.4,35.5,0.00,0.00,14.61,16,34.49,34.50,73,11.75,-2.96,28.04,2.30,0.00,-1.70,1.16,0.00,0.00,14.10
768,1.56,0.00,15.04,8,183,0.79,2123,64.4,34.8,0.00,0.00,14.61,16,34.84,34.00,73,12.04,-2.69,28.04,2.28,0.00,-1.70,1.16,0.00,0.00,14.80
864,6.25,0.00,17.00,8,183,0.78,2164,64.4,34.7,0.00,0.00,14.62,16,35.55,35.00,73,12.04,-2.59,28.39,2.30,0.00,-1.70,1.18,0.00,0.00,16.80
960,3.91,0.00,17.00,8,183,0.81,2164,64.4,34.7,0.00,0.00,14.32,16,34.84,35.00,73,12.19,-2.59,28.98,2.30,0.00,-1.70,1.18,0.00,0.00,17.10
1056,4.69,0.00,15.85,8,183,0.80,2182,64.5,34.5,0.00,0.00,14.63,16,35.55,35.00,73,12.33,-2.40,29.09,2.32,0.00,-1.70,1.20,0.00,0.00,16.00
1151,4.69,0.00,15.27,8,183,0.83,2234,64.4,34.3,0.00,0.00,14.64,16,35.20,35.50,73,12.33,-2.34,30.32,2.34,0.00,-1.70,1.20,0.00,0.00,15.20
1248,6.25,0.00,15.39,8,183,0.86,2252,64.1,34.0,0.00,0.00,14.64,16,35.20,35.00,73,12.48,-2.26,31.05,2.36,0.00,-1.70,1.20,0.00,0.00,15.60
1344,6.25,0.00,15.39,8,183,0.85,2300,64.5,34.0,0.00,0.00,14.64,16,35.20,35.00,73,12.48,-2.19,31.40,2.36,0.00,-1.70,1.20,0.00,0.00,15.30
1439,5.47,0.00,15.04,8,183,0.88,2312,64.5,33.9,0.00,0.00,14.38,16,35.20,35.00,73,12.62,-2.19,32.86,2.38,0.00,-1.70,1.20,0.00,0.00,14.80
1535,6.25,0.00,14.59,8,183,0.87,2340,64.4,33.7,0.00,0.00,14.64,16,35.55,34.50,73,12.62,-2.09,34.12,2.40,0.00,-1.70,1.20,0.00,0.00,14.70
1631,4.69,0.00,14.70,8,183,0.86,2376,64.4,33.6,0.00,0.00,14.65,16,36.25,35.50,73,12.62,-2.05,34.66,2.40,0.00,-1.70,1.20,0.00,0.00,14.50
1728,4.69,0.00,14.13,8,183,0.90,2407,64.4,33.6,0.00,0.00,14.65,16,35.20,35.50,73,12.62,-2.03,34.66,2.42,0.00,-1.70,1.22,0.00,0.00,14.40
1823,3.12,0.00,14.01,8,183,0.90,2431,64.4,33.5,0.00,0.00,14.65,16,35.55,35.50,73,12.77,-1.95,35.93,2.42,0.00,-1.70,1.22,0.00,0.00,14.30
1919,3.12,0.00,13.90,8,183,0.91,2479,64.4,33.6,0.00,0.00,14.66,16,35.55,35.50,73,12.77,-1.93,36.46,2.44,0.00,-1.70,1.22,0.00,0.00,14.30
2015,2.34,0.00,14.01,8,183,0.90,2490,64.4,33.6,0.00,0.00,14.84,16,35.55,35.50,73,12.77,-1.93,37.40,2.44,0.00,-1.70,1.22,0.00,0.00,14.40
2112,1.56,0.00,14.24,8,183,0.92,2494,64.4,33.5,0.00,0.00,14.66,16,35.90,35.50,73,12.77,-1.93,37.68,2.44,0.00,-1.70,1.22,0.00,0.00,14.40
2208,1.56,0.00,14.47,8,183,0.91,2554,64.4,33.4,0.00,0.00,14.66,16,36.25,35.50,73,12.77,-1.91,38.23,2.46,0.00,-1.70,1.22,0.00,0.00,14.60
2303,1.56,0.00,14.47,8,183,0.92,2564,64.5,33.5,0.00,0.00,14.66,16,36.25,35.50,73,12.77,-1.90,38.63,2.46,0.00,-1.70,1.22,0.00,0.00,14.70
2400,2.34,0.00,14.70,8,183,0.91,2594,64.5,33.5,0.00,0.00,14.67,16,36.25,35.50,73,12.77,-1.88,39.17,2.48,0.00,-1.70,1.22,0.00,0.00,14.70
2495,1.56,0.00,14.81,8,183,0.93,2618,64.4,33.5,0.00,0.00,14.67,16,36.60,35.50,73,12.91,-1.86,39.71,2.48,0.00,-1.70,1.22,0.00,0.00,14.50
2591,1.56,0.00,14.47,8,183,0.91,2670,64.4,33.5,0.00,0.00,14.68,16,36.95,36.00,73,12.77,-1.86,40.26,2.50,0.00,-1.70,1.22,0.00,0.00,14.60
2687,2.34,0.00,14.47,8,183,0.92,2692,64.4,33.4,0.00,0.00,14.68,16,36.95,36.50,73,12.91,-1.86,40.53,2.50,0.00,-1.70,1.22,0.00,0.00,15.10
2784,1.56,0.00,14.70,8,183,0.93,2730,64.4,33.4,0.00,0.00,14.68,16,37.30,36.50,73,12.91,-1.84,41.47,2.52,0.00,-1.70,1.22,0.00,0.00,14.70
2879,1.56,0.00,14.70,8,183,0.92,2744,64.4,33.4,0.00,0.00,14.68,16,37.30,36.50,73,12.91,-1.84,41.48,2.52,0.00,-1.70,1.22,0.00,0.00,14.70
2975,2.34,0.00,14.81,8,183,0.93,2786,64.4,33.4,0.00,0.00,14.69,16,37.30,37.00,73,12.91,-1.90,42.60,2.54,0.00,-1.70,1.22,0.00,0.00,14.80
3071,1.56,0.00,14.36,8,183,0.93,2804,64.4,33.4,0.00,0.00,14.51,16,37.66,36.50,73,12.77,-1.88,42.95,2.54,0.00,-1.70,1.22,0.00,0.00,14.50
3167,2.34,0.00,14.81,8,183,0.93,2838,64.4,33.4,0.00,0.00,14.69,16,37.30,37.00,73,12.77,-1.90,43.46,2.54,0.00,-1.70,1.22,0.00,0.00,14.80
3263,0.78,0.00,14.70,8,183,0.93,2849,64.4,33.4,0.00,0.00,14.37,16,37.66,37.00,73,12.77,-1.90,44.16,2.56,0.00,-1.70,1.22,0.00,0.00,14.60
3359,1.56,0.00,14.47,8,183,0.93,2890,64.4,33.4,0.00,0.00,14.69,16,38.01,37.50,73,12.77,-1.91,44.32,2.54,0.00,-1.70,1.22,0.00,0.00,14.40
3456,0.78,0.00,14.47,8,183,0.92,2936,64.4,33.4,0.00,0.00,14.69,16,38.01,37.00,73,12.77,-1.93,44.85,2.58,0.00,-1.70,1.22,0.00,0.00,14.50
3551,0.00,0.00,14.59,8,183,0.92,2952,64.4,33.4,0.00,0.00,14.69,16,38.36,38.00,73,12.77,-1.93,45.02,2.58,0.00,-1.70,1.22,0.00,0.00,14.50
3647,0.00,0.00,14.47,8,183,0.93,2977,64.4,33.4,0.00,0.00,14.69,16,38.36,38.00,73,12.77,-1.93,45.71,2.58,0.00,-1.70,1.22,0.00,0.00,14.60
3743,0.00,0.00,14.70,8,183,0.92,3008,64.4,33.5,0.00,0.00,14.69,16,38.36,38.00,73,12.77,-1.95,45.71,2.58,0.00,-1.70,1.20,0.00,0.00,14.60
3840,-0.78,0.00,14.47,8,183,0.84,3028,64.4,33.5,0.00,0.00,14.88,16,40.12,38.00,72,11.90,-2.24,45.36,2.44,0.00,-2.01,1.06,0.00,0.00,14.50
3935,-6.25,0.00,14.24,8,183,0.52,3025,64.4,36.6,0.00,0.00,16.10,16,43.98,39.50,72,9.29,-4.70,38.63,2.10,0.00,-2.63,0.74,0.00,0.00,13.70
4031,0.00,0.00,11.83,8,183,0.27,2908,64.4,42.0,0.00,0.00,16.41,16,40.12,43.50,72,7.11,-8.30,8.95,1.58,0.00,-2.63,0.64,0.00,0.00,12.10
4127,0.00,0.00,11.25,10,183,0.19,2993,64.4,43.1,0.00,0.00,15.33,16,29.57,40.00,72,5.08,-9.44,7.90,1.58,0.00,-2.32,0.64,0.00,0.00,11.20
4224,0.00,0.00,11.14,10,183,0.16,2907,64.4,43.1,0.00,0.00,14.70,16,21.48,26.00,72,4.50,-10.33,7.40,1.56,0.00,-2.63,0.64,0.00,0.00,10.70
4320,0.00,0.00,11.25,10,183,0.17,2807,64.4,43.1,0.00,0.00,14.70,16,20.08,20.00,72,3.92,-10.67,7.40,1.58,0.00,-2.32,0.64,0.00,0.00,10.80
4415,0.00,0.00,11.25,10,183,0.18,2568,64.4,43.1,0.00,0.00,14.70,16,18.67,20.00,72,3.92,-10.73,7.98,1.58,0.00,-2.32,0.64,0.00,0.00,11.40
