Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees)
0,0.15,1344,0.00,0.00,16,14.10,16.00
32,0.15,1352,0.00,0.00,16,14.10,15.50
72,0.15,1399,0.00,0.00,16,14.10,15.50
104,0.15,1335,0.00,0.00,16,14.10,17.00
144,0.15,1344,0.00,0.00,16,14.10,17.00
179,0.15,1344,0.00,0.00,16,14.10,16.00
219,0.15,1333,0.00,0.00,16,14.10,16.00
257,0.15,1333,0.00,0.00,16,14.10,17.50
289,0.15,1349,0.00,0.00,16,14.10,15.50
329,0.15,1349,0.00,0.00,16,14.10,15.50
361,0.15,1339,0.00,0.00,16,14.10,15.50
401,0.15,1290,0.00,0.00,16,14.10,15.50
433,0.15,1354,0.00,0.00,16,14.10,15.50
473,0.15,1347,0.00,0.00,16,14.10,15.50
505,0.15,1347,0.00,0.00,16,14.10,15.50
545,0.15,1339,0.00,0.00,16,14.10,16.50
585,0.15,1339,0.00,0.00,16,14.10,16.50
617,0.15,1344,0.00,0.00,16,14.10,16.50
657,0.15,1344,0.00,0.00,16,14.10,16.50
691,0.15,1341,0.00,0.00,16,14.10,16.50
729,0.15,1288,0.00,0.00,16,14.10,16.50
769,0.15,1352,0.00,0.00,16,14.10,15.50
801,0.15,1340,0.00,0.00,16,14.10,15.50
837,0.15,1340,0.00,0.00,16,14.10,16.50
868,0.15,1349,0.00,0.00,16,14.10,15.50
908,0.15,1349,0.00,0.00,16,14.10,15.50
948,0.15,1344,0.00,0.00,16,14.10,16.50
982,0.15,1344,0.00,0.00,16,14.10,16.50
1014,0.15,1346,0.00,0.00,16,14.10,16.00
1056,0.15,1398,0.00,0.00,16,14.10,16.00
1092,0.15,1334,0.00,0.00,16,14.10,17.00
1132,0.15,1344,0.00,0.00,16,14.10,17.00
1164,0.15,1344,0.00,0.00,16,14.10,16.00
1196,0.15,1340,0.00,0.00,16,14.10,16.50
1236,0.15,1340,0.00,0.00,16,14.10,16.50
1276,0.15,1358,0.00,0.00,16,14.10,14.50
1308,0.15,1358,0.00,0.00,16,14.10,14.50
1348,0.15,1338,0.00,0.00,16,14.10,16.50
