Time (msec),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V)
0,1303,0.00,0.00,16,14.10,14.00,0.64
40,1292,0.00,0.00,16,14.10,15.50,0.64
72,1305,0.00,0.00,16,14.10,15.50,0.64
104,1305,0.00,0.00,16,14.10,14.00,0.64
136,1291,0.00,0.00,16,14.10,14.00,0.64
176,1291,0.00,0.00,16,14.10,15.50,0.64
208,1274,0.00,0.00,16,14.10,15.50,0.64
240,1274,0.00,0.00,16,14.10,17.50,0.64
277,1289,0.00,0.00,16,14.10,15.50,0.64
309,1289,0.00,0.00,16,14.10,15.50,0.64
341,1282,0.00,0.00,16,14.10,16.50,0.64
381,1282,0.00,0.00,16,14.10,16.50,0.64
413,1290,0.00,0.00,16,14.10,15.50,0.64
445,1290,0.00,0.00,16,14.10,15.50,0.64
477,1288,0.00,0.00,16,14.10,14.50,0.64
518,1288,0.00,0.00,16,14.10,14.50,0.64
548,1282,0.00,0.00,16,14.10,16.00,0.64
580,1282,0.00,0.00,16,14.10,16.00,0.64
620,1284,0.00,0.00,16,14.10,16.00,0.64
652,1284,0.00,0.00,16,14.10,16.00,0.64
687,1288,0.00,0.00,16,14.10,15.50,0.64
727,1288,0.00,0.00,16,14.10,15.50,0.64
751,1296,0.00,0.00,16,14.10,14.50,0.64
791,1296,0.00,0.00,16,14.10,14.50,0.64
823,1270,0.00,0.00,16,14.10,16.50,0.64
855,1275,0.00,0.00,16,14.10,16.50,0.64
893,1275,0.00,0.00,16,14.10,16.50,0.64
925,1282,0.00,0.00,16,14.10,16.50,0.64
957,1282,0.00,0.00,16,14.10,16.00,0.64
989,1281,0.00,0.00,16,14.10,16.00,0.64
1029,1281,0.00,0.00,16,14.10,16.00,0.64
1063,1291,0.00,0.00,16,14.10,16.00,0.64
1095,1291,0.00,0.00,16,14.10,15.00,0.64
1127,1280,0.00,0.00,16,14.10,15.00,0.64
1167,1280,0.00,0.00,16,14.10,16.00,0.64
1199,1280,0.00,0.00,16,14.10,16.00,0.64
1231,1280,0.00,0.00,16,14.10,16.00,0.64
1263,1288,0.00,0.00,16,14.10,15.50,0.64
1303,1288,0.00,0.00,16,14.10,15.50,0.64
1335,1273,0.00,0.00,16,14.10,16.50,0.64
1367,1273,0.00,0.00,16,14.10,16.50,0.64
1403,1294,0.00,0.00,16,14.10,14.00,0.64
1435,1294,0.00,0.00,16,14.10,14.00,0.64
1467,1275,0.00,0.00,16,14.10,16.50,0.64
1507,1275,0.00,0.00,16,14.10,16.50,0.64
1539,1271,0.00,0.00,16,14.10,16.50,0.64
1571,1271,0.00,0.00,16,14.10,16.50,0.64
1603,1282,0.00,0.00,16,14.10,15.50,0.64
1643,1282,0.00,0.00,16,14.10,15.50,0.64
1675,1283,0.00,0.00,16,14.10,15.50,0.64
1710,1282,0.00,0.00,16,14.10,15.50,0.64
1742,1282,0.00,0.00,16,14.10,15.50,0.64
1774,1270,0.00,0.00,16,14.10,15.50,0.64
1814,1270,0.00,0.00,16,14.10,15.50,0.64
1847,1264,0.00,0.00,16,14.10,15.50,0.64
1883,1264,0.00,0.00,16,14.10,17.50,0.64
1911,1286,0.00,0.00,16,14.10,15.00,0.64
1951,1286,0.00,0.00,16,14.10,15.00,0.64
1983,1282,0.00,0.00,16,14.10,15.50,0.64
2015,1282,0.00,0.00,16,14.10,15.50,0.64
2047,1289,0.00,0.00,16,14.10,14.50,0.64
2087,1289,0.00,0.00,16,14.10,14.50,0.64
2119,1276,0.00,0.00,16,14.10,15.50,0.64
2151,1276,0.00,0.00,16,14.10,15.50,0.64
2183,1277,0.00,0.00,16,14.10,16.00,0.64
2223,1277,0.00,0.00,16,14.10,16.00,0.64
2255,1286,0.00,0.00,16,14.10,15.00,0.64
2295,1286,0.00,0.00,16,14.10,15.00,0.64
2328,1278,0.00,0.00,16,14.10,15.50,0.64
2361,1278,0.00,0.00,16,14.10,15.50,0.64
2393,1288,0.00,0.00,16,14.10,14.50,0.64
2426,1288,0.00,0.00,16,14.10,14.50,0.64
2458,1277,0.00,0.00,16,14.10,15.00,0.64
2498,1277,0.00,0.00,16,14.10,15.00,0.64
2526,1277,0.00,0.00,16,14.10,16.00,0.64
