Time (msec),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Throttle Sensor Voltage (V),A/F Sensor #1 (AFR),Coolant Temperature (F),Engine Load* (g/rev),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Turbo Dynamics Proportional* (absolute %)
0,1262,0.00,0.00,16,14.10,16.50,0.64,14.13,108,0.15,4.93,-9.77,6.18,1.48,0.00,0.00
64,1261,0.00,0.00,16,14.10,16.50,0.64,14.13,109,0.15,4.93,-9.77,6.18,1.48,0.00,0.00
128,1264,0.00,0.00,16,14.10,16.00,0.64,14.24,109,0.15,4.93,-9.77,6.11,1.48,0.00,0.00
192,1254,0.00,0.00,16,14.10,17.00,0.64,14.24,109,0.15,4.93,-9.77,6.11,1.48,0.00,0.00
256,1270,0.00,0.00,16,14.10,17.00,0.64,14.24,109,0.15,4.93,-9.77,6.18,1.48,0.00,0.00
320,1270,0.00,0.00,16,14.10,15.50,0.64,14.47,109,0.15,4.93,-9.77,6.18,1.48,0.00,0.00
384,1256,0.00,0.00,16,14.10,15.50,0.64,14.36,109,0.15,4.93,-9.77,6.22,1.50,0.00,0.00
448,1264,0.00,0.00,16,14.10,16.50,0.64,14.36,109,0.15,4.93,-9.77,6.26,1.50,0.00,0.00
512,1265,0.00,0.00,16,14.10,16.00,0.64,14.47,109,0.15,4.93,-9.77,6.26,1.48,0.00,0.00
570,1276,0.00,0.00,16,14.10,15.50,0.64,14.47,109,0.15,4.93,-9.77,6.26,1.48,0.00,0.00
642,1276,0.00,0.00,16,14.10,15.50,0.64,14.47,109,0.15,4.93,-9.77,6.26,1.48,0.00,0.00
700,1272,0.00,0.00,16,14.10,14.50,0.64,14.47,109,0.15,4.93,-9.77,6.18,1.50,0.00,0.00
764,1293,0.00,0.00,16,14.10,15.00,0.64,14.59,109,0.14,4.93,-9.77,6.26,1.50,0.00,0.00
