Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value)
0,0.00,0.00,16
16,0.00,0.00,16
40,0.00,0.00,16
67,0.00,0.00,16
91,0.00,0.00,16
107,0.00,0.00,16
131,0.00,0.00,16
155,0.00,0.00,16
179,0.00,0.00,16
203,0.00,0.00,16
227,0.00,0.00,16
251,0.00,0.00,16
267,0.00,0.00,16
291,0.00,0.00,16
315,0.00,0.00,16
339,0.00,0.00,16
363,0.00,0.00,16
379,0.00,0.00,16
403,0.00,0.00,16
427,0.00,0.00,16
452,0.00,0.00,16
476,0.00,0.00,16
493,0.00,0.00,16
517,0.00,0.00,16
541,0.00,0.00,16
561,0.00,0.00,16
588,0.00,0.00,16
612,0.00,0.00,16
636,0.00,0.00,16
652,0.00,0.00,16
676,0.00,0.00,16
700,0.00,0.00,16
724,0.00,0.00,16
748,0.00,0.00,16
772,0.00,0.00,16
788,0.00,0.00,16
812,0.00,0.00,16
837,0.00,0.00,16
861,0.00,0.00,16
885,0.00,0.00,16
901,0.00,0.00,16
925,0.00,0.00,16
949,0.00,0.00,16
973,0.00,0.00,16
997,0.00,0.00,16
1023,0.00,0.00,16
1039,0.00,0.00,16
1063,0.00,0.00,16
1087,0.00,0.00,16
1111,0.00,0.00,16
1135,0.00,0.00,16
1155,0.00,0.00,16
1179,0.00,0.00,16
1203,0.00,0.00,16
1219,0.00,0.00,16
1243,0.00,0.00,16
1267,0.00,0.00,16
1291,0.00,0.00,16
1315,0.00,0.00,16
1331,0.00,0.00,16
1355,0.00,0.00,16
1379,0.00,0.00,16
1403,0.00,0.00,16
1427,0.00,0.00,16
1451,0.00,0.00,16
1475,0.00,0.00,16
1499,0.00,0.00,16
1515,0.00,0.00,16
1539,0.00,0.00,16
1563,0.00,0.00,16
1587,0.00,0.00,16
1611,0.00,0.00,16
1635,0.00,0.00,16
1651,0.00,0.00,16
1675,0.00,0.00,16
1699,0.00,0.00,16
1723,0.00,0.00,16
1747,0.00,0.00,16
1763,0.00,0.00,16
1787,0.00,0.00,16
1811,0.00,0.00,16
