Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V)
0,0.00,0.00,16,5.85,1.46
32,0.00,0.00,16,5.85,1.46
64,0.00,0.00,16,5.85,1.46
88,0.00,0.00,16,5.85,1.46
120,0.00,0.00,16,5.85,1.46
152,0.00,0.00,16,5.81,1.46
176,0.00,0.00,16,5.81,1.46
208,0.00,0.00,16,5.81,1.46
240,0.00,0.00,16,5.81,1.46
272,0.00,0.00,16,5.85,1.46
296,0.00,0.00,16,5.85,1.46
328,0.00,0.00,16,5.94,1.46
360,0.00,0.00,16,5.94,1.46
384,0.00,0.00,16,5.94,1.46
416,0.00,0.00,16,5.87,1.46
449,0.00,0.00,16,5.87,1.46
474,0.00,0.00,16,5.81,1.46
506,0.00,0.00,16,5.81,1.46
538,0.00,0.00,16,5.74,1.46
562,0.00,0.00,16,5.74,1.46
594,0.00,0.00,16,5.78,1.46
622,0.00,0.00,16,5.78,1.46
652,0.00,0.00,16,5.78,1.46
684,0.00,0.00,16,5.78,1.46
709,0.00,0.00,16,5.78,1.46
741,0.00,0.00,16,5.74,1.46
772,0.00,0.00,16,5.74,1.46
804,0.00,0.00,16,5.78,1.46
829,0.00,0.00,16,5.78,1.46
861,0.00,0.00,16,5.78,1.46
892,0.00,0.00,16,5.78,1.46
917,0.00,0.00,16,5.85,1.46
951,0.00,0.00,16,5.85,1.46
975,0.00,0.00,16,5.85,1.46
1007,0.00,0.00,16,5.85,1.46
1039,0.00,0.00,16,5.85,1.46
1063,0.00,0.00,16,5.81,1.46
1095,0.00,0.00,16,5.81,1.46
1127,0.00,0.00,16,5.85,1.46
1159,0.00,0.00,16,5.85,1.46
1183,0.00,0.00,16,5.85,1.46
1211,0.00,0.00,16,5.85,1.46
1246,0.00,0.00,16,5.78,1.46
1270,0.00,0.00,16,5.78,1.46
1302,0.00,0.00,16,5.78,1.46
1334,0.00,0.00,16,5.78,1.46
1358,0.00,0.00,16,5.78,1.46
1390,0.00,0.00,16,5.85,1.46
1422,0.00,0.00,16,5.85,1.46
1454,0.00,0.00,16,5.85,1.46
1478,0.00,0.00,16,5.85,1.46
1510,0.00,0.00,16,5.85,1.46
1534,0.00,0.00,16,5.85,1.46
1567,0.00,0.00,16,5.85,1.46
