Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Engine Speed (rpm),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,0.00,0.00,16,1121,-9.53,-1.08,0.64
32,0.00,0.00,16,1129,-9.57,-1.08,0.64
72,0.00,0.00,16,1104,-9.57,-1.08,0.64
104,0.00,0.00,16,1104,-9.57,-1.08,0.64
144,0.00,0.00,16,1112,-9.57,-1.08,0.64
184,0.00,0.00,16,1112,-9.57,-1.08,0.64
226,0.00,0.00,16,1126,-9.57,-1.08,0.64
266,0.00,0.00,16,1121,-9.57,-1.08,0.64
298,0.00,0.00,16,1121,-9.57,-1.08,0.64
338,0.00,0.00,16,1110,-9.57,-1.08,0.64
379,0.00,0.00,16,1110,-9.57,-1.08,0.64
419,0.00,0.00,16,1106,-9.57,-1.08,0.64
459,0.00,0.00,16,1106,-9.57,-1.08,0.64
491,0.00,0.00,16,1105,-9.57,-1.08,0.64
531,0.00,0.00,16,1122,-9.57,-1.08,0.64
571,0.00,0.00,16,1122,-9.57,-1.08,0.64
611,0.00,0.00,16,1115,-9.57,-1.08,0.64
653,0.00,0.00,16,1115,-9.57,-1.08,0.64
685,0.00,0.00,16,1105,-9.57,-1.08,0.64
729,0.00,0.00,16,1101,-9.55,-1.08,0.64
769,0.00,0.00,16,1101,-9.55,-1.08,0.64
801,0.00,0.00,16,1113,-9.57,-1.08,0.64
841,0.00,0.00,16,1113,-9.55,-1.08,0.64
881,0.00,0.00,16,1118,-9.55,-1.08,0.64
921,0.00,0.00,16,1124,-9.57,-1.08,0.64
961,0.00,0.00,16,1124,-9.57,-1.08,0.64
1001,0.00,0.00,16,1121,-9.57,-1.08,0.64
1033,0.00,0.00,16,1121,-9.57,-1.08,0.64
1081,0.00,0.00,16,1112,-9.57,-1.08,0.64
1113,0.00,0.00,16,1124,-9.59,-1.08,0.64
1153,0.00,0.00,16,1124,-9.57,-1.08,0.64
1193,0.00,0.00,16,1114,-9.57,-1.08,0.64
1229,0.00,0.00,16,1114,-9.59,-1.08,0.64
1269,0.00,0.00,16,1109,-9.57,-1.08,0.64
1309,0.00,0.00,16,1109,-9.57,-1.08,0.64
1349,0.00,0.00,16,1114,-9.57,-1.08,0.64
1381,0.00,0.00,16,1100,-9.57,-1.08,0.64
