Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Tip-in Enrichment (Last Calculated)* (raw enrichment value),Tip-in Throttle* (%)
0,0.00,0.00,16,0,0.0
32,0.00,0.00,16,0,0.0
56,0.00,0.00,16,0,0.0
88,0.00,0.00,16,0,0.0
120,0.00,0.00,16,0,0.0
144,0.00,0.00,16,0,0.0
176,0.00,0.00,16,0,0.0
208,0.00,0.00,16,0,0.0
240,0.00,0.00,16,0,0.0
264,0.00,0.00,16,0,0.0
296,0.00,0.00,16,0,0.0
320,0.00,0.00,16,0,0.0
352,0.00,0.00,16,0,0.0
384,0.00,0.00,16,0,0.0
416,0.00,0.00,16,0,0.0
440,0.00,0.00,16,0,0.0
472,0.00,0.00,16,0,0.0
504,0.00,0.00,16,0,0.0
528,0.00,0.00,16,0,0.0
560,0.00,0.00,16,0,0.0
592,0.00,0.00,16,0,0.0
616,0.00,0.00,16,0,0.0
648,0.00,0.00,16,0,0.0
680,0.00,0.00,16,0,0.0
708,0.00,0.00,16,0,0.0
740,0.00,0.00,16,0,0.0
772,0.00,0.00,16,0,0.0
796,0.00,0.00,16,0,0.0
828,0.00,0.00,16,0,0.0
852,0.00,0.00,16,0,0.0
884,0.00,0.00,16,0,0.0
916,0.00,0.00,16,0,0.0
940,0.00,0.00,16,0,0.0
972,0.00,0.00,16,0,0.0
1004,0.00,0.00,16,0,0.0
1036,0.00,0.00,16,0,0.0
1060,0.00,0.00,16,0,0.0
1092,0.00,0.00,16,0,0.0
1124,0.00,0.00,16,0,0.0
1148,0.00,0.00,16,0,0.0
1180,0.00,0.00,16,0,0.0
1212,0.00,0.00,16,0,0.0
1236,0.00,0.00,16,0,0.0
1268,0.00,0.00,16,0,0.0
1304,0.00,0.00,16,0,0.0
1328,0.00,0.00,16,0,0.0
1360,0.00,0.00,16,0,0.0
1384,0.00,0.00,16,0,0.0
1417,0.00,0.00,16,0,0.0
1449,0.00,0.00,16,0,0.0
1473,0.00,0.00,16,0,0.0
1505,0.00,0.00,16,0,0.0
1539,0.00,0.00,16,0,0.0
1563,0.00,0.00,16,0,0.0
1595,0.00,0.00,16,0,0.0
1627,0.00,0.00,16,0,0.0
1651,0.00,0.00,16,0,0.0
1683,0.00,0.00,16,0,0.0
1715,0.00,0.00,16,0,0.0
1739,0.00,0.00,16,0,0.0
1771,0.00,0.00,16,0,0.0
1803,0.00,0.00,16,0,0.0
1835,0.00,0.00,16,0,0.0
1859,0.00,0.00,16,0,0.0
1891,0.00,0.00,16,0,0.0
1923,0.00,0.00,16,0,0.0
1947,0.00,0.00,16,0,0.0
1979,0.00,0.00,16,0,0.0
2011,0.00,0.00,16,0,0.0
2035,0.00,0.00,16,0,0.0
2067,0.00,0.00,16,0,0.0
2099,0.00,0.00,16,0,0.0
2123,0.00,0.00,16,0,0.0
2155,0.00,0.00,16,0,0.0
2187,0.00,0.00,16,0,0.0
2217,0.00,0.00,16,0,0.0
2245,0.00,0.00,16,0,0.0
2277,0.00,0.00,16,0,0.0
2305,0.00,0.00,16,0,0.0
2337,0.00,0.00,16,0,0.0
2361,0.00,0.00,16,0,0.0
2393,0.00,0.00,16,0,0.0
2425,0.00,0.00,16,0,0.0
2449,0.00,0.00,16,0,0.0
2481,0.00,0.00,16,0,0.0
2513,0.00,0.00,16,0,0.0
2537,0.00,0.00,16,0,0.0
2569,0.00,0.00,16,0,0.0
2601,0.00,0.00,16,0,0.0
2625,0.00,0.00,16,0,0.0
2657,0.00,0.00,16,0,0.0
2689,0.00,0.00,16,0,0.0
2721,0.00,0.00,16,0,0.0
2745,0.00,0.00,16,0,0.0
2777,0.00,0.00,16,0,0.0
2809,0.00,0.00,16,0,0.0
