Time (msec),A/F Sensor #1 (Direct)* (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Tank Pressure (psi),IAM* (raw ecu value),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Opening Angle (%)
0,13.93,192,0.32,2328,0.00,0.00,-0.063,16,12.90,-1.53,4.31
172,13.63,192,0.29,2331,0.00,0.00,-0.063,16,10.19,-1.53,4.31
359,14.37,192,0.29,2321,0.00,0.00,-0.063,16,11.55,-1.53,4.31
531,15.12,192,0.26,2329,0.00,0.00,-0.059,16,9.92,-1.53,4.31
703,15.81,192,0.30,2309,0.00,0.00,-0.059,16,12.69,-1.53,4.31
876,15.22,192,0.29,2307,0.00,0.00,-0.059,16,11.07,-1.51,4.31
1048,13.36,192,0.30,2323,0.00,0.00,-0.059,16,11.31,-1.51,4.31
1220,13.90,192,0.29,2296,0.00,0.00,-0.059,16,10.29,-1.51,4.31
1392,14.53,192,0.29,2298,0.00,0.00,-0.063,16,11.17,-1.51,4.31
1564,14.85,192,0.30,2294,0.00,0.00,-0.063,16,11.69,-1.51,4.31
1736,15.14,192,0.29,2287,0.00,0.00,-0.063,16,10.59,-1.51,4.31
1911,14.59,192,0.31,2297,0.00,0.00,-0.059,16,12.19,-1.51,4.71
2086,14.16,192,0.31,2290,0.00,0.00,-0.059,16,10.65,-1.49,4.71
2258,14.25,192,0.30,2289,0.00,0.00,-0.063,16,11.74,-1.51,4.71
2429,14.98,192,0.32,2289,0.00,0.00,-0.059,16,12.35,-1.49,5.10
2601,14.84,192,0.31,2278,0.00,0.00,-0.059,16,9.70,-1.49,5.10
2773,14.45,192,0.32,2281,0.00,0.00,-0.059,16,12.59,-1.51,5.10
2960,15.12,192,0.33,2273,0.00,0.00,-0.059,16,12.84,-1.49,5.10
3132,14.75,192,0.34,2284,0.00,0.00,-0.059,16,12.46,-1.49,5.10
3304,13.48,192,0.34,2278,0.00,0.00,-0.059,16,12.81,-1.49,5.10
3492,14.14,192,0.31,2266,0.00,0.00,-0.059,16,11.85,-1.49,5.10
3664,15.70,192,0.32,2266,0.00,0.00,-0.059,16,12.32,-1.49,5.10
3836,15.27,192,0.34,2264,0.00,0.00,-0.059,16,14.08,-1.49,5.10
4007,13.85,192,0.33,2264,0.00,0.00,-0.059,16,12.10,-1.49,5.10
4195,13.93,192,0.34,2266,0.00,0.00,-0.059,16,11.40,-1.49,5.10
4367,14.29,192,0.33,2265,0.00,0.00,-0.059,16,13.47,-1.49,5.10
4539,14.84,192,0.33,2274,0.00,0.00,-0.059,16,12.00,-1.49,5.10
4710,15.23,192,0.35,2247,0.00,0.00,-0.059,16,12.25,-1.49,5.10
4882,14.02,192,0.36,2252,0.00,0.00,-0.056,16,13.89,-1.49,5.49
5054,14.18,192,0.37,2260,0.00,0.00,-0.059,16,14.73,-1.49,5.49
5226,14.34,192,0.38,2247,0.00,0.00,-0.059,16,13.13,-1.49,5.49
5398,14.05,192,0.37,2260,0.00,0.00,-0.059,16,14.37,-1.49,5.49
5585,14.62,192,0.36,2236,0.00,0.00,-0.059,16,14.36,-1.47,5.88
5757,15.49,192,0.39,2254,0.00,0.00,-0.059,16,15.63,-1.47,5.88
5929,14.71,192,0.41,2260,0.00,0.00,-0.059,16,15.99,-1.49,5.88
6101,13.22,192,0.42,2238,0.00,0.00,-0.059,16,15.47,-1.49,5.88
6273,14.14,192,0.38,2238,0.00,0.00,-0.059,16,14.86,-1.47,5.88
6445,15.11,192,0.40,2236,0.00,0.00,-0.059,16,15.59,-1.47,6.27
6617,15.60,192,0.40,2252,0.00,0.00,-0.059,16,15.60,-1.49,6.27
6788,14.73,192,0.41,2237,0.00,0.00,-0.059,16,14.81,-1.47,6.27
6960,14.24,192,0.43,2255,0.00,0.00,-0.059,16,16.55,-1.49,6.67
7148,14.09,192,0.46,2243,0.00,0.00,-0.063,16,17.67,-1.47,7.06
7320,14.04,192,0.48,2255,0.00,0.00,-0.063,16,18.26,-1.47,7.06
7492,14.26,192,0.49,2252,0.00,0.00,-0.059,16,19.02,-1.47,7.45
7663,14.41,192,0.52,2260,0.00,-0.70,-0.059,16,19.88,-1.47,8.24
7835,14.53,192,0.57,2232,0.00,-0.70,-0.063,16,21.78,-1.49,9.41
8007,14.51,192,0.63,2249,0.00,-0.70,-0.063,16,24.98,-1.47,10.98
8179,14.72,192,0.66,2268,0.00,-0.70,-0.059,16,26.12,-1.47,10.98
8351,14.76,192,0.69,2269,0.00,-0.70,-0.063,16,25.62,-1.49,10.98
8523,14.64,192,0.71,2279,0.00,0.00,-0.059,16,26.91,-1.49,10.98
8695,14.50,192,0.71,2267,0.00,0.00,-0.063,16,26.29,-1.49,10.98
8866,14.45,192,0.72,2274,0.00,0.00,-0.063,16,27.54,-1.49,10.98
9054,14.60,192,0.71,2292,0.00,0.00,-0.063,16,26.79,-1.51,10.98
9226,14.68,192,0.71,2278,0.00,0.00,-0.059,16,26.61,-1.51,10.98
9398,14.84,192,0.71,2288,0.00,0.00,-0.059,16,27.54,-1.51,10.98
9570,14.68,192,0.72,2304,0.00,0.00,-0.059,16,28.07,-1.51,10.98
