Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Coolant Temperature (F),Primary Wastegate Duty Cycle (%)
0,14.24,0.14,1262,0.00,0.00,16,6.72,8.50,6.05,-1.39,0.64,176,0.00
203,14.63,0.14,1296,0.00,0.00,16,6.72,4.50,5.91,-1.39,0.64,176,0.00
390,13.99,0.14,1283,0.00,0.00,16,6.72,6.50,5.87,-1.39,0.64,176,0.00
582,14.05,0.14,1270,0.00,0.00,16,6.72,7.00,5.94,-1.39,0.64,176,0.00
770,14.15,0.12,1275,0.00,0.00,16,6.72,7.00,5.27,-1.39,0.64,178,0.00
957,14.09,0.13,1245,0.00,0.00,16,7.07,9.50,5.43,-1.39,0.64,176,0.00
1160,14.63,0.13,1260,0.00,0.00,16,7.07,7.00,5.33,-1.39,0.64,178,0.00
1348,14.92,0.14,1260,0.00,0.00,16,7.07,8.00,5.55,-1.39,0.64,178,0.00
1540,14.74,0.13,1268,0.00,0.00,16,7.07,6.00,5.36,-1.39,0.64,178,0.00
1727,14.87,0.13,1264,0.00,0.00,16,7.07,6.50,5.72,-1.39,0.64,178,0.00
1915,14.74,0.13,1262,0.00,0.00,16,7.07,7.00,5.59,-1.39,0.64,178,0.00
2107,14.62,0.14,1252,0.00,0.00,16,7.07,7.50,5.65,-1.39,0.64,178,0.00
2298,14.44,0.13,1248,0.00,0.00,16,7.07,8.00,5.65,-1.39,0.64,178,0.00
2485,14.39,0.13,1248,0.00,0.00,16,7.07,7.50,5.49,-1.39,0.64,178,0.00
2688,14.30,0.14,1235,0.00,0.00,16,7.07,8.50,5.72,-1.39,0.64,178,0.00
2876,14.43,0.12,1240,0.00,0.00,16,7.07,8.00,5.27,-1.39,0.64,178,0.00
3063,14.63,0.13,1207,0.00,0.00,16,7.07,8.50,5.23,-1.08,0.64,178,0.00
3251,14.65,0.14,1206,0.00,0.00,16,7.07,8.50,5.52,-1.39,0.64,178,0.00
3443,14.37,0.14,1228,0.00,0.00,16,7.07,7.00,5.65,-1.39,0.64,178,0.00
3630,14.61,0.14,1222,0.00,0.00,16,7.07,7.00,5.72,-1.39,0.64,178,0.00
3833,14.64,0.14,1227,0.00,0.00,16,7.07,7.00,5.72,-1.39,0.64,178,0.00
4021,14.39,0.14,1227,0.00,0.00,16,7.07,7.00,5.59,-1.39,0.64,178,0.00
4208,14.33,0.14,1219,0.00,0.00,16,7.07,8.00,5.59,-1.39,0.64,178,0.00
4411,14.49,0.14,1202,0.00,0.00,16,7.07,9.50,5.52,-1.39,0.64,178,0.00
4599,14.67,0.14,1205,0.00,0.00,16,7.07,8.50,5.62,-1.39,0.64,178,0.00
4786,14.69,0.14,1222,0.00,0.00,16,7.07,6.50,5.65,-1.39,0.64,178,0.00
4974,14.59,0.14,1210,0.00,0.00,16,7.07,8.00,5.72,-1.39,0.64,178,0.00
5177,14.62,0.14,1211,0.00,0.00,16,7.07,7.50,5.72,-1.39,0.64,178,0.00
5365,14.51,0.14,1230,0.00,0.00,16,7.07,6.00,5.72,-1.39,0.64,178,0.00
5552,14.56,0.14,1231,0.00,0.00,16,7.07,7.50,5.72,-1.39,0.64,178,0.00
5744,14.65,0.14,1217,0.00,0.00,16,7.07,7.00,5.72,-1.39,0.64,178,0.00
5941,14.62,0.14,1226,0.00,0.00,16,7.07,7.00,5.72,-1.39,0.64,178,0.00
6128,14.72,0.14,1233,0.00,0.00,16,7.07,7.00,5.74,-1.39,0.64,178,0.00
6316,14.69,0.14,1220,0.00,0.00,16,7.07,7.00,5.78,-1.39,0.64,178,0.00
6503,14.67,0.14,1236,0.00,0.00,16,7.07,5.00,5.74,-1.39,0.64,178,0.00
6706,14.74,0.14,1232,0.00,0.00,16,7.07,6.00,5.74,-1.39,0.64,178,0.00
6894,14.69,0.14,1241,0.00,0.00,16,7.07,4.50,5.72,-1.39,0.64,178,0.00
7082,14.74,0.14,1224,0.00,0.00,16,7.07,7.00,5.78,-1.39,0.64,178,0.00
7269,14.79,0.14,1232,0.00,0.00,16,7.07,6.00,5.85,-1.39,0.64,178,0.00
7472,14.70,0.14,1241,0.00,0.00,16,7.07,4.50,5.81,-1.39,0.64,180,0.00
7660,14.67,0.14,1248,0.00,0.00,16,7.07,5.00,5.81,-1.39,0.64,180,0.00
7847,14.77,0.14,1240,0.00,0.00,16,7.07,6.00,5.85,-1.39,0.64,180,0.00
8035,14.79,0.14,1244,0.00,0.00,16,7.07,6.00,5.81,-1.39,0.64,180,0.00
8238,14.75,0.14,1254,0.00,0.00,16,7.07,6.50,5.78,-1.39,0.66,180,0.00
8425,14.74,0.17,1255,0.00,0.00,16,7.07,7.00,7.10,-1.39,0.70,180,0.00
8613,14.13,0.19,1311,0.00,0.00,16,10.94,10.50,7.94,-1.39,0.72,180,0.00
8800,13.43,0.20,1375,0.00,0.00,16,16.56,14.00,8.95,-1.39,0.76,180,0.00
9003,13.63,0.24,1399,0.00,0.00,16,27.46,23.00,10.68,-1.39,0.80,180,0.00
9191,13.31,0.26,1544,0.00,0.00,16,29.57,29.00,13.19,-1.39,0.82,180,0.00
9378,13.91,0.25,1729,0.00,0.00,16,33.44,32.50,14.59,-1.39,0.84,180,0.00
9566,14.32,0.26,1810,0.00,0.00,16,35.20,34.50,15.46,-1.39,0.86,180,0.00
9753,14.16,0.27,1796,0.00,0.00,16,34.49,34.00,16.05,-1.39,0.86,180,0.00
9956,13.96,0.29,1749,0.00,0.00,16,33.44,33.00,16.43,-1.39,0.86,180,0.00
10144,13.84,0.30,1678,0.00,0.00,16,33.09,33.00,16.65,-1.39,0.88,180,0.00
10331,13.53,0.32,1582,0.00,0.00,16,32.73,32.50,16.65,-1.39,0.88,180,0.00
10519,13.50,0.33,1540,0.00,0.00,16,32.73,32.50,16.88,-1.39,0.88,180,0.00
10706,13.55,0.33,1524,0.00,0.00,16,32.73,32.50,16.89,-1.39,0.88,180,0.00
10909,13.87,0.33,1551,0.00,0.00,16,33.44,33.00,17.26,-1.39,0.88,180,0.00
11097,14.01,0.33,1622,0.00,0.00,16,34.49,33.50,17.79,-1.39,0.90,180,0.00
11284,14.15,0.32,1672,0.00,0.00,16,34.84,34.50,18.02,-1.39,0.90,180,0.00
11472,14.39,0.33,1714,0.00,0.00,16,35.55,35.00,18.72,-1.39,0.90,180,0.00
11675,14.25,0.34,1694,0.00,0.00,16,35.55,35.50,18.96,-1.39,0.90,180,0.00
11862,13.99,0.35,1641,0.00,0.00,16,35.55,35.50,18.88,-1.39,0.92,180,0.00
12050,13.95,0.37,1504,0.00,0.00,16,30.27,31.00,18.72,-1.39,0.92,180,0.00
12242,13.19,0.38,1390,0.00,0.00,16,28.87,27.00,17.55,-1.39,0.92,180,0.00
12429,13.42,0.37,1432,0.00,0.00,16,31.33,30.00,17.71,-1.39,0.92,180,0.00
12617,14.48,0.36,1494,0.00,0.00,16,32.38,32.50,18.18,-1.39,0.92,180,0.00
12820,14.46,0.36,1564,0.00,0.00,16,34.49,34.00,18.65,-1.39,0.92,180,0.00
13008,14.23,0.35,1615,0.00,0.00,16,35.90,35.50,18.72,-1.39,0.92,180,0.00
13195,14.23,0.33,1695,0.00,0.00,16,35.90,35.50,19.20,-1.39,0.92,180,0.00
13383,14.42,0.33,1757,0.00,0.00,16,36.25,36.00,19.35,-1.39,0.92,180,0.00
13570,14.17,0.32,1815,0.00,0.00,16,36.95,36.50,19.42,-1.39,0.92,181,0.00
13773,13.95,0.31,1891,0.00,0.00,16,38.01,38.00,19.89,-1.39,0.92,181,0.00
13965,13.84,0.29,1946,0.00,0.00,16,38.71,38.50,19.11,-1.39,0.88,181,0.00
14153,14.01,0.26,1984,0.00,0.00,16,39.41,39.00,16.74,-1.39,0.86,181,0.00
14340,13.45,0.24,2030,0.00,0.00,16,39.06,39.00,15.41,-1.70,0.84,181,0.00
14528,13.03,0.21,2034,0.00,0.00,16,38.71,38.50,13.45,-1.70,0.82,181,0.00
14731,13.18,0.18,2070,0.00,0.00,16,38.01,38.00,13.14,-1.70,0.82,181,0.00
14918,13.41,0.18,2104,0.00,0.00,16,37.66,37.50,12.69,-2.01,0.80,181,0.00
15106,13.35,0.17,2109,0.00,0.00,16,37.30,37.00,12.15,-2.01,0.80,181,0.00
15293,13.70,0.17,2132,0.00,0.00,16,37.30,37.00,11.77,-2.01,0.80,181,0.00
15496,13.75,0.16,2154,0.00,0.00,16,36.95,37.00,11.40,-2.01,0.78,181,0.00
15684,13.68,0.15,2163,0.00,0.00,16,36.60,36.50,10.99,-2.01,0.76,181,0.00
15871,13.38,0.14,2148,0.00,0.00,16,35.55,35.00,9.48,-2.01,0.76,181,0.00
16059,13.70,0.14,2169,0.00,0.00,16,35.55,35.50,9.97,-2.01,0.74,181,0.00
