Time (msec),A/F Sensor #1 (Direct)* (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
188,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
348,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
524,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
712,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
884,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
1056,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
1227,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
1399,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
1571,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
1762,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
1934,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
2106,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
2278,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
2450,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
2637,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
2809,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
2981,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
3168,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
3325,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
3512,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
3684,14.70,0.22,0,0.00,0.00,16,-20.00,9.50,3.62,-1.18,0.68
3856,14.80,0.22,114,0.00,0.00,16,13.05,9.50,1.44,-1.18,0.68
4028,14.80,0.22,159,0.00,0.00,16,13.75,9.50,1.98,-1.18,0.68
4199,14.80,0.21,1328,0.00,0.00,16,15.86,18.00,3.92,-1.18,0.62
4376,14.79,0.18,1723,0.00,0.00,16,13.75,17.00,9.93,-1.49,0.62
4548,14.79,0.17,1934,0.00,0.00,16,9.53,13.00,10.28,-1.49,0.64
4720,14.79,0.16,1863,0.00,0.00,16,8.48,10.50,10.38,-1.49,0.64
4892,14.77,0.17,1808,0.00,0.00,16,8.83,10.50,10.43,-1.49,0.64
5079,14.79,0.18,1742,0.00,0.00,16,9.18,11.50,10.28,-1.49,0.64
5251,14.79,0.18,1698,0.00,0.00,16,8.83,11.50,10.43,-1.49,0.62
5423,14.79,0.18,1699,0.00,0.00,16,9.18,11.50,10.28,-1.49,0.64
5595,14.79,0.18,1647,0.00,0.00,16,9.18,12.00,10.03,-1.49,0.64
5767,14.79,0.18,1621,0.00,0.00,16,9.53,11.50,10.03,-1.49,0.64
5938,14.79,0.19,1588,0.00,0.00,16,9.88,15.50,9.97,-1.49,0.62
6110,14.79,0.18,1599,0.00,0.00,16,9.88,13.50,9.93,-1.49,0.64
6298,14.79,0.18,1614,0.00,0.00,16,9.53,12.00,9.79,-1.49,0.64
6469,14.79,0.18,1590,0.00,0.00,16,9.53,14.00,9.66,-1.49,0.64
6641,14.79,0.18,1587,0.00,0.00,16,9.53,14.00,9.79,-1.49,0.64
6818,14.77,0.18,1592,0.00,0.00,16,9.53,13.00,9.75,-1.49,0.62
7005,14.79,0.18,1586,0.00,0.00,16,9.53,13.00,9.79,-1.49,0.62
7209,14.79,0.19,1584,0.00,0.00,16,9.53,13.00,9.88,-1.49,0.62
7380,14.79,0.19,1591,0.00,0.00,16,9.53,11.50,9.97,-1.49,0.64
7552,14.79,0.19,1584,0.00,0.00,16,9.53,13.00,9.97,-1.49,0.64
7729,14.79,0.19,1578,0.00,0.00,16,9.53,13.00,10.13,-1.49,0.64
7901,14.79,0.19,1585,0.00,0.00,16,9.53,12.00,10.17,-1.49,0.64
8073,14.77,0.19,1592,0.00,0.00,16,9.53,11.50,10.13,-1.49,0.62
8244,14.79,0.19,1588,0.00,0.00,16,9.53,12.00,10.28,-1.49,0.62
