Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V),Throttle Opening Angle (%)
0,14.81,0.12,804,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
183,14.70,0.12,804,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
362,14.70,0.12,806,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
547,14.70,0.12,797,0.00,0.00,16,14.10,15.00,4.79,3.13,-1.08,0.64,0.00
728,14.70,0.12,798,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
908,14.59,0.12,815,0.00,0.00,16,14.10,12.50,4.79,3.13,-1.08,0.64,0.00
1086,14.59,0.12,798,0.00,0.00,16,14.10,14.00,4.79,3.14,-1.08,0.64,0.00
1273,14.70,0.12,797,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
1445,14.70,0.12,807,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
1633,14.59,0.12,798,0.00,0.00,16,14.10,14.00,4.79,3.14,-1.08,0.64,0.00
1820,14.70,0.12,799,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
2007,14.70,0.12,812,0.00,0.00,16,14.10,12.50,4.79,3.13,-1.08,0.64,0.00
2188,14.70,0.12,799,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
2370,14.59,0.12,811,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
2553,14.70,0.12,802,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
2733,14.59,0.12,800,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
2922,14.70,0.12,803,0.00,0.00,16,14.10,13.50,4.79,3.14,-1.08,0.64,0.00
3100,14.70,0.12,800,0.00,0.00,16,14.10,15.00,4.79,3.14,-1.08,0.64,0.00
3285,14.70,0.12,803,0.00,0.00,16,14.10,13.00,4.79,3.13,-1.08,0.64,0.00
3468,14.70,0.12,806,0.00,0.00,16,14.10,13.00,4.79,3.14,-1.08,0.64,0.00
3652,14.59,0.12,792,0.00,0.00,16,14.10,14.50,4.79,3.17,-1.08,0.64,0.00
3835,14.70,0.12,801,0.00,0.00,16,14.10,14.00,4.79,3.13,-1.08,0.64,0.00
4016,14.70,0.12,813,0.00,0.00,16,14.10,13.50,4.79,3.13,-1.08,0.64,0.00
4199,14.70,0.12,799,0.00,0.00,16,14.10,14.00,4.79,3.14,-1.08,0.64,0.00
