Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.59,0.13,799,0.00,0.00,16,14.10,15.00,5.22,3.47,-1.08,0.64
172,14.59,0.12,817,0.00,0.00,16,14.10,13.00,5.22,3.31,-1.08,0.64
344,14.70,0.13,801,0.00,0.00,16,14.10,14.50,5.22,3.58,-1.08,0.64
515,14.70,0.13,804,0.00,0.00,16,14.10,13.00,5.22,3.45,-1.08,0.64
687,14.81,0.13,818,0.00,0.00,16,14.10,13.00,5.22,3.47,-1.08,0.64
859,14.70,0.12,820,0.00,0.00,16,14.10,13.00,5.22,3.21,-1.08,0.64
1031,14.59,0.12,810,0.00,0.00,16,14.10,15.50,5.22,3.42,-1.08,0.64
1218,14.59,0.13,795,0.00,0.00,16,14.10,15.50,5.22,3.47,-1.08,0.64
1390,14.36,0.13,819,0.00,0.00,16,14.10,12.50,5.22,3.49,-1.08,0.64
1562,14.47,0.13,815,0.00,0.00,16,14.10,14.00,5.22,3.42,-1.08,0.64
1734,14.47,0.13,810,0.00,0.00,16,14.10,14.00,5.22,3.40,-1.08,0.64
1906,14.59,0.13,810,0.00,0.00,16,14.10,14.00,5.22,3.40,-1.08,0.64
2078,14.47,0.13,807,0.00,0.00,16,14.10,15.00,5.22,3.47,-1.08,0.64
2250,14.59,0.13,800,0.00,0.00,16,14.10,14.00,5.22,3.47,-1.08,0.64
2422,14.59,0.13,815,0.00,0.00,16,14.10,13.00,5.22,3.45,-1.08,0.64
2609,14.59,0.13,808,0.00,0.00,16,14.10,14.00,5.22,3.33,-1.08,0.64
2781,14.47,0.12,804,0.00,0.00,16,14.10,14.00,5.22,3.31,-1.08,0.64
2953,14.36,0.12,801,0.00,0.00,16,14.10,14.00,5.22,3.25,-1.08,0.64
3125,14.36,0.13,792,0.00,0.00,16,14.10,15.00,5.22,3.36,-1.08,0.64
3301,14.59,0.13,782,0.00,0.00,16,14.10,15.50,5.22,3.28,-1.08,0.64
3473,14.81,0.12,795,0.00,0.00,16,14.10,14.00,5.22,3.31,-1.08,0.64
3645,14.81,0.12,797,0.00,0.00,16,14.10,15.50,5.22,3.25,-1.08,0.64
3817,14.81,0.13,780,0.00,0.00,16,14.10,15.50,5.22,3.42,-1.08,0.64
4004,14.93,0.13,809,0.00,0.00,16,14.10,12.00,5.22,3.33,-1.08,0.64
4176,14.93,0.13,797,0.00,0.00,16,14.10,13.50,5.22,3.42,-1.08,0.64
4348,14.93,0.15,799,0.00,0.00,16,14.10,13.50,5.37,4.02,-1.08,0.70
4520,14.81,0.19,826,0.00,0.00,16,15.51,15.00,6.24,5.49,-1.08,0.72
4692,14.81,0.18,986,0.00,0.00,16,16.91,16.00,6.67,6.11,-1.08,0.74
4864,13.44,0.16,1206,0.00,0.00,16,19.38,18.50,6.53,6.48,-1.08,0.74
5035,13.78,0.16,1255,0.00,0.00,16,22.19,21.50,6.09,6.29,-1.39,0.74
5223,14.59,0.15,1296,0.00,0.00,16,22.89,22.50,5.80,6.51,-1.39,0.74
5395,15.39,0.16,1300,0.00,0.00,16,22.89,22.50,5.66,6.62,-1.39,0.74
5567,15.73,0.16,1283,0.00,0.00,16,22.54,22.50,5.66,6.70,-1.39,0.74
5739,15.27,0.18,1229,0.00,0.00,16,21.84,21.50,5.95,7.14,-1.39,0.76
5911,14.47,0.19,1186,0.00,0.00,16,21.48,21.00,6.53,7.57,-1.08,0.78
6083,13.78,0.23,1175,0.00,0.00,16,25.70,24.00,7.40,9.53,-1.08,0.80
6255,13.78,0.23,1282,0.00,0.00,16,26.05,25.00,7.69,9.79,-1.39,0.82
6427,14.24,0.22,1424,0.00,0.00,16,26.76,26.00,7.55,10.08,-1.39,0.82
6599,14.70,0.19,1486,0.00,0.00,16,26.05,26.00,5.95,5.36,-1.39,0.64
6786,15.27,0.11,1573,0.00,0.00,16,17.62,20.00,4.93,3.91,-1.39,0.64
6958,14.24,0.09,1484,0.00,0.00,16,14.10,14.00,4.06,3.83,-1.39,0.64
7130,13.67,0.09,1330,0.00,0.00,16,14.10,22.00,3.77,4.10,-1.39,0.64
7302,13.21,0.11,1184,0.00,0.00,16,14.10,22.00,3.77,4.48,-1.08,0.64
7473,13.21,0.11,1116,0.00,0.00,16,14.10,22.00,3.92,4.21,-1.08,0.64
7650,13.55,0.12,1064,0.00,0.00,16,14.10,22.00,4.06,4.32,-1.08,0.64
7822,13.78,0.12,1025,0.00,0.00,16,14.10,22.00,4.06,4.26,-1.08,0.64
7994,13.32,0.13,989,0.00,0.00,16,14.10,22.00,4.21,4.15,-1.08,0.64
8166,12.98,0.12,967,0.00,0.00,16,14.10,22.00,4.35,3.96,-1.08,0.64
8341,12.52,0.12,912,0.00,0.00,16,14.10,22.00,4.50,3.65,-1.08,0.64
8513,12.40,0.12,890,0.00,0.00,16,14.10,22.00,4.50,3.52,-1.08,0.64
8685,12.40,0.12,854,0.00,0.00,16,14.10,22.00,4.64,3.45,-1.08,0.64
8860,12.40,0.13,798,0.00,0.00,16,14.10,22.00,4.79,3.47,-1.08,0.64
9032,12.75,0.13,776,0.00,0.00,16,14.10,22.00,5.08,3.56,-1.08,0.66
9207,12.86,0.14,765,0.00,0.00,16,14.10,22.00,5.22,3.60,-1.08,0.64
9379,13.78,0.16,756,0.00,0.00,16,14.10,22.00,5.37,4.13,-1.08,0.70
16434,23.77,0.17,1262,0.00,0.00,16,14.10,14.00,4.35,6.77,-1.39,0.74
19279,12.52,0.67,2822,0.00,0.00,16,19.02,20.00,17.56,63.15,11.29,1.58
19451,12.06,0.67,2917,0.00,0.00,16,19.38,19.00,17.99,65.27,10.98,1.50
19638,12.06,0.66,3029,0.00,0.00,16,20.43,20.00,18.14,67.58,9.44,1.46
19810,11.94,0.65,3135,0.00,0.00,16,21.48,20.50,18.28,68.86,8.51,1.40
19982,11.83,0.64,3191,0.00,0.00,16,23.95,22.00,17.99,67.41,8.20,1.30
20154,12.06,0.60,3310,0.00,0.00,16,26.05,24.00,17.56,67.77,3.87,1.22
20329,12.06,0.53,3431,0.00,0.00,16,32.73,31.00,16.11,60.14,2.63,1.18
20501,12.52,0.46,3483,0.00,0.00,16,36.25,36.00,14.36,53.22,1.70,1.14
20673,12.86,0.41,3600,0.00,0.00,16,39.41,39.00,13.35,48.74,-0.15,1.10
20845,13.67,0.36,3653,0.00,0.00,16,41.52,41.50,11.90,43.72,-0.15,1.08
21016,14.36,0.33,3684,0.00,0.00,16,42.58,42.50,11.03,41.23,-0.77,1.06
21188,14.70,0.33,3742,0.00,0.00,16,42.93,42.50,10.59,40.68,-1.39,1.06
21376,14.47,0.31,3763,0.00,0.00,16,43.28,43.00,9.87,38.88,-1.39,1.04
21548,14.13,0.29,3805,0.00,0.00,16,43.98,43.50,9.00,34.70,-2.01,1.00
21720,13.78,0.24,3816,0.00,0.00,16,44.34,44.00,8.13,30.60,-3.87,0.98
21896,14.13,0.21,3860,0.00,0.00,16,44.34,44.00,7.25,26.83,-4.18,0.92
22068,13.09,0.17,3850,0.00,0.00,16,26.05,26.00,5.95,21.71,-4.18,0.88
22240,13.55,0.16,3852,0.00,0.00,16,19.02,19.00,5.66,20.15,-4.18,0.86
22427,12.98,0.15,3780,0.00,0.00,16,14.10,14.50,5.08,18.49,-4.18,0.82
22599,12.40,0.14,3799,0.00,0.00,16,9.18,9.00,4.64,18.18,-4.18,0.80
22771,12.06,0.14,3790,0.00,0.00,16,8.12,9.00,4.50,17.86,-4.18,0.78
22946,11.48,0.14,3744,0.00,0.00,16,7.07,8.00,4.35,17.55,-4.18,0.78
