Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Target Boost* (psi relative sea level),Throttle Sensor Voltage (V)
0,14.36,0.18,1284,0.00,0.00,16,10.94,11.50,5.80,-8.88,7.66,-1.49,0.64
189,14.36,0.18,1280,0.00,0.00,16,10.94,11.50,5.80,-8.88,7.70,-1.49,0.64
380,14.36,0.18,1277,0.00,0.00,16,10.94,12.00,5.80,-8.88,7.70,-1.49,0.64
3165,14.24,0.19,1272,0.00,0.00,16,10.94,12.50,5.95,-8.78,7.86,-1.49,0.64
3363,14.47,0.19,1269,0.00,0.00,16,10.94,11.50,5.95,-8.78,7.86,-1.49,0.64
3547,14.47,0.18,1288,0.00,0.00,16,10.94,10.50,5.95,-8.72,7.62,-1.49,0.64
3735,14.47,0.19,1269,0.00,0.00,16,10.94,13.00,5.95,-8.72,7.86,-1.49,0.64
3927,14.70,0.18,1278,0.00,0.00,16,10.94,11.00,5.95,-8.70,7.86,-1.49,0.64
4116,14.59,0.19,1286,0.00,0.00,16,10.94,10.50,5.95,-8.72,7.82,-1.49,0.64
4305,14.36,0.18,1284,0.00,0.00,16,10.94,11.00,5.95,-8.78,7.82,-1.49,0.64
4495,14.36,0.18,1280,0.00,0.00,16,10.94,12.00,5.95,-8.78,7.70,-1.49,0.64
4685,14.59,0.18,1298,0.00,0.00,16,10.94,10.50,5.95,-8.80,7.70,-1.49,0.64
4875,14.59,0.18,1302,0.00,0.00,16,10.94,10.50,5.95,-8.82,7.82,-1.49,0.64
5066,14.59,0.18,1294,0.00,0.00,16,10.94,11.50,5.80,-8.88,7.74,-1.49,0.64
5255,14.59,0.18,1296,0.00,0.00,16,10.94,11.50,5.80,-8.88,7.74,-1.49,0.64
5445,14.36,0.18,1274,0.00,0.00,16,10.94,13.00,5.80,-8.89,7.70,-1.49,0.64
5634,14.24,0.18,1270,0.00,0.00,16,10.94,14.00,5.80,-8.84,7.78,-1.49,0.64
5824,14.13,0.19,1258,0.00,0.00,16,10.94,14.50,5.95,-8.80,7.78,-1.49,0.64
6013,14.13,0.19,1261,0.00,0.00,16,10.59,13.50,5.95,-8.74,7.82,-1.49,0.64
6203,14.24,0.20,1256,0.00,0.00,16,10.94,13.00,6.09,-8.60,8.19,-1.49,0.66
6393,14.24,0.21,1253,0.00,0.00,16,10.59,13.00,6.24,-8.39,8.39,-1.49,0.66
6582,14.36,0.22,1228,0.00,0.00,16,10.59,14.50,6.53,-8.20,8.82,-1.49,0.68
6772,14.36,0.23,1216,0.00,0.00,16,10.59,15.00,6.82,-7.85,9.13,-1.49,0.68
6961,14.36,0.21,1148,0.00,0.00,16,12.70,12.00,6.67,-7.99,7.37,-1.18,0.72
7152,14.13,0.25,1077,0.00,0.00,16,19.02,17.50,7.11,-7.56,8.91,-1.18,0.74
7363,13.78,0.24,1208,0.00,0.00,16,26.05,24.50,7.69,-7.02,9.84,-1.49,0.76
7552,13.21,0.21,1360,0.00,0.00,16,22.19,18.50,6.53,-8.39,7.04,-1.49,0.64
7742,14.59,0.14,1440,0.00,0.00,16,13.40,8.50,5.22,-9.65,4.95,-1.49,0.64
7933,14.13,0.13,1258,0.00,0.00,16,10.59,7.00,4.79,-9.84,5.55,-1.49,0.64
8121,13.67,0.14,1210,0.00,0.00,16,10.59,18.50,4.93,-9.75,5.65,-1.49,0.64
10923,13.78,0.31,1514,0.00,0.00,16,31.33,31.50,9.14,-5.55,15.55,-1.49,0.88
11113,13.78,0.34,1424,0.00,0.00,16,29.92,30.50,9.43,-5.12,15.92,-1.49,0.88
11303,13.90,0.35,1314,0.00,0.00,16,29.22,28.00,10.01,-4.66,15.55,-1.49,0.88
11493,13.67,0.32,1494,0.00,0.00,16,31.33,31.00,9.87,-4.87,15.48,-1.49,0.88
11683,14.70,0.30,1574,0.00,0.00,16,32.03,32.00,9.58,-5.18,15.78,-1.49,0.88
11872,14.93,0.29,1636,0.00,0.00,16,32.03,32.00,9.00,-5.65,15.85,-1.49,0.88
12063,14.70,0.28,1770,0.00,0.00,16,34.49,34.00,8.56,-6.13,16.36,-1.49,0.88
12252,14.59,0.27,1832,0.00,0.00,16,35.55,34.50,8.27,-6.46,16.29,-1.49,0.88
12446,14.13,0.26,1890,0.00,0.00,16,36.95,36.50,7.98,-6.63,16.29,-1.49,0.88
12637,14.47,0.25,1928,0.00,0.00,16,38.71,37.50,7.84,-6.81,16.14,-1.49,0.88
12827,14.47,0.24,2018,0.00,0.00,16,39.41,39.00,7.69,-7.02,16.14,-1.49,0.88
13017,14.36,0.23,2064,0.00,0.00,16,39.41,39.00,7.55,-7.23,15.63,-1.80,0.88
13208,14.36,0.22,2118,0.00,0.00,16,40.12,39.50,7.25,-7.54,15.85,-2.11,0.86
13398,13.78,0.20,2156,0.00,0.00,16,39.41,39.50,6.67,-8.06,14.66,-2.11,0.84
13589,13.32,0.17,2187,0.00,0.00,16,38.36,38.50,6.24,-8.45,13.84,-2.42,0.84
13778,14.24,0.19,2202,0.00,0.00,16,39.06,39.00,5.95,-8.68,13.90,-2.42,0.84
13967,14.01,0.17,2235,0.00,0.00,16,38.71,38.50,5.80,-8.86,12.64,-2.42,0.84
14156,14.47,0.18,2197,0.00,0.00,16,38.71,38.50,5.80,-8.91,13.13,-2.42,0.84
14347,14.59,0.17,2240,0.00,0.00,16,38.36,39.00,5.66,-8.99,12.85,-2.42,0.84
14538,14.24,0.18,2186,0.00,0.00,16,38.71,38.50,5.66,-8.97,13.08,-2.42,0.82
14727,14.24,0.17,2268,0.00,0.00,16,38.36,39.00,5.66,-9.09,12.96,-2.73,0.82
14917,14.47,0.18,2222,0.00,0.00,16,38.71,38.50,5.66,-9.07,13.26,-2.42,0.82
15107,14.47,0.17,2281,0.00,0.00,16,39.41,39.00,5.51,-9.17,13.14,-2.73,0.82
15296,14.59,0.15,2244,0.00,0.00,16,36.60,37.00,4.93,-9.84,9.44,-2.42,0.76
15486,13.32,0.13,2233,0.00,0.00,16,35.55,35.50,4.50,-10.15,9.61,-2.42,0.76
15676,13.32,0.13,2188,0.00,0.00,16,35.20,35.00,4.50,-10.15,9.26,-2.42,0.76
15866,14.47,0.13,2193,0.00,0.00,16,35.20,35.00,4.35,-10.31,9.18,-2.42,0.76
18678,22.51,0.12,1417,0.00,0.00,16,11.29,21.00,4.21,-10.52,5.65,-1.49,0.66
18867,22.39,0.12,1374,0.00,0.00,16,11.29,1.00,4.35,-10.33,5.49,-1.49,0.66
19062,22.51,0.13,1320,0.00,0.00,16,10.94,7.00,4.35,-10.35,5.59,-1.49,0.66
19247,22.28,0.13,1324,0.00,0.00,16,10.94,20.00,4.35,-10.33,5.55,-1.49,0.66
19437,21.36,0.14,1218,0.00,0.00,16,10.59,20.00,4.50,-10.17,5.65,-1.49,0.66
19627,16.19,0.13,1246,0.00,0.00,16,10.59,19.50,4.50,-10.15,5.55,-1.49,0.64
19817,15.16,0.14,1199,0.00,0.00,16,10.59,20.00,4.64,-10.04,5.59,-1.49,0.64
20005,14.59,0.14,1200,0.00,0.00,16,10.59,19.00,4.79,-9.92,5.72,-1.18,0.64
20195,14.36,0.15,1168,0.00,0.00,16,10.59,20.00,4.93,-9.77,5.72,-1.18,0.64
20385,14.01,0.15,1185,0.00,0.00,16,10.59,17.50,5.08,-9.55,6.04,-1.18,0.64
20575,14.01,0.16,1136,0.00,0.00,16,10.23,19.00,5.37,-9.36,6.18,-1.18,0.64
20764,14.36,0.17,1136,0.00,0.00,16,10.59,19.00,5.80,-8.95,6.73,-1.18,0.64
20954,14.47,0.17,1168,0.00,0.00,16,10.23,15.00,5.80,-8.84,6.59,-1.18,0.64
21143,14.59,0.17,1144,0.00,0.00,16,10.23,15.50,5.95,-8.68,6.73,-1.18,0.64
21333,14.70,0.18,1144,0.00,0.00,16,10.23,15.00,5.95,-8.68,6.73,-1.18,0.64
21524,14.81,0.17,1159,0.00,0.00,16,10.23,13.00,5.95,-8.72,6.59,-1.18,0.64
21716,14.81,0.17,1155,0.00,0.00,16,10.23,12.50,5.95,-8.74,6.55,-1.18,0.64
21907,14.81,0.17,1169,0.00,0.00,16,10.23,11.00,5.95,-8.78,6.51,-1.18,0.64
22097,14.81,0.17,1146,0.00,0.00,16,10.23,13.00,5.95,-8.76,6.55,-1.18,0.64
22286,14.81,0.17,1148,0.00,0.00,16,10.23,12.00,5.95,-8.76,6.55,-1.18,0.64
22476,14.81,0.17,1132,0.00,0.00,16,10.23,11.00,5.95,-8.78,6.51,-1.18,0.64
22666,14.70,0.17,1131,0.00,0.00,16,10.23,13.00,5.95,-8.72,6.55,-1.18,0.64
22856,14.70,0.17,1128,0.00,0.00,16,10.23,13.00,5.95,-8.70,6.51,-1.18,0.64
23047,14.59,0.18,1124,0.00,0.00,16,10.23,13.00,5.95,-8.64,6.51,-1.18,0.64
23236,14.47,0.18,1121,0.00,0.00,16,10.23,12.50,6.09,-8.59,6.55,-1.18,0.64
23426,14.59,0.17,1113,0.00,0.00,16,10.23,13.00,6.09,-8.62,6.44,-1.18,0.64
23615,14.47,0.18,1119,0.00,0.00,16,10.23,11.50,6.09,-8.60,6.48,-1.18,0.64
23806,14.59,0.18,1121,0.00,0.00,16,10.23,13.00,6.09,-8.55,6.55,-1.18,0.64
26625,15.39,0.27,1675,0.00,0.00,16,31.68,31.50,8.13,-6.61,14.98,-1.49,0.86
26815,14.93,0.26,1732,0.00,0.00,16,33.44,32.50,7.98,-6.77,15.26,-1.49,0.86
27005,14.70,0.26,1820,0.00,0.00,16,35.20,35.00,7.84,-6.88,15.85,-1.49,0.88
27195,14.47,0.25,1902,0.00,0.00,16,36.95,36.00,7.84,-6.90,16.14,-1.49,0.88
27384,14.24,0.25,1960,0.00,0.00,16,38.71,37.50,7.84,-6.90,16.44,-1.49,0.90
27576,14.36,0.25,2033,0.00,0.00,16,39.77,39.50,7.84,-6.90,17.33,-1.80,0.90
27764,14.36,0.25,2101,0.00,0.00,16,41.17,40.50,7.84,-6.90,17.71,-1.80,0.92
27954,14.36,0.26,2198,0.00,0.00,16,42.93,42.50,7.84,-6.81,19.27,-2.42,0.94
28143,14.13,0.27,2247,0.00,0.00,16,43.63,43.00,7.98,-6.75,19.89,-2.42,0.94
28333,14.36,0.29,2380,0.00,0.00,16,45.04,45.00,7.98,-6.61,22.49,-3.04,0.96
28524,14.36,0.29,2424,0.00,0.00,16,45.04,45.00,8.27,-6.40,23.73,-3.04,0.96
28713,14.36,0.29,2560,0.00,0.00,16,44.69,44.50,8.27,-6.46,24.61,-3.04,0.98
28904,14.36,0.28,2628,0.00,0.00,16,44.34,44.00,8.13,-6.52,24.90,-3.35,0.98
29094,14.24,0.28,2716,0.00,0.00,16,44.34,44.00,7.98,-6.67,25.68,-3.64,0.96
29283,14.13,0.28,2789,0.00,0.00,16,44.34,43.50,7.98,-6.79,25.99,-3.94,0.96
29472,14.24,0.27,2845,0.00,0.00,16,44.34,44.00,7.84,-6.85,26.20,-3.94,0.96
29661,14.13,0.26,2969,0.00,0.00,16,44.34,44.00,7.69,-7.04,26.20,-4.25,0.96
29852,14.01,0.18,2963,0.00,0.00,16,42.58,44.00,6.38,-8.97,17.71,-4.25,0.68
30042,11.83,0.10,2881,0.00,0.00,16,22.19,28.50,3.92,-10.89,8.91,-4.25,0.64
30231,11.25,0.12,2604,0.00,0.00,16,11.99,13.00,3.48,-11.22,10.38,-3.94,0.64
30421,11.37,0.12,2237,0.00,0.00,16,11.99,13.00,3.48,-11.27,8.86,-2.42,0.64
30611,11.94,0.12,1846,0.00,0.00,16,11.99,13.00,3.77,-10.96,7.45,-1.49,0.64
30801,14.47,0.16,1487,0.00,0.00,16,11.64,21.00,4.06,-10.62,7.94,-1.49,0.64
30994,19.18,0.18,1188,0.00,0.00,16,10.59,20.00,4.93,-9.75,7.34,-1.49,0.64
31185,22.39,0.15,1277,0.00,0.00,16,10.94,16.00,5.37,-9.38,6.26,-1.49,0.64
31374,21.25,0.16,1258,0.00,0.00,16,10.94,15.50,5.22,-9.49,6.48,-1.49,0.64
31565,15.62,0.17,1238,0.00,0.00,16,10.59,16.50,5.37,-9.40,6.73,-1.49,0.68
34357,14.70,0.24,1876,0.00,0.00,16,35.90,36.00,7.55,-7.14,15.41,-1.49,0.86
34548,14.47,0.24,1903,0.00,0.00,16,36.60,36.50,7.55,-7.15,15.47,-1.49,0.86
34737,14.13,0.24,1918,0.00,0.00,16,36.95,36.50,7.55,-7.19,15.26,-1.49,0.86
34926,14.24,0.23,1952,0.00,0.00,16,37.30,37.00,7.40,-7.29,14.40,-1.49,0.86
35116,14.59,0.23,1972,0.00,0.00,16,38.36,38.00,7.40,-7.31,15.11,-1.49,0.86
35306,14.47,0.23,1996,0.00,0.00,16,38.36,38.00,7.25,-7.39,15.40,-1.80,0.86
35495,14.13,0.23,2009,0.00,0.00,16,38.71,38.50,7.25,-7.44,15.25,-1.80,0.86
35685,14.01,0.23,2044,0.00,0.00,16,39.06,39.00,7.11,-7.56,15.48,-1.80,0.86
35875,14.24,0.22,2069,0.00,0.00,16,39.06,39.00,7.11,-7.64,15.41,-1.80,0.88
36066,14.24,0.22,2094,0.00,0.00,16,39.77,39.00,6.96,-7.70,15.25,-2.11,0.88
36255,14.36,0.22,2116,0.00,0.00,16,39.77,39.50,6.96,-7.77,15.40,-2.11,0.88
36445,14.01,0.21,2138,0.00,0.00,16,40.12,39.50,6.82,-7.81,15.41,-2.11,0.88
36635,14.24,0.22,2152,0.00,0.00,16,40.12,40.00,6.82,-7.85,15.77,-2.11,0.88
36825,14.13,0.22,2175,0.00,0.00,16,40.82,40.50,6.82,-7.81,16.51,-2.42,0.90
37014,14.47,0.24,2220,0.00,0.00,16,41.88,41.50,7.25,-7.54,18.10,-2.42,0.92
37204,14.47,0.26,2241,0.00,0.00,16,43.28,42.50,7.69,-7.08,19.89,-2.42,0.96
37393,14.59,0.30,2266,0.00,0.00,16,43.28,43.00,8.42,-6.32,21.71,-1.49,1.00
37583,14.59,0.33,2289,0.00,0.00,16,43.28,42.50,9.00,-5.53,24.71,-1.18,1.02
37773,14.59,0.34,2333,0.00,0.00,16,43.28,43.00,9.58,-5.12,26.63,-0.89,1.04
37962,14.70,0.35,2391,0.00,0.00,16,43.28,42.50,9.87,-4.83,28.31,-0.27,1.04
38152,14.59,0.36,2438,0.00,0.00,16,42.58,42.50,10.01,-4.70,29.26,-0.58,1.04
38342,14.36,0.36,2483,0.00,0.00,16,42.23,42.50,10.01,-4.64,29.82,-0.58,1.06
38531,14.36,0.36,2518,0.00,0.00,16,42.23,42.50,10.01,-4.66,30.72,-0.58,1.04
38720,14.13,0.36,2569,0.00,0.00,16,42.58,42.00,10.01,-4.70,30.49,-0.89,1.04
38912,14.24,0.34,2618,0.00,0.00,16,42.93,42.50,9.87,-4.87,30.16,-0.89,1.04
39123,14.13,0.32,2667,0.00,0.00,16,43.63,43.00,9.29,-5.39,28.74,-2.11,1.00
39296,14.13,0.31,2678,0.00,0.00,16,43.63,43.50,9.00,-5.72,28.09,-2.73,1.00
39483,14.36,0.30,2722,0.00,0.00,16,43.63,43.50,8.85,-5.94,27.68,-3.04,0.98
39673,14.47,0.30,2749,0.00,0.00,16,43.63,43.50,8.56,-6.13,27.36,-3.64,0.98
39865,14.70,0.29,2780,0.00,0.00,16,43.98,43.50,8.56,-6.30,27.15,-3.94,0.98
40055,14.59,0.29,2807,0.00,0.00,16,43.63,43.50,8.27,-6.36,27.47,-3.94,0.98
40245,14.36,0.28,2841,0.00,0.00,16,44.34,43.50,8.27,-6.52,26.20,-4.25,0.96
40441,14.70,0.27,2860,0.00,0.00,16,44.34,43.50,8.13,-6.61,26.20,-4.25,0.96
40628,14.36,0.25,2852,0.00,0.00,16,44.34,44.00,7.40,-7.35,21.63,-4.25,0.82
40822,12.29,0.13,2855,0.00,0.00,16,30.62,41.00,4.50,-10.07,9.13,-4.25,0.64
41014,11.25,0.12,2764,0.00,0.00,16,14.10,20.00,3.63,-11.06,10.27,-4.25,0.64
41201,11.25,0.13,2457,0.00,0.00,16,11.99,12.50,3.34,-11.37,10.17,-3.04,0.64
41391,11.48,0.13,2090,0.00,0.00,16,11.99,12.50,3.63,-11.12,9.08,-2.11,0.64
41582,12.06,0.16,1705,0.00,0.00,16,11.99,20.50,3.92,-10.60,8.78,-1.49,0.64
41773,14.70,0.16,1404,0.00,0.00,16,10.94,20.00,4.50,-9.98,7.66,-1.49,0.64
