Time (msec),A/F Sensor #1 (AFR),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Throttle Sensor Voltage (V),Coolant Temperature (F),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Turbo Dynamics Proportional* (absolute %)
0,15.04,0.14,2290,0.00,0.00,16,36.95,36.50,5.22,-9.48,10.78,0.78,196,1.76,0.00,0.00
69,14.93,0.14,2272,0.00,0.00,16,36.60,36.00,5.22,-9.46,10.43,0.78,196,1.74,0.00,0.00
128,14.81,0.14,2284,0.00,0.00,16,36.60,36.00,5.22,-9.46,10.48,0.78,196,1.74,0.00,0.00
194,14.70,0.14,2266,0.00,0.00,16,36.60,36.00,5.22,-9.46,10.58,0.78,196,1.76,0.00,0.00
259,14.47,0.14,2294,0.00,0.00,16,36.60,36.00,5.22,-9.48,10.49,0.78,196,1.74,0.00,0.00
323,14.59,0.16,2268,0.00,0.00,16,37.30,36.50,5.22,-9.34,11.19,0.82,196,1.78,0.00,0.00
387,14.59,0.20,2292,0.00,0.00,16,39.41,38.00,5.66,-8.86,13.40,0.86,196,1.90,0.00,0.00
449,14.47,0.25,2294,0.00,0.00,16,42.23,41.50,6.38,-8.02,17.04,0.92,196,2.02,0.00,0.00
512,14.24,0.30,2294,0.00,0.00,16,43.63,43.00,7.40,-6.73,20.49,0.98,196,2.12,0.00,0.00
576,13.55,0.34,2290,0.00,0.00,16,43.63,43.00,8.71,-5.53,24.71,1.04,196,2.24,0.00,0.00
639,12.40,0.38,2299,0.00,0.00,16,42.23,41.50,9.87,-4.41,27.89,1.10,196,2.32,0.00,0.00
705,12.40,0.40,2289,0.00,0.00,16,39.41,39.00,10.74,-3.58,29.71,1.14,196,2.36,0.00,0.00
769,13.21,0.41,2306,0.00,0.00,16,37.66,37.00,11.46,-3.11,31.28,1.16,196,2.38,0.00,0.00
833,14.13,0.41,2296,0.00,0.00,16,38.01,37.00,11.90,-2.77,31.06,1.18,196,2.36,0.00,0.00
897,14.70,0.41,2314,0.00,0.00,16,37.30,37.00,12.04,-2.57,31.61,1.18,196,2.38,0.00,0.00
961,14.81,0.41,2309,0.00,0.00,16,36.95,35.50,12.33,-2.42,32.51,1.18,196,2.40,0.00,0.00
1025,14.70,0.42,2325,0.00,0.00,16,36.60,36.50,12.33,-2.26,32.40,1.18,196,2.40,0.00,0.00
1090,14.70,0.43,2312,0.00,0.00,16,36.60,36.00,12.48,-2.17,32.52,1.18,196,2.42,0.00,0.00
1152,14.59,0.42,2337,0.00,0.00,16,36.95,36.50,12.48,-2.22,32.29,1.16,196,2.40,0.00,0.00
1215,14.59,0.40,2320,0.00,0.00,16,38.01,37.00,12.33,-2.42,31.39,1.12,196,2.38,0.00,0.00
1279,14.70,0.39,2340,0.00,0.00,16,38.71,38.00,12.04,-2.75,29.60,1.08,196,2.34,0.00,0.00
1343,14.70,0.38,2334,0.00,0.00,16,39.41,39.00,11.75,-2.94,29.27,1.08,196,2.34,0.00,0.00
1409,14.70,0.38,2351,0.00,0.00,16,40.12,39.50,11.75,-3.07,29.82,1.06,196,2.34,0.00,0.00
1474,14.47,0.37,2364,0.00,0.00,16,40.82,40.00,11.61,-3.11,29.48,1.06,196,2.34,0.00,0.00
1536,14.47,0.36,2348,0.00,0.00,16,40.82,41.50,11.61,-3.25,28.52,1.04,196,2.34,0.00,0.00
1600,14.47,0.34,2361,0.00,0.00,16,42.58,42.50,11.46,-4.16,24.91,0.98,196,2.30,0.00,0.00
1666,14.70,0.27,2344,0.00,0.00,16,43.63,43.50,10.59,-6.30,13.29,0.74,196,2.20,0.00,0.00
1726,14.70,0.19,2353,0.00,0.00,16,36.95,28.50,8.42,-8.24,8.45,0.66,196,1.78,0.00,0.00
1789,14.13,0.15,2341,0.00,0.00,16,20.43,28.50,6.53,-9.32,7.94,0.64,196,1.48,0.00,0.00
1857,12.75,0.13,2310,0.00,0.00,16,7.42,13.50,5.37,-9.88,8.23,0.64,196,1.64,0.00,0.00
1921,12.40,0.13,2223,0.00,0.00,16,-4.88,4.00,4.79,-10.42,9.75,0.66,196,1.64,0.00,0.00
1985,12.06,0.13,2129,0.00,0.00,16,-10.16,-10.50,4.21,-10.64,10.17,0.66,196,1.72,0.00,0.00
2051,12.98,0.14,2040,0.00,0.00,16,-10.16,-10.50,4.06,-10.79,9.39,0.64,196,1.70,0.00,0.00
2114,13.90,0.15,2040,0.00,0.00,16,-8.75,-10.50,3.92,-10.81,9.39,0.66,196,1.68,0.00,0.00
2175,14.47,0.15,1877,0.00,0.00,16,14.10,10.50,3.92,-10.85,9.48,0.64,196,1.70,0.00,0.00
2238,14.93,0.16,1836,0.00,0.00,16,14.10,14.00,3.77,-10.91,9.30,0.66,196,1.68,0.00,0.00
2305,15.50,0.17,1702,0.00,0.00,16,14.10,14.00,3.77,-10.91,9.31,0.66,196,1.68,0.00,0.00
2369,17.00,0.21,1626,0.00,0.00,16,14.10,14.00,3.77,-10.62,9.44,0.72,196,1.70,0.00,0.00
2430,19.87,0.28,1571,0.00,0.00,16,16.56,14.00,4.64,-8.68,11.99,0.94,196,1.86,0.00,0.00
2494,22.16,0.39,1526,0.00,0.00,16,29.92,23.50,7.11,-4.25,18.32,1.30,196,2.16,0.00,0.00
2559,24.35,0.53,1654,0.00,0.00,16,29.57,32.00,12.19,-0.43,36.87,1.76,196,2.58,0.00,0.00
2624,24.69,0.47,2018,0.00,0.00,16,27.46,22.50,14.51,-0.08,36.06,2.10,196,2.46,0.00,0.00
2688,18.83,0.46,2473,0.00,0.00,16,33.44,32.50,14.65,-0.15,38.20,2.14,196,2.52,0.00,0.00
2750,15.39,0.47,2912,0.00,0.00,16,33.79,33.00,14.65,-0.97,45.14,1.98,196,2.66,0.00,0.00
2814,16.42,0.30,3285,0.00,0.00,16,36.60,35.50,12.48,-6.15,43.48,0.64,196,2.44,19.61,20.00
2878,15.50,0.16,3600,0.00,0.00,16,34.14,34.00,7.11,-9.17,14.15,0.64,196,1.84,19.61,20.00
2942,12.06,0.12,3620,0.00,0.00,16,17.97,18.00,5.22,-10.04,9.48,0.64,196,1.74,0.00,0.00
3006,11.25,0.12,3500,0.00,0.00,16,4.96,7.50,4.35,-10.54,12.79,0.64,196,1.86,0.00,0.00
3070,12.17,0.13,3364,0.00,0.00,16,-7.34,-7.50,4.06,-10.67,14.15,0.64,196,1.90,0.00,0.00
3134,14.13,0.13,3266,0.00,0.00,16,-10.16,-10.50,4.06,-10.71,13.95,0.64,196,1.90,0.00,0.00
3196,17.23,0.13,3129,0.00,0.00,16,-10.16,-10.50,3.92,-10.71,13.77,0.64,196,1.90,0.00,0.00
3265,23.54,0.13,3025,0.00,0.00,16,-10.16,-10.50,3.92,-10.75,12.90,0.66,196,1.86,0.00,0.00
3327,24.23,0.14,2919,0.00,0.00,16,-10.16,-10.50,3.92,-10.75,13.39,0.66,196,1.88,0.00,0.00
3393,23.77,0.16,2774,0.00,0.00,16,-10.16,-10.50,4.06,-10.62,14.02,0.68,196,1.90,0.00,0.00
3455,23.66,0.17,2664,0.00,0.00,16,-10.16,-10.50,4.21,-10.42,14.72,0.70,196,1.92,0.00,0.00
3517,23.66,0.21,2587,0.00,0.00,16,-3.83,-4.50,4.64,-9.69,16.29,0.82,196,1.98,0.00,0.00
3583,23.66,0.24,2524,0.00,0.00,16,7.77,12.50,5.80,-8.59,19.11,0.90,196,2.10,0.00,0.00
3648,23.31,0.24,2554,0.00,0.00,16,29.22,34.00,6.53,-7.87,20.67,0.92,196,2.12,0.00,0.00
3713,15.96,0.24,2731,0.00,0.00,16,44.34,43.50,7.11,-7.43,21.88,0.94,196,2.16,0.00,0.00
3773,11.14,0.23,3013,0.00,0.00,16,44.34,43.50,7.40,-7.21,23.34,0.94,196,2.18,0.00,0.00
3837,11.25,0.22,3262,0.00,0.00,16,44.34,43.50,7.40,-7.21,24.22,0.96,196,2.22,0.00,0.00
3901,13.44,0.21,3588,0.00,0.00,16,44.34,43.50,7.40,-7.31,25.30,0.98,196,2.26,0.00,0.00
3965,15.27,0.21,3900,0.00,0.00,16,44.34,43.50,7.25,-7.52,27.68,1.00,196,2.30,0.00,0.00
4029,15.27,0.22,4199,0.00,0.00,16,44.34,43.50,7.25,-7.56,30.83,1.04,196,2.30,1.57,0.00
4093,16.08,0.25,4183,0.00,0.00,16,44.34,43.50,7.11,-7.29,34.45,1.04,196,2.38,1.57,0.00
4157,15.96,0.26,4110,0.00,0.00,16,44.34,43.50,7.40,-6.96,35.93,1.06,196,2.46,3.92,0.00
4221,15.27,0.26,4139,0.00,0.00,16,44.34,43.50,7.69,-6.71,36.43,1.06,196,2.48,3.92,0.00
4286,14.70,0.28,4157,0.00,0.00,16,44.34,43.50,7.98,-6.52,37.92,1.06,196,2.48,4.71,0.00
4351,14.47,0.28,4125,0.00,0.00,16,43.98,43.50,8.13,-6.28,36.50,1.08,196,2.52,4.71,0.00
4416,14.59,0.30,4171,0.00,0.00,16,43.98,43.50,8.42,-6.03,38.53,1.10,196,2.54,5.49,0.00
4477,14.36,0.32,4148,0.00,0.00,16,43.28,43.00,8.71,-5.49,41.57,1.12,196,2.58,5.49,0.00
4541,14.47,0.34,4190,0.00,0.00,16,42.93,42.50,9.14,-4.99,44.82,1.16,196,2.64,7.45,0.00
4606,14.36,0.37,4169,0.00,0.00,16,42.23,42.00,9.72,-4.35,48.32,1.20,196,2.68,7.45,20.00
4670,14.24,0.37,4202,0.00,0.00,16,41.17,41.00,10.45,-3.96,49.54,1.20,196,2.74,10.59,20.00
4734,14.24,0.38,4190,0.00,0.00,16,41.17,40.50,10.74,-3.73,51.32,1.22,196,2.76,10.59,20.00
4796,14.13,0.40,4197,0.00,0.00,16,40.47,40.00,11.03,-3.48,53.88,1.20,196,2.78,10.59,20.00
4860,14.13,0.41,4173,0.00,0.00,16,39.77,39.50,11.17,-3.23,56.35,1.22,196,2.84,10.59,20.00
4924,13.90,0.42,4282,0.00,0.00,16,39.06,39.00,11.46,-2.90,57.82,1.22,196,2.84,10.59,20.00
4988,13.78,0.45,4200,0.00,0.00,16,38.71,38.50,11.90,-2.40,59.48,1.26,196,2.88,10.59,20.00
5052,13.78,0.53,4226,0.00,0.00,16,36.25,37.00,12.48,-1.10,63.68,1.38,196,2.94,12.94,20.00
5116,13.90,0.61,4290,0.00,0.00,16,31.33,32.50,14.22,0.91,76.65,1.56,196,3.12,12.94,20.00
5183,13.67,0.68,4283,0.00,0.00,16,25.70,26.00,15.96,2.42,88.36,1.68,196,3.24,18.43,20.00
5247,13.44,0.77,4320,0.00,0.00,16,21.13,22.00,17.41,4.25,98.77,1.88,196,3.36,18.43,20.00
5311,12.75,0.85,4358,0.00,0.00,16,17.62,18.50,19.59,6.09,113.41,2.10,196,3.52,20.39,20.00
5373,11.83,0.95,4352,0.00,0.00,16,12.70,13.00,21.47,8.02,127.41,2.32,196,3.64,20.39,20.00
5436,11.14,1.03,4368,0.00,0.00,16,10.23,9.50,23.65,10.69,140.75,2.62,196,3.76,23.53,20.00
5502,11.02,1.10,4396,0.00,0.00,16,8.12,8.00,25.97,12.34,155.87,3.06,196,3.88,23.53,20.00
5563,11.14,1.14,4486,0.00,0.00,16,8.12,8.00,27.86,13.96,163.28,3.44,196,3.92,29.41,16.12
5628,11.14,1.16,4478,0.00,0.00,16,8.12,8.00,29.16,15.01,171.06,3.56,196,3.96,29.41,16.12
5693,11.14,1.15,4537,0.00,0.00,16,8.48,8.00,30.04,15.53,173.48,3.62,196,3.98,30.59,15.00
5759,11.14,1.16,4556,0.00,0.00,16,8.48,8.00,30.47,15.97,173.82,3.66,196,3.98,30.59,15.00
5820,11.14,1.15,4593,0.00,0.00,16,8.48,8.00,30.91,16.09,174.17,3.68,196,4.00,30.98,13.00
5884,11.14,1.14,4629,0.00,0.00,16,8.83,8.00,30.91,16.20,175.89,3.74,196,4.02,30.98,13.00
5948,11.14,1.14,4655,0.00,0.00,16,8.83,8.00,31.05,16.24,176.93,3.76,196,4.00,30.98,13.12
6012,11.14,1.13,4699,0.00,0.00,16,8.83,8.00,30.91,16.20,176.92,3.78,196,4.00,30.98,13.12
6076,11.14,1.13,4723,0.00,0.00,16,8.83,8.00,30.91,16.11,177.61,3.78,196,4.02,31.37,14.31
6140,11.14,1.12,4738,0.00,0.00,16,9.18,8.50,30.91,16.11,178.31,3.80,196,4.02,31.37,14.31
6205,11.14,1.11,4774,0.00,0.00,16,9.18,8.50,30.76,15.95,178.31,3.80,196,4.02,31.37,14.56
6268,11.14,1.11,4832,0.00,0.00,16,9.18,8.50,30.76,16.01,179.33,3.82,196,4.04,31.37,14.56
6333,11.14,1.13,4860,0.00,0.00,16,9.18,8.50,30.76,15.88,180.73,3.82,196,4.04,31.37,14.69
6397,11.14,1.11,4886,0.00,0.00,16,9.18,9.00,30.62,15.86,181.41,3.82,196,4.04,31.37,14.69
6463,11.14,1.11,4934,0.00,0.00,16,9.53,9.00,30.62,15.80,181.77,3.82,196,4.06,31.37,15.18
6527,11.14,1.11,4957,0.00,0.00,16,9.53,9.00,30.47,15.72,183.20,3.82,196,4.06,31.37,15.18
6589,11.14,1.11,5013,0.00,0.00,16,9.88,9.00,30.47,15.60,182.50,3.82,196,4.08,31.37,15.81
6655,11.14,1.11,5054,0.00,0.00,16,9.53,9.00,30.33,15.59,185.06,3.82,196,4.08,31.37,15.81
6717,11.14,1.10,5044,0.00,0.00,16,9.88,9.50,30.18,15.33,185.80,3.82,196,4.08,31.37,16.50
6783,11.14,1.10,5031,0.00,0.00,16,9.88,9.50,30.04,15.30,185.06,3.82,196,4.08,31.37,16.50
6843,11.14,1.09,5095,0.00,0.00,16,9.88,9.50,30.04,15.18,186.91,3.82,196,4.08,31.37,16.50
6907,11.14,1.11,5154,0.00,0.00,16,10.23,9.50,29.75,15.06,189.13,3.80,196,4.10,31.37,17.31
6971,11.14,1.09,5165,0.00,0.00,16,10.23,9.50,29.75,14.97,189.87,3.80,196,4.10,31.37,17.31
7039,11.14,1.09,5215,0.00,0.00,16,10.23,9.50,29.60,14.73,191.71,3.80,196,4.12,31.37,18.18
7103,11.14,1.09,5234,0.00,0.00,16,10.23,9.50,29.45,14.68,191.71,3.80,196,4.14,31.37,18.18
7167,11.14,1.09,5282,0.00,0.00,16,10.23,9.50,29.31,14.56,192.82,3.80,196,4.12,31.37,18.12
7227,11.14,1.09,5289,0.00,0.00,16,10.59,10.00,29.16,14.48,195.40,3.80,196,4.14,31.37,18.12
7295,11.14,1.09,5304,0.00,0.00,16,10.59,10.00,29.16,14.43,193.93,3.80,196,4.14,31.37,17.81
7359,11.14,1.09,5353,0.00,0.00,16,10.59,10.00,29.16,14.33,195.40,3.80,196,4.14,31.37,17.81
7422,11.14,1.08,5403,0.00,0.00,16,10.59,10.00,29.02,14.27,196.49,3.78,196,4.14,31.37,18.44
7486,11.14,1.07,5398,0.00,0.00,16,10.94,10.00,28.87,14.17,193.93,3.78,196,4.14,31.37,18.44
7552,11.14,1.08,5462,0.00,0.00,16,10.94,10.50,28.87,14.08,194.67,3.78,196,4.14,31.37,18.44
7614,11.14,1.08,5462,0.00,0.00,16,10.94,10.50,28.73,14.04,196.14,3.78,196,4.16,31.37,17.87
7679,11.14,1.08,5494,0.00,0.00,16,11.29,10.50,28.73,14.02,196.14,3.78,196,4.16,31.37,17.87
7740,11.14,1.06,5510,0.00,0.00,16,10.94,10.50,28.73,13.96,197.99,3.78,196,4.16,31.37,18.37
7805,11.14,1.07,5560,0.00,0.00,16,11.29,10.50,28.73,13.92,198.36,3.78,196,4.16,31.37,18.37
