Time (msec),A/F Sensor #1 (AFR),Coolant Temperature (F),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V),Turbo Dynamics Proportional* (absolute %)
0,14.59,106,0.15,1290,0.00,0.00,16,14.10,16.00,4.93,-9.78,6.26,1.50,0.00,0.64,0.00
78,14.59,106,0.15,1287,0.00,0.00,16,14.10,16.00,4.93,-9.78,6.26,1.48,0.00,0.64,0.00
141,14.59,106,0.15,1294,0.00,0.00,16,14.10,15.50,4.93,-9.82,6.26,1.50,0.00,0.64,0.00
203,14.59,106,0.14,1291,0.00,0.00,16,14.10,15.50,4.93,-9.82,6.26,1.50,0.00,0.64,0.00
266,14.59,106,0.14,1293,0.00,0.00,16,14.10,14.50,4.93,-9.82,6.26,1.50,0.00,0.64,0.00
328,14.47,106,0.14,1300,0.00,0.00,16,14.10,14.50,4.93,-9.82,6.26,1.50,0.00,0.64,0.00
391,14.36,106,0.15,1287,0.00,0.00,16,14.10,16.00,4.93,-9.82,6.26,1.48,0.00,0.64,0.00
454,14.47,106,0.14,1297,0.00,0.00,16,14.10,15.00,4.93,-9.82,6.26,1.48,0.00,0.64,0.00
517,14.24,106,0.14,1302,0.00,0.00,16,14.10,14.50,4.93,-9.82,6.22,1.48,0.00,0.64,0.00
579,14.24,106,0.15,1290,0.00,0.00,16,14.10,15.50,4.93,-9.84,6.22,1.50,0.00,0.64,0.00
642,14.36,106,0.14,1288,0.00,0.00,16,14.10,16.00,4.79,-9.82,6.22,1.50,0.00,0.64,0.00
704,14.36,106,0.14,1288,0.00,0.00,16,14.10,16.00,4.93,-9.82,6.22,1.48,0.00,0.64,0.00
767,14.24,106,0.14,1300,0.00,0.00,16,14.10,14.50,4.93,-9.82,6.15,1.48,0.00,0.64,0.00
861,14.24,106,0.14,1291,0.00,0.00,16,14.10,15.50,4.93,-9.82,6.18,1.48,0.00,0.64,0.00
907,14.36,106,0.15,1286,0.00,0.00,16,14.10,16.50,4.79,-9.84,6.26,1.50,0.00,0.64,0.00
970,14.24,106,0.14,1294,0.00,0.00,16,14.10,15.50,4.79,-9.84,6.26,1.50,0.00,0.64,0.00
1033,14.13,106,0.14,1287,0.00,0.00,16,14.10,16.00,4.93,-9.82,6.18,1.48,0.00,0.64,0.00
1095,14.36,106,0.14,1304,0.00,0.00,16,14.10,14.00,4.79,-9.82,6.18,1.48,0.00,0.64,0.00
1158,14.36,106,0.14,1290,0.00,0.00,16,14.10,16.00,4.79,-9.84,6.18,1.48,0.00,0.64,0.00
1220,14.36,106,0.14,1293,0.00,0.00,16,14.10,16.50,4.79,-9.84,6.22,1.48,0.00,0.64,0.00
1283,14.36,106,0.14,1288,0.00,0.00,16,14.10,16.00,4.93,-9.82,6.18,1.48,0.00,0.64,0.00
1345,14.36,106,0.14,1281,0.00,0.00,16,14.10,16.50,4.79,-9.84,6.18,1.50,0.00,0.64,0.00
1408,14.24,106,0.14,1296,0.00,0.00,16,14.10,15.00,4.93,-9.82,6.18,1.48,0.00,0.64,0.00
1470,14.24,106,0.14,1276,0.00,0.00,16,14.10,17.00,4.93,-9.82,6.11,1.48,0.00,0.64,0.00
1548,14.36,106,0.14,1284,0.00,0.00,16,14.10,16.50,4.79,-9.84,6.18,1.48,0.00,0.64,0.00
1611,14.36,106,0.14,1291,0.00,0.00,16,14.10,15.50,4.79,-9.84,6.18,1.48,0.00,0.64,0.00
1673,14.24,106,0.14,1282,0.00,0.00,16,14.10,16.50,4.93,-9.82,6.18,1.50,0.00,0.64,0.00
1736,14.47,106,0.15,1288,0.00,0.00,16,14.10,15.50,4.79,-9.84,6.26,1.50,0.00,0.64,0.00
1798,14.47,106,0.14,1282,0.00,0.00,16,14.10,16.00,4.79,-9.84,6.18,1.48,0.00,0.64,0.00
1861,14.47,106,0.14,1297,0.00,0.00,16,14.10,14.50,4.93,-9.82,6.15,1.48,0.00,0.64,0.00
1923,14.47,106,0.14,1282,0.00,0.00,16,14.10,16.00,4.79,-9.84,6.11,1.48,0.00,0.64,0.00
1986,14.47,106,0.15,1274,0.00,0.00,16,14.10,17.00,4.79,-9.84,6.18,1.48,0.00,0.64,0.00
2052,14.47,106,0.15,1285,0.00,0.00,16,14.10,15.50,4.93,-9.82,6.18,1.50,0.00,0.64,0.00
4110,14.47,106,0.15,1285,0.00,0.00,16,14.10,15.50,4.93,-9.82,6.18,1.50,0.00,0.64,0.00
4759,14.36,106,0.15,1267,0.00,0.00,16,14.10,16.50,4.93,-9.82,6.18,1.48,0.00,0.64,0.00
4822,14.47,106,0.14,1273,0.00,0.00,16,14.10,16.00,4.93,-9.82,6.18,1.48,0.00,0.64,0.00
4884,14.36,108,0.14,1288,0.00,0.00,16,14.10,14.50,4.93,-9.84,6.11,1.48,0.00,0.64,0.00
4962,14.36,108,0.14,1273,0.00,0.00,16,14.10,16.00,4.79,-9.84,6.11,1.48,0.00,0.64,0.00
5025,14.47,108,0.15,1281,0.00,0.00,16,14.10,15.50,4.79,-9.84,6.18,1.48,0.00,0.64,0.00
5087,14.47,108,0.14,1270,0.00,0.00,16,14.10,16.50,4.79,-9.86,6.15,1.48,0.00,0.64,0.00
5150,14.24,108,0.14,1268,0.00,0.00,16,14.10,16.50,4.79,-9.82,6.15,1.48,0.00,0.64,0.00
5212,14.36,108,0.14,1277,0.00,0.00,16,14.10,15.50,4.79,-9.82,6.07,1.48,0.00,0.64,0.00
5275,14.36,108,0.14,1275,0.00,0.00,16,14.10,15.50,4.79,-9.84,6.07,1.48,0.00,0.64,0.00
5337,14.24,108,0.15,1274,0.00,0.00,16,14.10,16.00,4.93,-9.82,6.11,1.48,0.00,0.64,0.00
5400,14.24,108,0.15,1259,0.00,0.00,16,14.10,16.50,4.93,-9.82,6.15,1.48,0.00,0.64,0.00
5462,14.36,108,0.15,1261,0.00,0.00,16,14.10,17.00,4.93,-9.82,6.18,1.48,0.00,0.64,0.00
5525,14.36,108,0.15,1278,0.00,0.00,16,14.10,15.00,4.93,-9.82,6.15,1.50,0.00,0.64,0.00
5587,14.36,108,0.14,1271,0.00,0.00,16,14.10,16.00,4.93,-9.82,6.18,1.48,0.00,0.64,0.00
5665,14.36,108,0.14,1275,0.00,0.00,16,14.10,15.50,4.93,-9.82,6.11,1.48,0.00,0.64,0.00
5717,14.47,108,0.15,1268,0.00,0.00,16,14.10,16.00,4.93,-9.82,6.15,1.48,0.00,0.64,0.00
5780,14.47,108,0.15,1251,0.00,0.00,16,14.10,17.50,4.93,-9.82,6.22,1.48,0.00,0.64,0.00
5858,14.36,108,0.15,1251,0.00,0.00,16,14.10,17.50,4.93,-9.78,6.18,1.50,0.00,0.64,0.00
5920,14.36,108,0.15,1236,0.00,0.00,16,14.10,19.00,4.93,-9.77,6.22,1.48,0.00,0.64,0.00
5983,14.47,108,0.15,1238,0.00,0.00,16,14.10,18.50,4.93,-9.73,6.15,1.48,0.00,0.64,0.00
6045,14.24,108,0.15,1238,0.00,0.00,16,14.10,17.50,4.93,-9.73,6.26,1.48,0.00,0.64,0.00
6108,14.36,108,0.16,1242,0.00,0.00,16,14.10,19.00,4.93,-9.67,6.40,1.50,0.00,0.64,0.00
6170,14.36,108,0.16,1230,0.00,0.00,16,14.10,19.50,5.08,-9.61,6.44,1.50,0.00,0.64,0.00
6233,14.24,108,0.16,1222,0.00,0.00,16,14.10,17.50,5.08,-9.57,6.48,1.50,0.00,0.64,0.00
6295,14.36,108,0.16,1236,0.00,0.00,16,14.10,18.00,5.08,-9.53,6.59,1.52,0.00,0.64,0.00
6358,14.36,108,0.16,1228,0.00,0.00,16,14.10,18.00,5.22,-9.48,6.59,1.52,0.00,0.64,0.00
6420,14.24,108,0.16,1238,0.00,0.00,16,14.10,17.50,5.22,-9.48,6.59,1.52,0.00,0.64,0.00
