Time (msec),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Tip-in Enrichment (Last Calculated)* (raw enrichment value),Tip-in Throttle* (%)
0,0.00,0.00,16,388,0.0
32,0.00,0.00,16,388,0.0
56,0.00,0.00,16,388,0.0
88,0.00,0.00,16,388,0.0
120,0.00,0.00,16,388,0.0
148,0.00,0.00,16,388,0.0
180,0.00,0.00,16,388,0.0
204,0.00,0.00,16,388,0.0
236,0.00,0.00,16,388,0.0
268,0.00,0.00,16,388,0.0
300,0.00,0.00,16,388,0.0
324,0.00,0.00,16,388,0.0
356,0.00,0.00,16,388,0.0
380,0.00,0.00,16,388,0.0
415,0.00,0.00,16,388,0.0
444,0.00,0.00,16,388,0.0
474,0.00,0.00,16,388,0.0
504,0.00,0.00,16,388,0.0
529,0.00,0.00,16,388,0.0
561,0.00,0.00,16,388,0.0
593,0.00,0.00,16,388,0.0
624,0.00,0.00,16,388,0.0
649,0.00,0.00,16,388,0.0
680,0.00,0.00,16,388,0.0
712,0.00,0.00,16,388,0.0
737,0.00,0.00,16,388,0.0
769,0.00,0.00,16,388,0.0
800,0.00,0.00,16,388,0.0
825,0.00,0.00,16,388,0.0
856,0.00,0.00,16,388,0.0
890,0.00,0.00,16,388,0.0
915,0.00,0.00,16,388,0.0
949,0.00,0.00,16,388,0.0
973,0.00,0.00,16,388,0.0
1005,0.00,0.00,16,388,0.0
1037,0.00,0.00,16,388,0.0
1061,0.00,0.00,16,388,0.0
1093,0.00,0.00,16,388,0.0
1125,0.00,0.00,16,388,0.0
1149,0.00,0.00,16,388,0.0
1181,0.00,0.00,16,388,0.0
1213,0.00,0.00,16,388,0.0
1245,0.00,0.00,16,388,0.0
1269,0.00,0.00,16,388,0.0
1301,0.00,0.00,16,388,0.0
1333,0.00,0.00,16,388,0.0
1365,0.00,0.00,16,388,0.0
1389,0.00,0.00,16,388,0.0
1415,0.00,0.00,16,388,0.0
1450,0.00,0.00,16,388,0.0
1481,0.00,0.00,16,388,0.0
1505,0.00,0.00,16,388,0.0
1537,0.00,0.00,16,388,0.0
1569,0.00,0.00,16,388,0.0
1593,0.00,0.00,16,388,0.0
1625,0.00,0.00,16,388,0.0
1657,0.00,0.00,16,388,0.0
1685,0.00,0.00,16,388,0.0
1715,0.00,0.00,16,388,0.0
1745,0.00,0.00,16,388,0.0
